Heroe 1,Heroe 2,Resultado Comics,Resultado Peliculas,Ganador
Aquaman,Leviathan,2,1,0
Aquaman,Loki,1,1,1
Aquaman,Loki (Mind Stone),2,2,2
Aquaman,Loki (Keeper Of The Multiverse),1,1,1
Aquaman,Loki (Variant L1130),2,2,2
Aquaman,Loki (King of Asgard),2,1,0
Aquaman,Luke Cage,1,2,0
Aquaman,M'baku,0,1,0
Aquaman,Makkari,2,0,0
Aquaman,Malekith (Reality Stone),1,2,0
Aquaman,Malekith,1,2,0
Aquaman,Mandarin,0,1,0
Aquaman,Mantis,2,2,2
Aquaman,Mighty Thor,2,1,0
Aquaman,MODOK,0,2,0
Aquaman,Moon Knight,1,2,0
Aquaman,Mr. Fantastic (Earth 838),1,0,0
Aquaman,Mr. Knight,2,1,0
Aquaman,Ms. America,1,1,1
Aquaman,Ms. Marvel,2,2,2
Aquaman,Mysterio,1,1,1
Aquaman,Namor,2,2,2
Aquaman,Nebula,1,0,0
Aquaman,Nick Fury,1,2,0
Aquaman,Nomad,1,2,0
Aquaman,Odin,2,2,2
Aquaman,Okoye,2,2,2
Aquaman,Outrider,1,1,1
Aquaman,Pepper Potts (Extremis),2,1,0
Aquaman,Phastos,2,2,2
Aquaman,Photon,2,1,0
Aquaman,Proxima Midnight,1,2,0
Aquaman,Quake,1,2,0
Aquaman,Quicksilver,0,2,0
Aquaman,Red Guardian,2,1,0
Aquaman,Red Skull (Stonekeeper),2,1,0
Aquaman,Red Skull,2,2,2
Aquaman,Rescue,1,1,1
Aquaman,Rocket Raccoon,1,2,0
Aquaman,Ronan The Accuser (Power Stone),2,1,0
Aquaman,Ronan The Accuser,2,1,0
Aquaman,Ronin,2,1,0
Aquaman,Scarlet Witch,2,2,2
Aquaman,Sersi (uni-mind),2,1,0
Aquaman,Sersi,0,2,0
Aquaman,Shang-Chi,1,2,0
Aquaman,She-Hulk,2,2,2
Aquaman,Shuri,2,2,2
Aquaman,Sif,0,1,0
Aquaman,Sinister Strange,1,2,0
Aquaman,Smart Hulk,2,1,0
Aquaman,Spectral Vision,0,2,0
Aquaman,Spider-Man,1,2,0
Aquaman,Star-Lord (Celestial Power),1,1,1
Aquaman,Star-Lord,2,1,0
Aquaman,Stature,2,2,2
Aquaman,Surtur,1,0,0
Aquaman,Swole Groot,2,2,2
Aquaman,Talos The Untamed,1,1,1
Aquaman,Taskmaster,1,2,0
Aquaman,Teenage Groot,2,1,0
Aquaman,Thanos,2,2,2
Aquaman,Thanos (Infinity Gauntlet),2,1,0
Aquaman,The Collector,2,1,0
Aquaman,The Executioner,2,1,0
Aquaman,The Grandmaster,0,1,0
Aquaman,The Great Protector,1,0,0
Aquaman,The Punisher,1,2,0
Aquaman,Thena,1,0,0
Aquaman,Thor (Pre-Ragnarok),2,2,2
Aquaman,Thor (Awakened),1,1,1
Aquaman,Thor,2,1,0
Aquaman,Ultron,2,1,0
Aquaman,Unworthy Thor,2,2,2
Aquaman,Valkyrie,1,1,1
Aquaman,Vision,2,1,0
Aquaman,Vulture,1,1,1
Aquaman,Wanda Maximoff (Pre-WandaVision),1,0,0
Aquaman,War Machine,2,0,0
Aquaman,Warlock,1,0,0
Aquaman,Wasp,0,1,0
Aquaman,Whiplash,2,2,2
Aquaman,Whiplash (Mark II),1,1,1
Aquaman,White Wolf,2,1,0
Aquaman,Winter Soldier,2,1,0
Aquaman,Wolverine,2,2,2
Aquaman,Wong,1,1,1
Aquaman,YellowJacket,0,2,0
Aquaman,Yondu,2,2,2
Aquaman,Zeus,1,2,0
Ares,Atom Smasher,2,1,0
Ares,Batman,2,1,0
Ares,Black Adam,2,1,0
Ares,Black Canary,1,2,0
Ares,Black Manta,1,2,0
Ares,Black Mask,2,1,0
Ares,Bloodsport,1,2,0
Ares,Captain Boomerang,1,1,1
Ares,Cassandra Cain,2,1,0
Ares,Cheetah,2,0,0
Ares,Cyborg,2,1,0
Ares,Cyclone,2,2,2
Ares,Dark Flash,0,2,0
Ares,Darkseid,2,2,2
Ares,Deadshot,2,1,0
Ares,Doctor Fate,1,2,0
Ares,Doctor Sivana,1,2,0
Ares,Doomsday,2,1,0
Ares,El Diablo,2,1,0
Ares,Enchantress,2,2,2
Ares,Envy,2,2,2
Ares,Faora,1,2,0
Ares,Freddy Freeman,1,0,0
Ares,General Zod,2,1,0
Ares,Gluttony,2,2,2
Ares,Green Lantern,2,2,2
Ares,Harley Quinn,2,1,0
Ares,Hawkman,1,2,0
Ares,Hespera,1,2,0
Ares,Huntress,2,2,2
Ares,Incubus,2,2,2
Ares,Joker,2,1,0
Ares,Jor-El,2,2,2
Ares,Judomaster,2,1,0
Ares,Karathen,1,2,0
Ares,Katana,1,1,1
Ares,Killer Croc,0,2,0
Ares,King Nereus,2,2,2
Ares,King Shark,0,2,0
Ares,Lex Luthor,1,2,0
Ares,Lust,1,0,0
Ares,Mera,1,2,0
Ares,Mister Zsasz,2,1,0
Ares,Nam-Ek,0,1,0
Ares,Nuidis Vulko,0,2,0
Ares,Ocean Master,2,2,2
Ares,Parademon,1,2,0
Ares,Peacemaker,1,1,1
Ares,Penthesileia,1,2,0
Ares,Philippus,2,2,2
Ares,Polka-Dot Man,1,2,0
Ares,Queen Atlanna,2,2,2
Ares,Queen Hippolyta,0,1,0
Ares,Ratcatcher,0,2,0
Ares,Rick Flag,1,2,0
Ares,Sabbac,1,1,1
Ares,Savant,2,1,0
Ares,Shazam,2,2,2
Ares,Slipknot,2,0,0
Ares,Sol Soria,1,1,1
Ares,Starro,1,1,1
Ares,Steppenwolf,2,0,0
Ares,Supergirl,1,2,0
Ares,Superman,1,1,1
Ares,T.D.K.,0,1,0
Ares,The Flash,0,2,0
Ares,Vigilante,2,1,0
Ares,White Dragon,2,2,2
Ares,Wonder Woman (Armor of Asteria),2,2,2
Ares,Wrath,1,2,0
Ares,Zeus,1,2,0
Ares,Agatha Harkness,1,0,0
Ares,Abomination,1,0,0
Ares,Ajak,1,1,1
Ares,Ancient One (time stone),2,0,0
Ares,Ancient One,2,1,0
Ares,Ant-Man,1,1,1
Ares,Arishem The Judge,2,2,2
Ares,Ayo,2,1,0
Ares,Baby Groot,2,1,0
Ares,Baron Mordo,2,1,0
Ares,Baron Zemo,1,1,1
Ares,Black Bolt (Earth 838),1,2,0
Ares,Black Bolt,1,2,0
Ares,Black Panther,2,2,2
Ares,Black Panther,0,2,0
Ares,Black Widow,1,2,0
Ares,Black Widow,0,2,0
Ares,Bucky Barnes,0,0,0
Ares,Bullseye,2,1,0
Ares,Captain America,2,2,2
Ares,Captain America (Worthy),1,1,1
Ares,Captain Carter (Earth 838),0,1,0
Ares,Captain Marvel,1,1,1
Ares,Chitauri Footsoldier,1,1,1
Ares,Corvus Glaive,1,2,0
Ares,Crossbones,1,1,1
Ares,Cull Obsidian,1,1,1
Ares,Dar-Benn,2,1,0
Ares,Daredevil,2,2,2
Ares,Deathlok,0,2,0
Ares,Destroyer,1,1,1
Ares,Doctor Strange,2,2,2
Ares,Dormammu,1,1,1
Ares,Drax The Destroyer,2,2,2
Ares,Ebony Maw,2,2,2
Ares,Echo,1,2,0
Ares,Ego,0,1,0
Ares,Elektra,2,0,0
Ares,Eternity,0,1,0
Ares,Falcon,2,1,0
Ares,Fandral,2,1,0
Ares,Fat Thor,2,1,0
Ares,Fenris,1,1,1
Ares,Frigga,2,2,2
Ares,G'iah,1,1,1
Ares,Gamora,1,2,0
Ares,Gargantos,2,2,2
Ares,Ghost,1,2,0
Ares,Ghost Rider,2,2,2
Ares,Giant-Man,2,2,2
Ares,Gilgamesh,1,2,0
Ares,Gorr The God Butcher,0,1,0
Ares,Gravik,1,1,1
Ares,Groot,0,2,0
Ares,Hawkeye,0,1,0
Ares,Hawkeye,2,0,0
Ares,Heimdall,0,2,0
Ares,Hela,1,2,0
Ares,High Evolutionary,2,2,2
Ares,Hulk (Stark Gauntlet),0,0,0
Ares,Hulk,2,2,2
Ares,Ikaris,1,1,1
Ares,Iron Fist,1,2,0
Ares,Iron Man,2,1,0
Ares,Iron Man (Mk 1),2,2,2
Ares,Iron Man (Stark Gauntlet),2,0,0
Ares,Iron Man (Hulkbuster),2,0,0
Ares,Iron Monger,2,1,0
Ares,Iron Spider,1,1,1
Ares,Ironheart,1,2,0
Ares,Jemiah The Analyzer,2,1,0
Ares,Jessica Jones,2,1,0
Ares,Kaecilius,2,1,0
Ares,Kang the Conqueror,1,2,0
Ares,Killian,1,0,0
Ares,Killmonger,2,1,0
Ares,Kingo,1,2,0
Ares,Kingpin,2,2,2
Ares,Korath The Pursuer,2,2,2
Ares,Korg,1,2,0
Ares,Kro,2,0,0
Ares,Kurse,2,2,2
Ares,Kid Loki,1,2,0
Ares,Lady Loki,2,2,2
Ares,Leo Fitz,1,1,1
Ares,Leviathan,2,2,2
Ares,Loki,1,1,1
Ares,Loki (Mind Stone),2,2,2
Ares,Loki (Keeper Of The Multiverse),1,1,1
Ares,Loki (Variant L1130),0,1,0
Ares,Loki (King of Asgard),2,1,0
Ares,Luke Cage,0,1,0
Ares,M'baku,1,2,0
Ares,Makkari,2,2,2
Ares,Malekith (Reality Stone),2,2,2
Ares,Malekith,2,1,0
Ares,Mandarin,2,2,2
Ares,Mantis,1,2,0
Ares,Mighty Thor,1,1,1
Ares,MODOK,1,2,0
Ares,Moon Knight,2,1,0
Ares,Mr. Fantastic (Earth 838),2,0,0
Ares,Mr. Knight,2,1,0
Ares,Ms. America,2,2,2
Ares,Ms. Marvel,0,1,0
Ares,Mysterio,1,1,1
Ares,Namor,0,2,0
Ares,Nebula,1,1,1
Ares,Nick Fury,1,1,1
Ares,Nomad,2,2,2
Ares,Odin,1,1,1
Ares,Okoye,1,2,0
Ares,Outrider,1,1,1
Ares,Pepper Potts (Extremis),2,2,2
Ares,Phastos,2,1,0
Ares,Photon,1,2,0
Ares,Proxima Midnight,0,1,0
Ares,Quake,2,2,2
Ares,Quicksilver,0,2,0
Ares,Red Guardian,2,2,2
Ares,Red Skull (Stonekeeper),2,1,0
Ares,Red Skull,0,2,0
Ares,Rescue,0,1,0
Ares,Rocket Raccoon,2,2,2
Ares,Ronan The Accuser (Power Stone),1,1,1
Ares,Ronan The Accuser,1,1,1
Ares,Ronin,2,1,0
Ares,Scarlet Witch,2,2,2
Ares,Sersi (uni-mind),2,1,0
Ares,Sersi,2,1,0
Ares,Shang-Chi,1,1,1
Ares,She-Hulk,0,2,0
Ares,Shuri,2,2,2
Ares,Sif,2,1,0
Ares,Sinister Strange,1,2,0
Ares,Smart Hulk,2,2,2
Ares,Spectral Vision,1,1,1
Ares,Spider-Man,1,1,1
Ares,Star-Lord (Celestial Power),0,1,0
Ares,Star-Lord,1,2,0
Ares,Stature,0,2,0
Ares,Surtur,1,1,1
Ares,Swole Groot,1,1,1
Ares,Talos The Untamed,2,1,0
Ares,Taskmaster,2,1,0
Ares,Teenage Groot,2,2,2
Ares,Thanos,2,2,2
Ares,Thanos (Infinity Gauntlet),1,0,0
Ares,The Collector,1,2,0
Ares,The Executioner,2,1,0
Ares,The Grandmaster,1,2,0
Ares,The Great Protector,2,1,0
Ares,The Punisher,0,2,0
Ares,Thena,2,0,0
Ares,Thor (Pre-Ragnarok),0,1,0
Ares,Thor (Awakened),2,2,2
Ares,Thor,1,1,1
Ares,Ultron,2,2,2
Ares,Unworthy Thor,0,2,0
Ares,Valkyrie,2,2,2
Ares,Vision,2,2,2
Ares,Vulture,1,1,1
Ares,Wanda Maximoff (Pre-WandaVision),2,2,2
Ares,War Machine,2,2,2
Ares,Warlock,1,1,1
Ares,Wasp,2,2,2
Ares,Whiplash,2,2,2
Ares,Whiplash (Mark II),2,2,2
Ares,White Wolf,0,0,0
Ares,Winter Soldier,1,2,0
Ares,Wolverine,2,1,0
Ares,Wong,2,2,2
Ares,YellowJacket,1,1,1
Ares,Yondu,2,1,0
Ares,Zeus,1,2,0
Atom Smasher,Batman,1,2,0
Atom Smasher,Black Adam,1,2,0
Atom Smasher,Black Canary,1,1,1
Atom Smasher,Black Manta,2,2,2
Atom Smasher,Black Mask,0,2,0
Atom Smasher,Bloodsport,2,2,2
Atom Smasher,Captain Boomerang,2,0,0
Atom Smasher,Cassandra Cain,2,1,0
Atom Smasher,Cheetah,1,2,0
Atom Smasher,Cyborg,1,1,1
Atom Smasher,Cyclone,2,2,2
Atom Smasher,Dark Flash,2,1,0
Atom Smasher,Darkseid,1,2,0
Atom Smasher,Deadshot,2,2,2
Atom Smasher,Doctor Fate,2,2,2
Atom Smasher,Doctor Sivana,2,1,0
Atom Smasher,Doomsday,2,2,2
Atom Smasher,El Diablo,2,1,0
Atom Smasher,Enchantress,1,2,0
Atom Smasher,Envy,2,0,0
Atom Smasher,Faora,2,2,2
Atom Smasher,Freddy Freeman,0,2,0
Atom Smasher,General Zod,0,1,0
Atom Smasher,Gluttony,1,2,0
Atom Smasher,Green Lantern,2,0,0
Atom Smasher,Harley Quinn,2,2,2
Atom Smasher,Hawkman,1,2,0
Atom Smasher,Hespera,2,1,0
Atom Smasher,Huntress,1,1,1
Atom Smasher,Incubus,2,2,2
Atom Smasher,Joker,2,0,0
Atom Smasher,Jor-El,2,1,0
Atom Smasher,Judomaster,1,1,1
Atom Smasher,Karathen,1,1,1
Atom Smasher,Katana,1,0,0
Atom Smasher,Killer Croc,0,0,0
Atom Smasher,King Nereus,2,0,0
Atom Smasher,King Shark,2,2,2
Atom Smasher,Lex Luthor,2,2,2
Atom Smasher,Lust,2,1,0
Atom Smasher,Mera,2,2,2
Atom Smasher,Mister Zsasz,2,2,2
Atom Smasher,Nam-Ek,2,1,0
Atom Smasher,Nuidis Vulko,2,2,2
Atom Smasher,Ocean Master,1,2,0
Atom Smasher,Parademon,1,0,0
Atom Smasher,Peacemaker,1,1,1
Atom Smasher,Penthesileia,2,1,0
Atom Smasher,Philippus,2,2,2
Atom Smasher,Polka-Dot Man,1,1,1
Atom Smasher,Queen Atlanna,2,2,2
Atom Smasher,Queen Hippolyta,2,2,2
Atom Smasher,Ratcatcher,1,1,1
Atom Smasher,Rick Flag,1,0,0
Atom Smasher,Sabbac,2,1,0
Atom Smasher,Savant,1,1,1
Atom Smasher,Shazam,2,1,0
Atom Smasher,Slipknot,1,2,0
Atom Smasher,Sol Soria,2,2,2
Atom Smasher,Starro,2,1,0
Atom Smasher,Steppenwolf,2,2,2
Atom Smasher,Supergirl,2,0,0
Atom Smasher,Superman,1,1,1
Atom Smasher,T.D.K.,1,2,0
Atom Smasher,The Flash,0,1,0
Atom Smasher,Vigilante,2,2,2
Atom Smasher,White Dragon,2,2,2
Atom Smasher,Wonder Woman (Armor of Asteria),2,2,2
Atom Smasher,Wrath,1,1,1
Atom Smasher,Zeus,1,1,1
Atom Smasher,Agatha Harkness,0,0,0
Atom Smasher,Abomination,1,2,0
Atom Smasher,Ajak,2,2,2
Atom Smasher,Ancient One (time stone),1,2,0
Atom Smasher,Ancient One,1,2,0
Atom Smasher,Ant-Man,2,2,2
Atom Smasher,Arishem The Judge,1,2,0
Atom Smasher,Ayo,1,1,1
Atom Smasher,Baby Groot,2,2,2
Atom Smasher,Baron Mordo,1,2,0
Atom Smasher,Baron Zemo,2,1,0
Atom Smasher,Black Bolt (Earth 838),2,2,2
Atom Smasher,Black Bolt,2,2,2
Atom Smasher,Black Panther,1,2,0
Atom Smasher,Black Panther,2,2,2
Atom Smasher,Black Widow,1,1,1
Atom Smasher,Black Widow,1,1,1
Atom Smasher,Bucky Barnes,1,1,1
Atom Smasher,Bullseye,2,1,0
Atom Smasher,Captain America,1,1,1
Atom Smasher,Captain America (Worthy),1,1,1
Atom Smasher,Captain Carter (Earth 838),2,2,2
Atom Smasher,Captain Marvel,1,1,1
Atom Smasher,Chitauri Footsoldier,0,0,0
Atom Smasher,Corvus Glaive,1,1,1
Atom Smasher,Crossbones,1,1,1
Atom Smasher,Cull Obsidian,1,1,1
Atom Smasher,Dar-Benn,1,1,1
Atom Smasher,Daredevil,2,1,0
Atom Smasher,Deathlok,1,1,1
Atom Smasher,Destroyer,1,1,1
Atom Smasher,Doctor Strange,2,2,2
Atom Smasher,Dormammu,1,1,1
Atom Smasher,Drax The Destroyer,2,2,2
Atom Smasher,Ebony Maw,1,1,1
Atom Smasher,Echo,1,1,1
Atom Smasher,Ego,0,1,0
Atom Smasher,Elektra,1,2,0
Atom Smasher,Eternity,1,1,1
Atom Smasher,Falcon,1,2,0
Atom Smasher,Fandral,0,2,0
Atom Smasher,Fat Thor,1,1,1
Atom Smasher,Fenris,1,2,0
Atom Smasher,Frigga,1,1,1
Atom Smasher,G'iah,1,0,0
Atom Smasher,Gamora,1,1,1
Atom Smasher,Gargantos,2,1,0
Atom Smasher,Ghost,0,0,0
Atom Smasher,Ghost Rider,2,2,2
Atom Smasher,Giant-Man,2,1,0
Atom Smasher,Gilgamesh,0,2,0
Atom Smasher,Gorr The God Butcher,2,0,0
Atom Smasher,Gravik,2,2,2
Atom Smasher,Groot,0,1,0
Atom Smasher,Hawkeye,1,2,0
Atom Smasher,Hawkeye,2,2,2
Atom Smasher,Heimdall,2,1,0
Atom Smasher,Hela,1,1,1
Atom Smasher,High Evolutionary,1,1,1
Atom Smasher,Hulk (Stark Gauntlet),1,1,1
Atom Smasher,Hulk,1,1,1
Atom Smasher,Ikaris,2,2,2
Atom Smasher,Iron Fist,1,1,1
Atom Smasher,Iron Man,1,1,1
Atom Smasher,Iron Man (Mk 1),2,0,0
Atom Smasher,Iron Man (Stark Gauntlet),0,2,0
Atom Smasher,Iron Man (Hulkbuster),1,1,1
Atom Smasher,Iron Monger,2,1,0
Atom Smasher,Iron Spider,2,0,0
Atom Smasher,Ironheart,1,1,1
Atom Smasher,Jemiah The Analyzer,1,2,0
Atom Smasher,Jessica Jones,1,2,0
Atom Smasher,Kaecilius,1,2,0
Atom Smasher,Kang the Conqueror,1,2,0
Atom Smasher,Killian,1,2,0
Atom Smasher,Killmonger,1,1,1
Atom Smasher,Kingo,1,1,1
Atom Smasher,Kingpin,0,1,0
Atom Smasher,Korath The Pursuer,1,0,0
Atom Smasher,Korg,1,1,1
Atom Smasher,Kro,1,1,1
Atom Smasher,Kurse,1,1,1
Atom Smasher,Kid Loki,2,1,0
Atom Smasher,Lady Loki,2,2,2
Atom Smasher,Leo Fitz,2,2,2
Atom Smasher,Leviathan,2,1,0
Atom Smasher,Loki,1,2,0
Atom Smasher,Loki (Mind Stone),0,2,0
Atom Smasher,Loki (Keeper Of The Multiverse),1,2,0
Atom Smasher,Loki (Variant L1130),2,1,0
Atom Smasher,Loki (King of Asgard),2,2,2
Atom Smasher,Luke Cage,1,1,1
Atom Smasher,M'baku,1,2,0
Atom Smasher,Makkari,1,2,0
Atom Smasher,Malekith (Reality Stone),1,2,0
Atom Smasher,Malekith,2,1,0
Atom Smasher,Mandarin,2,2,2
Atom Smasher,Mantis,1,1,1
Atom Smasher,Mighty Thor,2,1,0
Atom Smasher,MODOK,2,1,0
Atom Smasher,Moon Knight,1,2,0
Atom Smasher,Mr. Fantastic (Earth 838),1,2,0
Atom Smasher,Mr. Knight,1,2,0
Atom Smasher,Ms. America,1,0,0
Atom Smasher,Ms. Marvel,1,1,1
Atom Smasher,Mysterio,1,0,0
Atom Smasher,Namor,1,1,1
Atom Smasher,Nebula,1,1,1
Atom Smasher,Nick Fury,2,1,0
Atom Smasher,Nomad,0,1,0
Atom Smasher,Odin,1,2,0
Atom Smasher,Okoye,1,2,0
Atom Smasher,Outrider,2,2,2
Atom Smasher,Pepper Potts (Extremis),1,1,1
Atom Smasher,Phastos,1,1,1
Atom Smasher,Photon,2,1,0
Atom Smasher,Proxima Midnight,2,1,0
Atom Smasher,Quake,2,2,2
Atom Smasher,Quicksilver,1,1,1
Atom Smasher,Red Guardian,1,2,0
Atom Smasher,Red Skull (Stonekeeper),2,2,2
Atom Smasher,Red Skull,2,1,0
Atom Smasher,Rescue,2,1,0
Atom Smasher,Rocket Raccoon,2,2,2
Atom Smasher,Ronan The Accuser (Power Stone),1,2,0
Atom Smasher,Ronan The Accuser,2,2,2
Atom Smasher,Ronin,1,2,0
Atom Smasher,Scarlet Witch,1,0,0
Atom Smasher,Sersi (uni-mind),1,0,0
Atom Smasher,Sersi,1,1,1
Atom Smasher,Shang-Chi,1,1,1
Atom Smasher,She-Hulk,1,1,1
Atom Smasher,Shuri,2,1,0
Atom Smasher,Sif,1,2,0
Atom Smasher,Sinister Strange,2,2,2
Atom Smasher,Smart Hulk,1,1,1
Atom Smasher,Spectral Vision,1,0,0
Atom Smasher,Spider-Man,1,2,0
Atom Smasher,Star-Lord (Celestial Power),0,1,0
Atom Smasher,Star-Lord,1,2,0
Atom Smasher,Stature,1,2,0
Atom Smasher,Surtur,0,1,0
Atom Smasher,Swole Groot,2,1,0
Atom Smasher,Talos The Untamed,1,2,0
Atom Smasher,Taskmaster,2,1,0
Atom Smasher,Teenage Groot,1,1,1
Atom Smasher,Thanos,2,1,0
Atom Smasher,Thanos (Infinity Gauntlet),2,2,2
Atom Smasher,The Collector,2,1,0
Atom Smasher,The Executioner,1,2,0
Atom Smasher,The Grandmaster,1,0,0
Atom Smasher,The Great Protector,1,0,0
Atom Smasher,The Punisher,2,2,2
Atom Smasher,Thena,2,1,0
Atom Smasher,Thor (Pre-Ragnarok),2,1,0
Atom Smasher,Thor (Awakened),1,1,1
Atom Smasher,Thor,2,1,0
Atom Smasher,Ultron,2,1,0
Atom Smasher,Unworthy Thor,1,2,0
Atom Smasher,Valkyrie,0,2,0
Atom Smasher,Vision,2,2,2
Atom Smasher,Vulture,2,2,2
Atom Smasher,Wanda Maximoff (Pre-WandaVision),2,2,2
Atom Smasher,War Machine,1,2,0
Atom Smasher,Warlock,2,2,2
Atom Smasher,Wasp,1,1,1
Atom Smasher,Whiplash,1,1,1
