Heroe_1,Heroe_2,universo_1,Intelligence_1,Strength_1,Speed_1,Durability_1,Power_1,Combat_1,Tier_1,Tier2_1,universo_2,Intelligence_2,Strength_2,Speed_2,Durability_2,Power_2,Combat_2,Tier_2,Tier2_2,Resultado_x
Ares,Batman,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,80,13,11,15,20,95,1,,1
Ares,Black Adam,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,100,75,45,75,75,3,3,1
Ares,Black Canary,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,55,1,6,5,35,40,1,,1
Ares,Black Manta,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,70,25,25,20,40,60,2,,1
Ares,Black Mask,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,60,1,6,5,5,30,0,,1
Ares,Bloodsport,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,70,1,8,15,20,85,1,,1
Ares,Captain Boomerang,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,45,1,6,7,10,40,0,,1
Ares,Cassandra Cain,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,45,1,1,1,1,30,0,,1
Ares,Cheetah,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,60,50,14,15,30,65,1,,1
Ares,Cyborg,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,70,40,30,35,65,50,2,,1
Ares,Cyclone,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,80,1,25,15,50,40,1,,1
Ares,Dark Flash,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,80,25,100,35,85,50,5,,1
Ares,Darkseid,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,95,100,30,55,90,95,4,4,2
Ares,Deadshot,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,60,1,6,7,17,45,1,0++,1
Ares,Doctor Fate,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,85,75,60,45,85,70,3,3+,1
Ares,Doctor Sivana,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,70,95,60,40,70,55,3,,1
Ares,Doomsday,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,35,100,45,45,75,25,3,,1
Ares,El Diablo,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,55,25,6,10,35,45,1,,1
Ares,Enchantress,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,80,70,20,18,70,70,3,,1
Ares,Envy,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,65,65,40,60,65,3,,1
Ares,Faora,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,70,95,60,45,70,85,3,,1
Ares,Freddy Freeman,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,0,0,0,0,0,0,0,,1
Ares,General Zod,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,70,100,50,40,75,85,3,,1
Ares,Gluttony,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,65,65,40,60,65,3,,1
Ares,Green Lantern,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,75,25,40,65,70,3,,1
Ares,Harley Quinn,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,60,5,8,10,10,80,1,,1
Ares,Hawkman,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,30,25,25,50,80,2,,1
Ares,Hespera,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,0,0,0,0,0,0,0,,1
Ares,Huntress,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,50,1,1,5,5,50,1,,1
Ares,Incubus,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,55,30,6,30,50,30,2,,1
Ares,Joker,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,1,7,5,10,45,1,,1
Ares,Jor-El,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,80,1,6,10,10,80,1,,1
Ares,Judomaster,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,60,1,6,15,10,100,1,,1
Ares,Karathen,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,75,95,25,50,60,30,3,,1
Ares,Katana,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,55,1,7,9,15,80,1,,1
Ares,Killer Croc,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,45,25,14,20,30,40,1,,1
Ares,King Nereus,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,70,45,30,25,45,75,2,,1
Ares,King Shark,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,50,30,17,25,40,40,1,1+,1
Ares,Lex Luthor,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,80,1,1,5,1,15,1,,1
Ares,Lust,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,65,65,40,60,65,3,,1
Ares,Mera,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,30,25,30,45,70,2,,1
Ares,Mister Zsasz,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,50,1,1,5,5,30,0,,1
Ares,Nam-Ek,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,95,50,40,70,65,3,,1
Ares,Nuidis Vulko,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,30,25,20,40,90,1,,1
Ares,Ocean Master,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,55,30,35,50,90,3,,1
Ares,Parademon,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,55,25,17,10,20,60,1,,1
Ares,Peacemaker,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,5,7,15,20,80,1,,1
Ares,Penthesileia,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,60,65,50,35,50,95,2,,1
Ares,Philippus,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,55,75,50,35,35,75,2,,1
Ares,Polka-Dot Man,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,60,1,6,10,35,35,1,,1
Ares,Queen Atlanna,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,70,30,25,30,50,75,2,,1
Ares,Queen Hippolyta,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,85,30,25,30,40,100,2,,1
Ares,Ratcatcher,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,1,6,5,10,20,1,,1
Ares,Rick Flag,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,55,1,6,10,10,70,1,,1
Ares,Sabbac,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,70,100,50,45,75,70,3,,1
Ares,Savant,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,55,1,1,5,10,40,1,,1
Ares,Shazam,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,60,95,60,40,70,30,3,3,1
Ares,Slipknot,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,45,1,1,5,5,30,0,,1
Ares,Sol Soria,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,55,1,1,5,5,40,0,,1
Ares,Starro,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,70,25,25,60,30,2,,1
Ares,Steppenwolf,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,90,90,25,45,65,100,3,,1
Ares,Supergirl,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,60,75,50,40,75,45,3,,1
Ares,Superman,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,80,100,85,45,80,50,3,4,1
Ares,T.D.K.,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,50,1,6,10,30,40,1,,1
Ares,The Flash,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,80,25,100,30,85,40,5,,1
Ares,Vigilante,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,60,1,7,10,10,70,1,,1
Ares,White Dragon,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,13,25,10,20,40,1,,1
Ares,Wonder Woman,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,80,95,70,60,55,100,3,,0
Ares,Wrath,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,65,65,65,40,60,65,3,,1
Ares,Zeus,DC Extended Universe,90,100,50,50,70,100,4,4,DC Extended Universe,95,100,25,50,80,85,4,4,1
Atom Smasher,Batman,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,80,13,11,15,20,95,1,,2
Atom Smasher,Black Adam,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,100,75,45,75,75,3,3,2
Atom Smasher,Black Canary,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,55,1,6,5,35,40,1,,1
Atom Smasher,Black Manta,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,70,25,25,20,40,60,2,,2
Atom Smasher,Black Mask,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,60,1,6,5,5,30,0,,1
Atom Smasher,Bloodsport,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,70,1,8,15,20,85,1,,1
Atom Smasher,Captain Boomerang,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,45,1,6,7,10,40,0,,1
Atom Smasher,Cassandra Cain,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,45,1,1,1,1,30,0,,1
Atom Smasher,Cheetah,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,60,50,14,15,30,65,1,,2
Atom Smasher,Cyborg,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,70,40,30,35,65,50,2,,2
Atom Smasher,Cyclone,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,80,1,25,15,50,40,1,,2
Atom Smasher,Dark Flash,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,80,25,100,35,85,50,5,,2
Atom Smasher,Darkseid,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,95,100,30,55,90,95,4,4,2
Atom Smasher,Deadshot,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,60,1,6,7,17,45,1,0++,1
Atom Smasher,Doctor Fate,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,85,75,60,45,85,70,3,3+,2
Atom Smasher,Doctor Sivana,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,70,95,60,40,70,55,3,,2
Atom Smasher,Doomsday,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,35,100,45,45,75,25,3,,2
Atom Smasher,El Diablo,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,55,25,6,10,35,45,1,,1
Atom Smasher,Enchantress,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,80,70,20,18,70,70,3,,2
Atom Smasher,Envy,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,65,65,40,60,65,3,,2
Atom Smasher,Faora,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,70,95,60,45,70,85,3,,2
Atom Smasher,Freddy Freeman,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,0,0,0,0,0,0,0,,1
Atom Smasher,General Zod,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,70,100,50,40,75,85,3,,2
Atom Smasher,Gluttony,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,65,65,40,60,65,3,,2
Atom Smasher,Green Lantern,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,75,25,40,65,70,3,,2
Atom Smasher,Harley Quinn,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,60,5,8,10,10,80,1,,1
Atom Smasher,Hawkman,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,30,25,25,50,80,2,,2
Atom Smasher,Hespera,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,0,0,0,0,0,0,0,,1
Atom Smasher,Huntress,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,50,1,1,5,5,50,1,,1
Atom Smasher,Incubus,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,55,30,6,30,50,30,2,,2
Atom Smasher,Joker,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,1,7,5,10,45,1,,1
Atom Smasher,Jor-El,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,80,1,6,10,10,80,1,,1
Atom Smasher,Judomaster,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,60,1,6,15,10,100,1,,1
Atom Smasher,Karathen,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,75,95,25,50,60,30,3,,2
Atom Smasher,Katana,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,55,1,7,9,15,80,1,,1
Atom Smasher,Killer Croc,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,45,25,14,20,30,40,1,,1
Atom Smasher,King Nereus,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,70,45,30,25,45,75,2,,2
Atom Smasher,King Shark,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,50,30,17,25,40,40,1,1+,2
Atom Smasher,Lex Luthor,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,80,1,1,5,1,15,1,,1
Atom Smasher,Lust,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,65,65,40,60,65,3,,2
Atom Smasher,Mera,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,30,25,30,45,70,2,,2
Atom Smasher,Mister Zsasz,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,50,1,1,5,5,30,0,,1
Atom Smasher,Nam-Ek,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,95,50,40,70,65,3,,2
Atom Smasher,Nuidis Vulko,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,30,25,20,40,90,1,,2
Atom Smasher,Ocean Master,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,55,30,35,50,90,3,,2
Atom Smasher,Parademon,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,55,25,17,10,20,60,1,,1
Atom Smasher,Peacemaker,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,5,7,15,20,80,1,,1
Atom Smasher,Penthesileia,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,60,65,50,35,50,95,2,,2
Atom Smasher,Philippus,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,55,75,50,35,35,75,2,,2
Atom Smasher,Polka-Dot Man,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,60,1,6,10,35,35,1,,1
Atom Smasher,Queen Atlanna,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,70,30,25,30,50,75,2,,2
Atom Smasher,Queen Hippolyta,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,85,30,25,30,40,100,2,,2
Atom Smasher,Ratcatcher,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,1,6,5,10,20,1,,1
Atom Smasher,Rick Flag,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,55,1,6,10,10,70,1,,1
Atom Smasher,Sabbac,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,70,100,50,45,75,70,3,,2
Atom Smasher,Savant,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,55,1,1,5,10,40,1,,1
Atom Smasher,Shazam,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,60,95,60,40,70,30,3,3,2
Atom Smasher,Slipknot,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,45,1,1,5,5,30,0,,1
Atom Smasher,Sol Soria,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,55,1,1,5,5,40,0,,1
Atom Smasher,Starro,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,70,25,25,60,30,2,,2
Atom Smasher,Steppenwolf,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,90,90,25,45,65,100,3,,2
Atom Smasher,Supergirl,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,60,75,50,40,75,45,3,,2
Atom Smasher,Superman,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,80,100,85,45,80,50,3,4,2
Atom Smasher,T.D.K.,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,50,1,6,10,30,40,1,,1
Atom Smasher,The Flash,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,80,25,100,30,85,40,5,,2
Atom Smasher,Vigilante,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,60,1,7,10,10,70,1,,1
Atom Smasher,White Dragon,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,13,25,10,20,40,1,,1
Atom Smasher,Wonder Woman,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,80,95,70,60,55,100,3,,2
Atom Smasher,Wrath,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,65,65,65,40,60,65,3,,2
Atom Smasher,Zeus,DC Extended Universe,60,30,25,25,40,20,2,,DC Extended Universe,95,100,25,50,80,85,4,4,2
Batman,Black Adam,DC Extended Universe,80,13,11,15,20,95,1,,DC Extended Universe,65,100,75,45,75,75,3,3,2
Batman,Black Canary,DC Extended Universe,80,13,11,15,20,95,1,,DC Extended Universe,55,1,6,5,35,40,1,,1
Batman,Black Manta,DC Extended Universe,80,13,11,15,20,95,1,,DC Extended Universe,70,25,25,20,40,60,2,,2
Batman,Black Mask,DC Extended Universe,80,13,11,15,20,95,1,,DC Extended Universe,60,1,6,5,5,30,0,,1
Batman,Bloodsport,DC Extended Universe,80,13,11,15,20,95,1,,DC Extended Universe,70,1,8,15,20,85,1,,1
