nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe
Helmut J. Zemo,Baron Zemo,Marvel Cinematic Universe,https://www.superherodb.com/baron-zemo/10-13898/,75,5,10,10,15,70,1,,"['Disguise Mastery', 'Intelligence', 'Marksmanship', 'Stamina', 'Stealth', 'Weapons Master', 'Agility', 'Dexterity', 'Endurance', 'Hacking', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Vehicular Mastery', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Baron Zemo', 'Mcu Thunderbolts', 'My Collection', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Baron Zemo
Blackagar Boltagon,Black Bolt (Earth 838),Marvel Cinematic Universe,https://www.superherodb.com/black-bolt-earth-838/10-48278/,75,13,14,20,55,50,4,,"['Audio Alteration', 'Durability', 'Intelligence', 'Sonic Scream', 'Stamina', 'Agility', 'Endurance', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Enhanced Hearing', 'Enhanced Sight', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Illuminati', 'Black Bolt', 'Doctor Strange In The Multiverse Of Madness (2022)', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Black Bolt (Earth-838)
Blackagar Boltagon,Black Bolt,Marvel Cinematic Universe,https://www.superherodb.com/black-bolt/10-16576/,70,15,20,20,70,80,3,,"['Audio Alteration', 'Durability', 'Intelligence', 'Master Martial Artist', 'Master Tactician', 'Sonic Scream', 'Stamina', 'Weapons Master', 'Agility', 'Dexterity', 'Endurance', 'Enhanced Hearing', 'Enhanced Sight', 'Reflexes', 'Telepathy', 'Telepathy Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Black Bolt', 'Rotemeg', 'Ahasan', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Black Bolt
T'Challa,Black Panther,Marvel Cinematic Universe,https://www.superherodb.com/black-panther/10-12586/,75,25,25,30,30,95,1,,"['Acrobatics', 'Agility', 'Durability', 'Endurance', 'Energy Absorption', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Peak Human Condition', 'Stamina', 'Stealth', 'Vision - Night', 'Accelerated Healing', 'Acid Resistants', 'Animal Oriented Powers', 'Attack Reflection', 'Camouflage', 'Cold Resistance', 'Danger Sense', 'Dexterity', 'Gadget Usage', 'Heat Resistance', 'Hunters Instinct', 'Jump', 'Longevity', 'Master Tactician', 'Preparation', 'Reflexes', 'Shockwaves Generation', 'Swordsmanship', 'Weapon-based Powers', 'Weapons Master', 'Adaptation', 'Animal Attributes', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Hearing', 'Enhanced Sight', 'Fire Resistance', 'Power Suit', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Team America', 'Avengers', 'Black Panther', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Mcu Superheroes', 'Movie Heroes', 'My Collection', 'Roleplaying Collection', 'Rotemeg', 'Ahasan', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Black Panther
Shuri,Black Panther,Marvel Cinematic Universe,https://www.superherodb.com/black-panther/10-52499/,80,20,25,30,30,70,1,,"['Acrobatics', 'Agility', 'Durability', 'Endurance', 'Grappling/Climbing', 'Hunters Instinct', 'Indomitable Will', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Wallcrawling', 'Weapons Master', 'Accelerated Healing', 'Animal Oriented Powers', 'Cold Resistance', 'Danger Sense', 'Dexterity', 'Energy Absorption', 'Enhanced Hearing', 'Enhanced Sight', 'Fire Resistance', 'Gadget Usage', 'Heat Resistance', 'Information Analysis', 'Instinctive Reaction', 'Jump', 'Master Tactician', 'Power Suit', 'Preparation', 'Shockwaves Generation', 'Social Influencing', 'Swordsmanship', 'Vehicular Mastery', 'Vibration Manipulation', 'Vision - Night', 'Electricity Resistance', 'Enhanced Touch', 'Robotic Engineering', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Black Panther', 'A-force (mcu)', 'Mcu Superheroes', 'Rotemeg', 'Ahasan', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Black Panther (Variant)
Natasha Romanoff,Black Widow,Marvel Cinematic Universe,https://www.superherodb.com/black-widow/10-12499/,75,5,8,10,20,90,1,,"['Acrobatics', 'Dexterity', 'Durability', 'Endurance', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Stealth', 'Vehicular Mastery', 'Weapons Master', 'Agility', 'Hacking', 'Jump', 'Pressure Points', 'Weapon-based Powers', 'Accelerated Healing', 'Adaptation', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers', 'Black Widow', 'A-force (mcu)', 'Avengers: Age Of Ultron (2015)', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Captain America: Winter Soldier (2014)', 'Mcu Superheroes', 'Movie Heroes', 'My Collection', 'People Who Like Each Other:', 'Roleplaying Collection', 'White Ranked Warriors', 'Rotemeg', 'Ahasan', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Black Widow
Yelena Belova,Black Widow,Marvel Cinematic Universe,https://www.superherodb.com/black-widow/10-25886/,70,5,8,15,20,85,1,,"['Acrobatics', 'Agility', 'Dexterity', 'Disguise Mastery', 'Endurance', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Stealth', 'Vehicular Mastery', 'Weapons Master', 'Hacking', 'Pressure Points', 'Accelerated Healing', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Black Widow', 'Mcu Thunderbolts', 'Movie Heroes', 'Rotemeg', 'Ahasan', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Black Widow (Variant)
Bucky Barnes,Bucky Barnes,Marvel Cinematic Universe,https://www.superherodb.com/bucky-barnes/10-12601/,60,1,1,5,5,40,1,,"['Peak Human Condition', 'Stamina', 'Agility', 'Marksmanship', 'Reflexes', 'Stealth', 'Weapons Master', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'My Collection', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Bucky Barnes
Benjamin Poindexter,Bullseye,Marvel Cinematic Universe,https://www.superherodb.com/bullseye/10-15428/,60,6,14,10,15,75,1,,"['Longevity', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Stamina', 'Weapons Master', 'Acrobatics', 'Agility', 'Dexterity', 'Endurance', 'Master Tactician', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Bullseye', 'My Favorite Characters ⭐ Pcf Updated', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Bullseye
Sam Wilson,Captain America,Marvel Cinematic Universe,https://www.superherodb.com/captain-america/10-29352/,65,25,25,15,25,80,1,,"['Acrobatics', 'Durability', 'Intelligence', 'Marksmanship', 'Peak Human Condition', 'Stamina', 'Super Speed', 'Super Strength', 'Cold Resistance', 'Endurance', 'Energy Resistance', 'Enhanced Sight', 'Flight', 'Hacking', 'Heat Generation', 'Indomitable Will', 'Laser Manipulation', 'Levitation', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Stealth', 'Vision - Infrared', 'Vision - Night', 'Vision - Thermal', 'Weapon-based Powers', 'Weapons Master', 'Agility', 'Dexterity', 'Energy Beams', 'Energy Blasts', 'Fire Resistance', 'Heat Resistance', 'Illumination', 'Information Analysis', 'Invulnerability', 'Jump', 'Technopath/Cyberpath', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Captain America', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Captain America
Steve Rogers,Captain America (Worthy),Marvel Cinematic Universe,https://www.superherodb.com/captain-america-worthy/10-16755/,70,100,75,50,75,90,4,,"['Acrobatics', 'Dexterity', 'Durability', 'Electrokinesis', 'Endurance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Indomitable Will', 'Intelligence', 'Longevity', 'Master Martial Artist', 'Master Tactician', 'Pain Suppression', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Terrakinesis', 'Vortex Creation', 'Weapon Summoning', 'Weapons Master', 'Weather Control', 'Accelerated Healing', 'Acid Resistants', 'Agility', 'Attack Reflection', 'Audio Control', 'Cold Resistance', 'Electricity Absorption', 'Electricity Resistance', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Explosion Manipulation', 'Illumination', 'Invulnerability', 'Jump', 'Levitation', 'Marksmanship', 'Mind Control Resistance', 'Photographic Reflexes', 'Radiation Immunity', 'Regeneration', 'Seismic Power', 'Shockwaves Generation', 'Spaceflight', 'Toxin and Disease Resistance', 'Vehicular Mastery', 'Weapon-based Powers', 'Wind Control', 'Fire Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Captain America', 'Avengers: Endgame (2019)', 'My Collection', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Captain America (Worthy)
Peggy Carter,Captain Carter (Earth 838),Marvel Cinematic Universe,https://www.superherodb.com/captain-carter-earth-838/10-48113/,75,25,19,20,20,90,1,,"['Acrobatics', 'Endurance', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Weapons Master', 'Agility', 'Energy Resistance', 'Flight', 'Indomitable Will', 'Jump', 'Master Tactician', 'Stealth', 'Swordsmanship', 'Weapon-based Powers', 'Accelerated Healing', 'Dexterity', 'Fire Resistance', 'Heat Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Illuminati', 'Doctor Strange In The Multiverse Of Madness (2022)', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Captain Carter (Earth-838)
Carol Danvers,Captain Marvel,Marvel Cinematic Universe,https://www.superherodb.com/captain-marvel/10-12611/,70,100,100,70,85,75,4,4+,"['Cold Resistance', 'Dexterity', 'Dig', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Absorption', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Condition', 'Explosion Manipulation', 'Fire Control', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Illumination', 'Intelligence', 'Interstellar Travel', 'Levitation', 'Light Control', 'Longevity', 'Multilingualism', 'Radiation Absorption', 'Radiation Control', 'Radiation Immunity', 'Reflexes', 'Self-Sustenance', 'Space Survivability', 'Spaceflight', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Vaporising Beams', 'Vehicular Mastery', 'Accelerated Healing', 'Acid Resistants', 'Acrobatics', 'Afterimage Creation', 'Agility', 'Aura', 'Bloodlust', 'Cloth Manipulation', 'Data Manipulation', 'Dimensional Awareness', 'Dimensional Travel', 'Durability Negation', 'Electricity Absorption', 'Electro-Magnetism Manipulation', 'Electrokinesis', 'Energy Beams', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Entropy Projection', 'Force Fields', 'Gadget Usage', 'Immortality Negation', 'Indomitable Will', 'Information Analysis', 'Invulnerability', 'Jump', 'Leadership', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Matter Absorption', 'Pain Suppression', 'Possession Resistance', 'Reactive Power Level', 'Regeneration', 'Seismic Power', 'Shockwaves Generation', 'Toxin and Disease Resistance', 'Vision - Night', 'Weapons Master', 'Immortality', 'Intimidation', 'Latent Abilities', 'Power Absorption', 'Regeneration Negation', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Anachronauts', 'Avengers', 'Captain Marvel', 'A-force (mcu)', 'Avengers: Endgame (2019)', ""Mcu Spider-man's Friends And Allies"", 'Mcu Superheroes', 'My Collection', 'My Favorite Characters ⭐ Pcf Updated', 'Red Ranked Warriors', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Captain Marvel
,Chitauri Footsoldier,Marvel Cinematic Universe,https://www.superherodb.com/chitauri-footsoldier/10-26717/,55,13,8,10,10,55,1,,"['Durability', 'Endurance', 'Stamina', 'Super Strength', 'Energy Blasts', 'Marksmanship', 'Reflexes', 'Stealth', 'Weapons Master', 'Agility', 'Cold Resistance', 'Dexterity', 'Jump', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', '#shdb - Horde Characters', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Chitauri Footsoldier
Corvus Glaive,Corvus Glaive,Marvel Cinematic Universe,https://www.superherodb.com/corvus-glaive/10-16758/,70,25,11,20,45,75,1,,"['Durability', 'Intelligence', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Weapons Master', 'Accelerated Healing', 'Agility', 'Endurance', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Acrobatics', 'Attack Reflection', 'Cold Resistance', 'Dexterity', 'Jump', 'Weapon-based Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Corvus Glaive', 'Avengers: Endgame (2019)', 'My Collection', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Corvus Glaive
Brock Rumlow,Crossbones,Marvel Cinematic Universe,https://www.superherodb.com/crossbones/10-13066/,60,25,17,15,10,70,1,,"['Durability', 'Stamina', 'Agility', 'Dexterity', 'Electricity Resistance', 'Endurance', 'Grappling/Climbing', 'Information Analysis', 'Marksmanship', 'Master Martial Artist', 'Pain Suppression', 'Reflexes', 'Stealth', 'Weapons Master', 'Explosion Manipulation', 'Hacking', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Crossbones', 'Avengers: Endgame (2019)', 'Captain America: Winter Soldier (2014)', 'My Collection', 'Roleplaying Collection', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Crossbones
Cull Obsidian,Cull Obsidian,Marvel Cinematic Universe,https://www.superherodb.com/cull-obsidian/10-16759/,60,75,20,40,50,70,3,,"['Cold Resistance', 'Durability', 'Endurance', 'Energy Resistance', 'Heat Resistance', 'Intelligence', 'Jump', 'Radiation Immunity', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Weapons Master', 'Accelerated Healing', 'Agility', 'Dexterity', 'Fire Resistance', 'Invulnerability', 'Marksmanship', 'Natural Armor', 'Reflexes', 'Stealth', 'Weapon-based Powers', 'Acrobatics', 'Attack Reflection', 'Master Martial Artist', 'Regeneration', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers: Endgame (2019)', 'My Collection', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Cull Obsidian
Dar-Benn,Dar-Benn,Marvel Cinematic Universe,https://www.superherodb.com/dar-benn/10-57164/,70,75,35,55,80,80,4,,"['Accelerated Healing', 'Dexterity', 'Durability', 'Energy Absorption', 'Intelligence', 'Master Tactician', 'Stamina', 'Super Speed', 'Super Strength', 'Weapons Master', 'Agility', 'Clairvoyance', 'Cold Resistance', 'Dimensional Travel', 'Electrokinesis', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Force Fields', 'Longevity', 'Portal Creation', 'Reflexes', 'Regeneration', 'Space Survivability', 'Statistics Amplification', 'Swordsmanship', 'Acrobatics', 'Heat Resistance', 'Immortality', 'Interstellar Travel', 'Self-Sustenance', 'Shockwaves Generation', 'Time Travel', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Dar-Benn
