Heroe 1,Heroe 2
Aquaman,Baron Zemo
Aquaman,Black Bolt (Earth 838)
Aquaman,Black Bolt
Aquaman,Black Panther
Aquaman,Black Panther
Aquaman,Black Widow
Aquaman,Black Widow
Aquaman,Bucky Barnes
Aquaman,Bullseye
Aquaman,Captain America
Aquaman,Captain America (Worthy)
Aquaman,Captain Carter (Earth 838)
Aquaman,Captain Marvel
Aquaman,Chitauri Footsoldier
Aquaman,Corvus Glaive
Aquaman,Crossbones
Aquaman,Cull Obsidian
Aquaman,Dar-Benn
Aquaman,Daredevil
Aquaman,Deathlok
Aquaman,Destroyer
Aquaman,Doctor Strange
Aquaman,Dormammu
Aquaman,Drax The Destroyer
Aquaman,Ebony Maw
Aquaman,Echo
Aquaman,Ego
Aquaman,Elektra
Aquaman,Eternity
Aquaman,Falcon
Aquaman,Fandral
Aquaman,Fat Thor
Aquaman,Fenris
Aquaman,Frigga
Aquaman,G'iah
Aquaman,Gamora
Aquaman,Gargantos
Aquaman,Ghost
Aquaman,Ghost Rider
Aquaman,Giant-Man
Aquaman,Gilgamesh
Aquaman,Gorr The God Butcher
Aquaman,Gravik
Aquaman,Groot
Aquaman,Hawkeye
Aquaman,Hawkeye
Aquaman,Heimdall
Aquaman,Hela
Aquaman,High Evolutionary
Aquaman,Hulk (Stark Gauntlet)
Aquaman,Hulk
Aquaman,Ikaris
Aquaman,Iron Fist
Aquaman,Iron Man
Aquaman,Iron Man (Mk 1)
Aquaman,Iron Man (Stark Gauntlet)
Aquaman,Iron Man (Hulkbuster)
Aquaman,Iron Monger
Aquaman,Iron Spider
Aquaman,Ironheart
Aquaman,Jemiah The Analyzer
Aquaman,Jessica Jones
Aquaman,Kaecilius
Aquaman,Kang the Conqueror
Aquaman,Killian
Aquaman,Killmonger
Aquaman,Kingo
Aquaman,Kingpin
Aquaman,Korath The Pursuer
Aquaman,Korg
Aquaman,Kro
Aquaman,Kurse
Aquaman,Kid Loki
Aquaman,Lady Loki
Aquaman,Leo Fitz
Aquaman,Leviathan
Aquaman,Loki
Aquaman,Loki (Mind Stone)
Aquaman,Loki (Keeper Of The Multiverse)
Aquaman,Loki (Variant L1130)
Aquaman,Loki (King of Asgard)
Aquaman,Luke Cage
Aquaman,M'baku
Aquaman,Makkari
Aquaman,Malekith (Reality Stone)
Aquaman,Malekith
Aquaman,Mandarin
Aquaman,Mantis
Aquaman,Mighty Thor
Aquaman,MODOK
Aquaman,Moon Knight
Aquaman,Mr. Fantastic (Earth 838)
Aquaman,Mr. Knight
Aquaman,Ms. America
Aquaman,Ms. Marvel
Aquaman,Mysterio
Aquaman,Namor
Aquaman,Nebula
Aquaman,Nick Fury
Aquaman,Nomad
Aquaman,Odin
Aquaman,Okoye
Aquaman,Outrider
Aquaman,Pepper Potts (Extremis)
Aquaman,Phastos
Aquaman,Photon
Aquaman,Proxima Midnight
Aquaman,Quake
Aquaman,Quicksilver
Aquaman,Red Guardian
Aquaman,Red Skull (Stonekeeper)
Aquaman,Red Skull
Aquaman,Rescue
Aquaman,Rocket Raccoon
Aquaman,Ronan The Accuser (Power Stone)
Aquaman,Ronan The Accuser
Aquaman,Ronin
Aquaman,Scarlet Witch
Aquaman,Sersi (uni-mind)
Aquaman,Sersi
Aquaman,Shang-Chi
Aquaman,She-Hulk
Aquaman,Shuri
Aquaman,Sif
Aquaman,Sinister Strange
Aquaman,Smart Hulk
Aquaman,Spectral Vision
Aquaman,Spider-Man
Aquaman,Star-Lord (Celestial Power)
Aquaman,Star-Lord
Aquaman,Stature
Aquaman,Surtur
Aquaman,Swole Groot
Aquaman,Talos The Untamed
Aquaman,Taskmaster
Aquaman,Teenage Groot
Aquaman,Thanos
Aquaman,Thanos (Infinity Gauntlet)
Aquaman,The Collector
Aquaman,The Executioner
Aquaman,The Grandmaster
Aquaman,The Great Protector
Aquaman,The Punisher
Aquaman,Thena
Aquaman,Thor (Pre-Ragnarok)
Aquaman,Thor (Awakened)
Aquaman,Thor
Aquaman,Ultron
Aquaman,Unworthy Thor
Aquaman,Valkyrie
Aquaman,Vision
Aquaman,Volstagg
Aquaman,Vulture
Aquaman,Wanda Maximoff (Pre-WandaVision)
Aquaman,War Machine
Aquaman,Warlock
Aquaman,Wasp
Aquaman,Whiplash
Aquaman,Whiplash (Mark II)
Aquaman,White Wolf
Aquaman,Winter Soldier
Aquaman,Wolverine
Aquaman,Wong
Aquaman,YellowJacket
Aquaman,Yondu
Aquaman,Zeus
Ares,Atom Smasher
Ares,Batman
Ares,Black Adam
Ares,Black Canary
Ares,Black Manta
Ares,Black Mask
Ares,Bloodsport
Ares,Captain Boomerang
Ares,Cassandra Cain
Ares,Cheetah
Ares,Cyborg
Ares,Cyclone
Ares,Dark Flash
Ares,Darkseid
Ares,Deadshot
Ares,Doctor Fate
Ares,Doctor Sivana
Ares,Doomsday
Ares,El Diablo
Ares,Enchantress
Ares,Envy
Ares,Faora
Ares,Freddy Freeman
Ares,General Zod
Ares,Gluttony
Ares,Green Lantern
Ares,Harley Quinn
Ares,Hawkman
Ares,Hespera
Ares,Huntress
Ares,Incubus
Ares,Joker
Ares,Jor-El
Ares,Judomaster
Ares,Karathen
Ares,Katana
Ares,Killer Croc
Ares,King Nereus
Ares,King Shark
Ares,Lex Luthor
Ares,Lust
Ares,Mera
Ares,Mister Zsasz
Ares,Nam-Ek
Ares,Nuidis Vulko
Ares,Ocean Master
Ares,Parademon
Ares,Peacemaker
Ares,Penthesileia
Ares,Philippus
Ares,Polka-Dot Man
Ares,Queen Atlanna
Ares,Queen Hippolyta
Ares,Ratcatcher
Ares,Rick Flag
Ares,Sabbac
Ares,Savant
Ares,Shazam
Ares,Slipknot
Ares,Sol Soria
Ares,Starro
Ares,Steppenwolf
Ares,Supergirl
Ares,Superman
Ares,T.D.K.
Ares,The Flash
Ares,Vigilante
Ares,White Dragon
Ares,Wonder Woman (Armor of Asteria)
Ares,Wrath
Ares,Zeus
Ares,Agatha Harkness
Ares,Abomination
Ares,Ajak
Ares,Ancient One (time stone)
Ares,Ancient One
Ares,Ant-Man
Ares,Arishem The Judge
Ares,Ayo
Ares,Baby Groot
Ares,Baron Mordo
Ares,Baron Zemo
Ares,Black Bolt (Earth 838)
Ares,Black Bolt
Ares,Black Panther
Ares,Black Panther
Ares,Black Widow
Ares,Black Widow
Ares,Bucky Barnes
Ares,Bullseye
Ares,Captain America
Ares,Captain America (Worthy)
Ares,Captain Carter (Earth 838)
Ares,Captain Marvel
Ares,Chitauri Footsoldier
Ares,Corvus Glaive
Ares,Crossbones
Ares,Cull Obsidian
Ares,Dar-Benn
Ares,Daredevil
Ares,Deathlok
Ares,Destroyer
Ares,Doctor Strange
Ares,Dormammu
Ares,Drax The Destroyer
Ares,Ebony Maw
Ares,Echo
Ares,Ego
Ares,Elektra
Ares,Eternity
Ares,Falcon
Ares,Fandral
Ares,Fat Thor
Ares,Fenris
Ares,Frigga
Ares,G'iah
Ares,Gamora
Ares,Gargantos
Ares,Ghost
Ares,Ghost Rider
Ares,Giant-Man
Ares,Gilgamesh
Ares,Gorr The God Butcher
Ares,Gravik
Ares,Groot
Ares,Hawkeye
Ares,Hawkeye
Ares,Heimdall
Ares,Hela
Ares,High Evolutionary
Ares,Hulk (Stark Gauntlet)
Ares,Hulk
Ares,Ikaris
Ares,Iron Fist
Ares,Iron Man
Ares,Iron Man (Mk 1)
Ares,Iron Man (Stark Gauntlet)
Ares,Iron Man (Hulkbuster)
Ares,Iron Monger
Ares,Iron Spider
Ares,Ironheart
Ares,Jemiah The Analyzer
Ares,Jessica Jones
Ares,Kaecilius
Ares,Kang the Conqueror
Ares,Killian
Ares,Killmonger
Ares,Kingo
Ares,Kingpin
Ares,Korath The Pursuer
Ares,Korg
Ares,Kro
Ares,Kurse
Ares,Kid Loki
Ares,Lady Loki
Ares,Leo Fitz
Ares,Leviathan
Ares,Loki
Ares,Loki (Mind Stone)
Ares,Loki (Keeper Of The Multiverse)
Ares,Loki (Variant L1130)
Ares,Loki (King of Asgard)
Ares,Luke Cage
Ares,M'baku
Ares,Makkari
Ares,Malekith (Reality Stone)
Ares,Malekith
Ares,Mandarin
Ares,Mantis
Ares,Mighty Thor
Ares,MODOK
Ares,Moon Knight
Ares,Mr. Fantastic (Earth 838)
Ares,Mr. Knight
Ares,Ms. America
Ares,Ms. Marvel
Ares,Mysterio
Ares,Namor
Ares,Nebula
Ares,Nick Fury
Ares,Nomad
Ares,Odin
Ares,Okoye
Ares,Outrider
Ares,Pepper Potts (Extremis)
Ares,Phastos
Ares,Photon
Ares,Proxima Midnight
Ares,Quake
Ares,Quicksilver
Ares,Red Guardian
Ares,Red Skull (Stonekeeper)
Ares,Red Skull
Ares,Rescue
Ares,Rocket Raccoon
Ares,Ronan The Accuser (Power Stone)
Ares,Ronan The Accuser
Ares,Ronin
Ares,Scarlet Witch
Ares,Sersi (uni-mind)
Ares,Sersi
Ares,Shang-Chi
Ares,She-Hulk
Ares,Shuri
Ares,Sif
Ares,Sinister Strange
Ares,Smart Hulk
Ares,Spectral Vision
Ares,Spider-Man
Ares,Star-Lord (Celestial Power)
Ares,Star-Lord
Ares,Stature
Ares,Surtur
Ares,Swole Groot
Ares,Talos The Untamed
Ares,Taskmaster
Ares,Teenage Groot
Ares,Thanos
Ares,Thanos (Infinity Gauntlet)
Ares,The Collector
Ares,The Executioner
Ares,The Grandmaster
Ares,The Great Protector
Ares,The Punisher
Ares,Thena
Ares,Thor (Pre-Ragnarok)
Ares,Thor (Awakened)
Ares,Thor
Ares,Ultron
Ares,Unworthy Thor
Ares,Valkyrie
Ares,Vision
Ares,Volstagg
Ares,Vulture
Ares,Wanda Maximoff (Pre-WandaVision)
Ares,War Machine
Ares,Warlock
Ares,Wasp
Ares,Whiplash
Ares,Whiplash (Mark II)
Ares,White Wolf
Ares,Winter Soldier
Ares,Wolverine
Ares,Wong
Ares,YellowJacket
Ares,Yondu
Ares,Zeus
Atom Smasher,Batman
Atom Smasher,Black Adam
Atom Smasher,Black Canary
Atom Smasher,Black Manta
Atom Smasher,Black Mask
Atom Smasher,Bloodsport
Atom Smasher,Captain Boomerang
Atom Smasher,Cassandra Cain
Atom Smasher,Cheetah
Atom Smasher,Cyborg
Atom Smasher,Cyclone
Atom Smasher,Dark Flash
Atom Smasher,Darkseid
Atom Smasher,Deadshot
Atom Smasher,Doctor Fate
Atom Smasher,Doctor Sivana
Atom Smasher,Doomsday
Atom Smasher,El Diablo
Atom Smasher,Enchantress
Atom Smasher,Envy
Atom Smasher,Faora
Atom Smasher,Freddy Freeman
Atom Smasher,General Zod
Atom Smasher,Gluttony
Atom Smasher,Green Lantern
Atom Smasher,Harley Quinn
Atom Smasher,Hawkman
Atom Smasher,Hespera
Atom Smasher,Huntress
Atom Smasher,Incubus
Atom Smasher,Joker
Atom Smasher,Jor-El
Atom Smasher,Judomaster
Atom Smasher,Karathen
Atom Smasher,Katana
Atom Smasher,Killer Croc
Atom Smasher,King Nereus
Atom Smasher,King Shark
Atom Smasher,Lex Luthor
Atom Smasher,Lust
Atom Smasher,Mera
Atom Smasher,Mister Zsasz
Atom Smasher,Nam-Ek
Atom Smasher,Nuidis Vulko
Atom Smasher,Ocean Master
Atom Smasher,Parademon
Atom Smasher,Peacemaker
Atom Smasher,Penthesileia
Atom Smasher,Philippus
Atom Smasher,Polka-Dot Man
Atom Smasher,Queen Atlanna
Atom Smasher,Queen Hippolyta
Atom Smasher,Ratcatcher
Atom Smasher,Rick Flag
Atom Smasher,Sabbac
Atom Smasher,Savant
Atom Smasher,Shazam
Atom Smasher,Slipknot
Atom Smasher,Sol Soria
Atom Smasher,Starro
Atom Smasher,Steppenwolf
Atom Smasher,Supergirl
Atom Smasher,Superman
Atom Smasher,T.D.K.
Atom Smasher,The Flash
Atom Smasher,Vigilante
Atom Smasher,White Dragon
Atom Smasher,Wonder Woman (Armor of Asteria)
Atom Smasher,Wrath
Atom Smasher,Zeus
Atom Smasher,Agatha Harkness
Atom Smasher,Abomination
Atom Smasher,Ajak
Atom Smasher,Ancient One (time stone)
Atom Smasher,Ancient One
Atom Smasher,Ant-Man
Atom Smasher,Arishem The Judge
Atom Smasher,Ayo
Atom Smasher,Baby Groot
Atom Smasher,Baron Mordo
Atom Smasher,Baron Zemo
Atom Smasher,Black Bolt (Earth 838)
Atom Smasher,Black Bolt
Atom Smasher,Black Panther
Atom Smasher,Black Panther
Atom Smasher,Black Widow
Atom Smasher,Black Widow
Atom Smasher,Bucky Barnes
Atom Smasher,Bullseye
Atom Smasher,Captain America
Atom Smasher,Captain America (Worthy)
Atom Smasher,Captain Carter (Earth 838)
Atom Smasher,Captain Marvel
Atom Smasher,Chitauri Footsoldier
Atom Smasher,Corvus Glaive
Atom Smasher,Crossbones
Atom Smasher,Cull Obsidian
Atom Smasher,Dar-Benn
Atom Smasher,Daredevil
Atom Smasher,Deathlok
Atom Smasher,Destroyer
Atom Smasher,Doctor Strange
Atom Smasher,Dormammu
Atom Smasher,Drax The Destroyer
Atom Smasher,Ebony Maw
Atom Smasher,Echo
Atom Smasher,Ego
Atom Smasher,Elektra
Atom Smasher,Eternity
Atom Smasher,Falcon
Atom Smasher,Fandral
Atom Smasher,Fat Thor
Atom Smasher,Fenris
Atom Smasher,Frigga
Atom Smasher,G'iah
Atom Smasher,Gamora
Atom Smasher,Gargantos
Atom Smasher,Ghost
Atom Smasher,Ghost Rider
Atom Smasher,Giant-Man
Atom Smasher,Gilgamesh
Atom Smasher,Gorr The God Butcher
Atom Smasher,Gravik
Atom Smasher,Groot
Atom Smasher,Hawkeye
Atom Smasher,Hawkeye
Atom Smasher,Heimdall
Atom Smasher,Hela
Atom Smasher,High Evolutionary
Atom Smasher,Hulk (Stark Gauntlet)
Atom Smasher,Hulk
Atom Smasher,Ikaris
Atom Smasher,Iron Fist
Atom Smasher,Iron Man
Atom Smasher,Iron Man (Mk 1)
Atom Smasher,Iron Man (Stark Gauntlet)
Atom Smasher,Iron Man (Hulkbuster)
Atom Smasher,Iron Monger
Atom Smasher,Iron Spider
Atom Smasher,Ironheart
Atom Smasher,Jemiah The Analyzer
Atom Smasher,Jessica Jones
Atom Smasher,Kaecilius
Atom Smasher,Kang the Conqueror
Atom Smasher,Killian
Atom Smasher,Killmonger
Atom Smasher,Kingo
Atom Smasher,Kingpin
Atom Smasher,Korath The Pursuer
Atom Smasher,Korg
Atom Smasher,Kro
Atom Smasher,Kurse
Atom Smasher,Kid Loki
Atom Smasher,Lady Loki
Atom Smasher,Leo Fitz
Atom Smasher,Leviathan
Atom Smasher,Loki
Atom Smasher,Loki (Mind Stone)
Atom Smasher,Loki (Keeper Of The Multiverse)
Atom Smasher,Loki (Variant L1130)
Atom Smasher,Loki (King of Asgard)
Atom Smasher,Luke Cage
Atom Smasher,M'baku
Atom Smasher,Makkari
Atom Smasher,Malekith (Reality Stone)
Atom Smasher,Malekith
Atom Smasher,Mandarin
Atom Smasher,Mantis
Atom Smasher,Mighty Thor
Atom Smasher,MODOK
Atom Smasher,Moon Knight
Atom Smasher,Mr. Fantastic (Earth 838)
Atom Smasher,Mr. Knight
Atom Smasher,Ms. America
Atom Smasher,Ms. Marvel
Atom Smasher,Mysterio
Atom Smasher,Namor
Atom Smasher,Nebula
Atom Smasher,Nick Fury
Atom Smasher,Nomad
Atom Smasher,Odin
Atom Smasher,Okoye
Atom Smasher,Outrider
Atom Smasher,Pepper Potts (Extremis)
Atom Smasher,Phastos
Atom Smasher,Photon
Atom Smasher,Proxima Midnight
Atom Smasher,Quake
Atom Smasher,Quicksilver
Atom Smasher,Red Guardian
Atom Smasher,Red Skull (Stonekeeper)
Atom Smasher,Red Skull
Atom Smasher,Rescue
Atom Smasher,Rocket Raccoon
Atom Smasher,Ronan The Accuser (Power Stone)
Atom Smasher,Ronan The Accuser
Atom Smasher,Ronin
Atom Smasher,Scarlet Witch
Atom Smasher,Sersi (uni-mind)
Atom Smasher,Sersi
Atom Smasher,Shang-Chi
Atom Smasher,She-Hulk
Atom Smasher,Shuri
Atom Smasher,Sif
Atom Smasher,Sinister Strange
Atom Smasher,Smart Hulk
Atom Smasher,Spectral Vision
Atom Smasher,Spider-Man
Atom Smasher,Star-Lord (Celestial Power)
Atom Smasher,Star-Lord
Atom Smasher,Stature
Atom Smasher,Surtur
Atom Smasher,Swole Groot
Atom Smasher,Talos The Untamed
Atom Smasher,Taskmaster
Atom Smasher,Teenage Groot
Atom Smasher,Thanos
Atom Smasher,Thanos (Infinity Gauntlet)
Atom Smasher,The Collector
Atom Smasher,The Executioner
Atom Smasher,The Grandmaster
Atom Smasher,The Great Protector
Atom Smasher,The Punisher
Atom Smasher,Thena
Atom Smasher,Thor (Pre-Ragnarok)
Atom Smasher,Thor (Awakened)
Atom Smasher,Thor
Atom Smasher,Ultron
Atom Smasher,Unworthy Thor
Atom Smasher,Valkyrie
Atom Smasher,Vision
Atom Smasher,Volstagg
Atom Smasher,Vulture
Atom Smasher,Wanda Maximoff (Pre-WandaVision)
Atom Smasher,War Machine
Atom Smasher,Warlock
Atom Smasher,Wasp
Atom Smasher,Whiplash
Atom Smasher,Whiplash (Mark II)
Atom Smasher,White Wolf
Atom Smasher,Winter Soldier
Atom Smasher,Wolverine
Atom Smasher,Wong
Atom Smasher,YellowJacket
Atom Smasher,Yondu
Atom Smasher,Zeus
Batman,Black Adam
Batman,Black Canary
Batman,Black Manta
Batman,Black Mask
Batman,Bloodsport
Batman,Captain Boomerang
Batman,Cassandra Cain
Batman,Cheetah
Batman,Cyborg
Batman,Cyclone
Batman,Dark Flash
Batman,Darkseid
Batman,Deadshot
Batman,Doctor Fate
Batman,Doctor Sivana
Batman,Doomsday
Batman,El Diablo
Batman,Enchantress
Batman,Envy
Batman,Faora
Batman,Freddy Freeman
Batman,General Zod
Batman,Gluttony
Batman,Green Lantern
Batman,Harley Quinn
Batman,Hawkman
Batman,Hespera
Batman,Huntress
Batman,Incubus
Batman,Joker
Batman,Jor-El
Batman,Judomaster
Batman,Karathen
Batman,Katana
Batman,Killer Croc
Batman,King Nereus
Batman,King Shark
Batman,Lex Luthor
Batman,Lust
Batman,Mera
Batman,Mister Zsasz
Batman,Nam-Ek
Batman,Nuidis Vulko
Batman,Ocean Master
Batman,Parademon
Batman,Peacemaker
Batman,Penthesileia
Batman,Philippus
Batman,Polka-Dot Man
Batman,Queen Atlanna
Batman,Queen Hippolyta
Batman,Ratcatcher
Batman,Rick Flag
Batman,Sabbac
Batman,Savant
Batman,Shazam
Batman,Slipknot
Batman,Sol Soria
Batman,Starro
Batman,Steppenwolf
Batman,Supergirl
Batman,Superman
Batman,T.D.K.
Batman,The Flash
Batman,Vigilante
Batman,White Dragon
Batman,Wonder Woman (Armor of Asteria)
Batman,Wrath
Batman,Zeus
Batman,Agatha Harkness
Batman,Abomination
Batman,Ajak
Batman,Ancient One (time stone)
Batman,Ancient One
Batman,Ant-Man
Batman,Arishem The Judge
Batman,Ayo
Batman,Baby Groot
Batman,Baron Mordo
Batman,Baron Zemo
Batman,Black Bolt (Earth 838)
Batman,Black Bolt
Batman,Black Panther
Batman,Black Panther
Batman,Black Widow
Batman,Black Widow
Batman,Bucky Barnes
Batman,Bullseye
Batman,Captain America
Batman,Captain America (Worthy)
Batman,Captain Carter (Earth 838)
Batman,Captain Marvel
Batman,Chitauri Footsoldier
Batman,Corvus Glaive
Batman,Crossbones
Batman,Cull Obsidian
Batman,Dar-Benn
Batman,Daredevil
Batman,Deathlok
Batman,Destroyer
Batman,Doctor Strange
Batman,Dormammu
Batman,Drax The Destroyer
Batman,Ebony Maw
Batman,Echo
Batman,Ego
Batman,Elektra
Batman,Eternity
Batman,Falcon
Batman,Fandral
Batman,Fat Thor
Batman,Fenris
Batman,Frigga
Batman,G'iah
Batman,Gamora
Batman,Gargantos
Batman,Ghost
Batman,Ghost Rider
Batman,Giant-Man
Batman,Gilgamesh
Batman,Gorr The God Butcher
Batman,Gravik
Batman,Groot
Batman,Hawkeye
Batman,Hawkeye
Batman,Heimdall
Batman,Hela
Batman,High Evolutionary
Batman,Hulk (Stark Gauntlet)
Batman,Hulk
Batman,Ikaris
Batman,Iron Fist
Batman,Iron Man
Batman,Iron Man (Mk 1)
Batman,Iron Man (Stark Gauntlet)
Batman,Iron Man (Hulkbuster)
Batman,Iron Monger
Batman,Iron Spider
Batman,Ironheart
Batman,Jemiah The Analyzer
Batman,Jessica Jones
Batman,Kaecilius
Batman,Kang the Conqueror
Batman,Killian
Batman,Killmonger
Batman,Kingo
Batman,Kingpin
Batman,Korath The Pursuer
Batman,Korg
Batman,Kro
Batman,Kurse
Batman,Kid Loki
Batman,Lady Loki
Batman,Leo Fitz
Batman,Leviathan
Batman,Loki
Batman,Loki (Mind Stone)
Batman,Loki (Keeper Of The Multiverse)
Batman,Loki (Variant L1130)
Batman,Loki (King of Asgard)
Batman,Luke Cage
Batman,M'baku
Batman,Makkari
Batman,Malekith (Reality Stone)
Batman,Malekith
Batman,Mandarin
Batman,Mantis
Batman,Mighty Thor
Batman,MODOK
Batman,Moon Knight
Batman,Mr. Fantastic (Earth 838)
Batman,Mr. Knight
Batman,Ms. America
Batman,Ms. Marvel
Batman,Mysterio
Batman,Namor
Batman,Nebula
Batman,Nick Fury
Batman,Nomad
Batman,Odin
Batman,Okoye
Batman,Outrider
Batman,Pepper Potts (Extremis)
Batman,Phastos
Batman,Photon
Batman,Proxima Midnight
Batman,Quake
Batman,Quicksilver
Batman,Red Guardian
Batman,Red Skull (Stonekeeper)
Batman,Red Skull
Batman,Rescue
Batman,Rocket Raccoon
Batman,Ronan The Accuser (Power Stone)
Batman,Ronan The Accuser
Batman,Ronin
Batman,Scarlet Witch
Batman,Sersi (uni-mind)
Batman,Sersi
Batman,Shang-Chi
Batman,She-Hulk
Batman,Shuri
Batman,Sif
Batman,Sinister Strange
Batman,Smart Hulk
Batman,Spectral Vision
Batman,Spider-Man
Batman,Star-Lord (Celestial Power)
Batman,Star-Lord
Batman,Stature
Batman,Surtur
Batman,Swole Groot
Batman,Talos The Untamed
Batman,Taskmaster
Batman,Teenage Groot
Batman,Thanos
Batman,Thanos (Infinity Gauntlet)
Batman,The Collector
Batman,The Executioner
Batman,The Grandmaster
Batman,The Great Protector
Batman,The Punisher
Batman,Thena
Batman,Thor (Pre-Ragnarok)
Batman,Thor (Awakened)
Batman,Thor
Batman,Ultron
Batman,Unworthy Thor
Batman,Valkyrie
Batman,Vision
Batman,Volstagg
Batman,Vulture
Batman,Wanda Maximoff (Pre-WandaVision)
Batman,War Machine
Batman,Warlock
Batman,Wasp
Batman,Whiplash
Batman,Whiplash (Mark II)
Batman,White Wolf
Batman,Winter Soldier
Batman,Wolverine
Batman,Wong
Batman,YellowJacket
Batman,Yondu
Batman,Zeus
Black Adam,Black Canary
Black Adam,Black Manta
Black Adam,Black Mask
Black Adam,Bloodsport
Black Adam,Captain Boomerang
Black Adam,Cassandra Cain
Black Adam,Cheetah
Black Adam,Cyborg
Black Adam,Cyclone
Black Adam,Dark Flash
Black Adam,Darkseid
Black Adam,Deadshot
Black Adam,Doctor Fate
Black Adam,Doctor Sivana
Black Adam,Doomsday
Black Adam,El Diablo
Black Adam,Enchantress
Black Adam,Envy
Black Adam,Faora
Black Adam,Freddy Freeman
Black Adam,General Zod
Black Adam,Gluttony
Black Adam,Green Lantern
Black Adam,Harley Quinn
Black Adam,Hawkman
Black Adam,Hespera
Black Adam,Huntress
Black Adam,Incubus
Black Adam,Joker
Black Adam,Jor-El
Black Adam,Judomaster
Black Adam,Karathen
Black Adam,Katana
Black Adam,Killer Croc
Black Adam,King Nereus
Black Adam,King Shark
Black Adam,Lex Luthor
Black Adam,Lust
Black Adam,Mera
Black Adam,Mister Zsasz
Black Adam,Nam-Ek
Black Adam,Nuidis Vulko
Black Adam,Ocean Master
Black Adam,Parademon
Black Adam,Peacemaker
Black Adam,Penthesileia
Black Adam,Philippus
Black Adam,Polka-Dot Man
Black Adam,Queen Atlanna
Black Adam,Queen Hippolyta
Black Adam,Ratcatcher
Black Adam,Rick Flag
Black Adam,Sabbac
Black Adam,Savant
Black Adam,Shazam
Black Adam,Slipknot
Black Adam,Sol Soria
Black Adam,Starro
Black Adam,Steppenwolf
Black Adam,Supergirl
Black Adam,Superman
Black Adam,T.D.K.
Black Adam,The Flash
Black Adam,Vigilante
Black Adam,White Dragon
Black Adam,Wonder Woman (Armor of Asteria)
Black Adam,Wrath
Black Adam,Zeus
Black Adam,Agatha Harkness
Black Adam,Abomination
Black Adam,Ajak
Black Adam,Ancient One (time stone)
Black Adam,Ancient One
Black Adam,Ant-Man
Black Adam,Arishem The Judge
Black Adam,Ayo
Black Adam,Baby Groot
Black Adam,Baron Mordo
Black Adam,Baron Zemo
Black Adam,Black Bolt (Earth 838)
Black Adam,Black Bolt
Black Adam,Black Panther
Black Adam,Black Panther
Black Adam,Black Widow
Black Adam,Black Widow
Black Adam,Bucky Barnes
Black Adam,Bullseye
Black Adam,Captain America
Black Adam,Captain America (Worthy)
Black Adam,Captain Carter (Earth 838)
Black Adam,Captain Marvel
Black Adam,Chitauri Footsoldier
Black Adam,Corvus Glaive
Black Adam,Crossbones
Black Adam,Cull Obsidian
Black Adam,Dar-Benn
Black Adam,Daredevil
Black Adam,Deathlok
Black Adam,Destroyer
Black Adam,Doctor Strange
Black Adam,Dormammu
Black Adam,Drax The Destroyer
Black Adam,Ebony Maw
Black Adam,Echo
Black Adam,Ego
Black Adam,Elektra
Black Adam,Eternity
Black Adam,Falcon
Black Adam,Fandral
Black Adam,Fat Thor
Black Adam,Fenris
Black Adam,Frigga
Black Adam,G'iah
Black Adam,Gamora
Black Adam,Gargantos
Black Adam,Ghost
