Heroe 1,Heroe 2,Result
Ares,Iron Man (Hulkbuster),2
Ares,Iron Monger,2
Ares,Iron Spider,2
Ares,Ironheart,2
Ares,Jemiah The Analyzer,2
Ares,Jessica Jones,2
Ares,Kaecilius,2
Ares,Kang the Conqueror,2
Ares,Killian,2
Ares,Killmonger,2
Ares,Kingo,2
Ares,Kingpin,2
Ares,Korath The Pursuer,2
Ares,Korg,2
Ares,Kro,2
Ares,Kurse,2
Ares,Kid Loki,2
Ares,Lady Loki,2
Ares,Leo Fitz,2
Ares,Leviathan,2
Ares,Loki,2
Ares,Loki (Mind Stone),2
Ares,Loki (Keeper Of The Multiverse),2
Ares,Loki (Variant L1130),2
Ares,Loki (King of Asgard),2
Ares,Luke Cage,2
Ares,M'baku,2
Ares,Makkari,2
Ares,Malekith (Reality Stone),2
Ares,Malekith,2
Ares,Mandarin,2
Ares,Mantis,2
Ares,Mighty Thor,2
Ares,MODOK,2
Ares,Moon Knight,2
Ares,Mr. Fantastic (Earth 838),2
Ares,Mr. Knight,2
Ares,Ms. America,2
Ares,Ms. Marvel,2
Ares,Mysterio,2
Ares,Namor,2
Ares,Nebula,2
Ares,Nick Fury,2
Ares,Nomad,2
Ares,Odin,2
Ares,Okoye,2
Ares,Outrider,2
Ares,Pepper Potts (Extremis),2
Ares,Phastos,2
Ares,Photon,2
Ares,Proxima Midnight,2
Ares,Quake,2
Ares,Quicksilver,2
Ares,Red Guardian,2
Ares,Red Skull (Stonekeeper),2
Ares,Red Skull,2
Ares,Rescue,2
Ares,Rocket Raccoon,2
Ares,Ronan The Accuser (Power Stone),2
Ares,Ronan The Accuser,2
Ares,Ronin,2
Ares,Scarlet Witch,2
Ares,Sersi (uni-mind),2
Ares,Sersi,2
Ares,Shang-Chi,2
Ares,She-Hulk,2
Ares,Shuri,2
Ares,Sif,2
Ares,Sinister Strange,2
Ares,Smart Hulk,2
Ares,Spectral Vision,2
Ares,Spider-Man,2
Ares,Star-Lord (Celestial Power),2
Ares,Star-Lord,2
Ares,Stature,2
Ares,Surtur,2
Ares,Swole Groot,2
Ares,Talos The Untamed,2
Ares,Taskmaster,2
Ares,Teenage Groot,2
Ares,Thanos,2
Ares,Thanos (Infinity Gauntlet),2
Ares,The Collector,2
Ares,The Executioner,2
Ares,The Grandmaster,2
Ares,The Great Protector,2
Ares,The Punisher,2
Ares,Thena,2
Ares,Thor (Pre-Ragnarok),2
Ares,Thor (Awakened),2
Ares,Thor,2
Ares,Ultron,2
Ares,Unworthy Thor,2
Ares,Valkyrie,2
Ares,Vision,2
Ares,Volstagg,2
Ares,Vulture,2
Ares,Wanda Maximoff (Pre-WandaVision),2
Ares,War Machine,2
Ares,Warlock,2
Ares,Wasp,2
Ares,Whiplash,2
Ares,Whiplash (Mark II),2
Ares,White Wolf,2
Ares,Winter Soldier,2
Ares,Wolverine,2
Ares,Wong,2
Ares,YellowJacket,2
Ares,Yondu,2
Ares,Zeus,2
Atom Smasher,Batman,2
Atom Smasher,Black Adam,2
Atom Smasher,Black Canary,2
Atom Smasher,Black Manta,2
Atom Smasher,Black Mask,2
Atom Smasher,Bloodsport,2
Atom Smasher,Captain Boomerang,2
Atom Smasher,Cassandra Cain,2
Atom Smasher,Cheetah,2
Atom Smasher,Cyborg,2
Atom Smasher,Cyclone,2
Atom Smasher,Dark Flash,2
Atom Smasher,Darkseid,2
Atom Smasher,Deadshot,2
Atom Smasher,Doctor Fate,2
Atom Smasher,Doctor Sivana,2
Atom Smasher,Doomsday,2
Atom Smasher,El Diablo,2
Atom Smasher,Enchantress,2
Atom Smasher,Envy,2
Atom Smasher,Faora,2
Atom Smasher,Freddy Freeman,2
Atom Smasher,General Zod,2
Atom Smasher,Gluttony,2
Atom Smasher,Green Lantern,2
Atom Smasher,Harley Quinn,2
Atom Smasher,Hawkman,2
Atom Smasher,Hespera,2
Atom Smasher,Huntress,2
Atom Smasher,Incubus,2
Atom Smasher,Joker,2
Atom Smasher,Jor-El,2
Atom Smasher,Judomaster,2
Atom Smasher,Karathen,2
Atom Smasher,Katana,2
Atom Smasher,Killer Croc,2
Atom Smasher,King Nereus,2
Atom Smasher,King Shark,2
Atom Smasher,Lex Luthor,2
Atom Smasher,Lust,2
Atom Smasher,Mera,2
Atom Smasher,Mister Zsasz,2
Atom Smasher,Nam-Ek,2
Atom Smasher,Nuidis Vulko,2
Atom Smasher,Ocean Master,2
Atom Smasher,Parademon,2
Atom Smasher,Peacemaker,2
Atom Smasher,Penthesileia,2
Atom Smasher,Philippus,2
Atom Smasher,Polka-Dot Man,2
Atom Smasher,Queen Atlanna,2
Atom Smasher,Queen Hippolyta,2
Atom Smasher,Ratcatcher,2
Atom Smasher,Rick Flag,2
Atom Smasher,Sabbac,2
Atom Smasher,Savant,2
Atom Smasher,Shazam,2
Atom Smasher,Slipknot,2
Atom Smasher,Sol Soria,2
Atom Smasher,Starro,2
Atom Smasher,Steppenwolf,2
Atom Smasher,Supergirl,2
Atom Smasher,Superman,2
Atom Smasher,T.D.K.,2
Atom Smasher,The Flash,2
Atom Smasher,Vigilante,2
Atom Smasher,White Dragon,2
Atom Smasher,Wonder Woman (Armor of Asteria),2
Atom Smasher,Wrath,2
Atom Smasher,Agatha Harkness,1
Atom Smasher,Abomination,1
Atom Smasher,Ajak,1
Atom Smasher,Ancient One (time stone),1
Atom Smasher,Ancient One,1
Atom Smasher,Ant-Man,1
Atom Smasher,Arishem The Judge,1
Atom Smasher,Ayo,2
Atom Smasher,Baby Groot,2
Atom Smasher,Baron Mordo,2
Atom Smasher,Baron Zemo,2
Atom Smasher,Black Bolt (Earth 838),2
Atom Smasher,Black Bolt,2
Atom Smasher,Black Panther,2
Atom Smasher,Black Widow,2
Atom Smasher,Bucky Barnes,2
Atom Smasher,Bullseye,2
Atom Smasher,Captain America,2
Atom Smasher,Captain America (Worthy),2
Atom Smasher,Captain Carter (Earth 838),2
Atom Smasher,Captain Marvel,2
Atom Smasher,Chitauri Footsoldier,2
Atom Smasher,Corvus Glaive,2
Atom Smasher,Crossbones,2
Atom Smasher,Cull Obsidian,2
Atom Smasher,Dar-Benn,2
Atom Smasher,Daredevil,2
Atom Smasher,Deathlok,2
Atom Smasher,Destroyer,2
Atom Smasher,Doctor Strange,2
Atom Smasher,Dormammu,2
Atom Smasher,Drax The Destroyer,2
Atom Smasher,Ebony Maw,2
Atom Smasher,Echo,2
Atom Smasher,Ego,2
Atom Smasher,Elektra,2
Atom Smasher,Eternity,2
Atom Smasher,Falcon,2
Atom Smasher,Fandral,2
Atom Smasher,Fat Thor,2
Atom Smasher,Fenris,2
Atom Smasher,Frigga,2
Atom Smasher,G'iah,2
Atom Smasher,Gamora,2
Atom Smasher,Gargantos,2
Atom Smasher,Ghost,2
Atom Smasher,Ghost Rider,2
Atom Smasher,Giant-Man,2
Atom Smasher,Gilgamesh,2
Atom Smasher,Gorr The God Butcher,2
Atom Smasher,Gravik,2
Atom Smasher,Groot,2
Atom Smasher,Hawkeye,2
Atom Smasher,Heimdall,2
Atom Smasher,Hela,2
Atom Smasher,High Evolutionary,2
Atom Smasher,Hulk (Stark Gauntlet),2
Atom Smasher,Hulk,2
Atom Smasher,Ikaris,2
Atom Smasher,Iron Fist,2
Atom Smasher,Iron Man,2
Atom Smasher,Iron Man (Mk 1),2
Atom Smasher,Iron Man (Stark Gauntlet),2
Atom Smasher,Iron Man (Hulkbuster),2
Atom Smasher,Iron Monger,2
Atom Smasher,Iron Spider,2
Atom Smasher,Ironheart,2
Atom Smasher,Jemiah The Analyzer,2
Atom Smasher,Jessica Jones,2
Atom Smasher,Kaecilius,2
Atom Smasher,Kang the Conqueror,2
Atom Smasher,Killian,2
Atom Smasher,Killmonger,2
Atom Smasher,Kingo,2
Atom Smasher,Kingpin,2
Atom Smasher,Korath The Pursuer,2
Atom Smasher,Korg,2
Atom Smasher,Kro,2
Atom Smasher,Kurse,2
Atom Smasher,Kid Loki,2
Atom Smasher,Lady Loki,2
Atom Smasher,Leo Fitz,2
Atom Smasher,Leviathan,2
Atom Smasher,Loki,2
Atom Smasher,Loki (Mind Stone),2
Atom Smasher,Loki (Keeper Of The Multiverse),2
Atom Smasher,Loki (Variant L1130),2
Atom Smasher,Loki (King of Asgard),2
Atom Smasher,Luke Cage,2
Atom Smasher,M'baku,2
Atom Smasher,Makkari,2
Atom Smasher,Malekith (Reality Stone),2
Atom Smasher,Malekith,2
Atom Smasher,Mandarin,2
Atom Smasher,Mantis,2
Atom Smasher,Mighty Thor,2
Atom Smasher,MODOK,2
Atom Smasher,Moon Knight,2
Atom Smasher,Mr. Fantastic (Earth 838),2
Atom Smasher,Mr. Knight,2
Atom Smasher,Ms. America,2
Atom Smasher,Ms. Marvel,2
Atom Smasher,Mysterio,2
Atom Smasher,Namor,2
Atom Smasher,Nebula,2
Atom Smasher,Nick Fury,2
Atom Smasher,Nomad,2
Atom Smasher,Odin,2
Atom Smasher,Okoye,2
Atom Smasher,Outrider,2
Atom Smasher,Pepper Potts (Extremis),2
Atom Smasher,Phastos,2
Atom Smasher,Photon,2
Atom Smasher,Proxima Midnight,2
Atom Smasher,Quake,2
Atom Smasher,Quicksilver,2
Atom Smasher,Red Guardian,2
Atom Smasher,Red Skull (Stonekeeper),2
Atom Smasher,Red Skull,2
Atom Smasher,Rescue,2
Atom Smasher,Rocket Raccoon,2
Atom Smasher,Ronan The Accuser (Power Stone),2
Atom Smasher,Ronan The Accuser,2
Atom Smasher,Ronin,2
Atom Smasher,Scarlet Witch,2
Atom Smasher,Sersi (uni-mind),2
Atom Smasher,Sersi,2
Atom Smasher,Shang-Chi,2
Atom Smasher,She-Hulk,2
Atom Smasher,Shuri,2
Atom Smasher,Sif,2
Atom Smasher,Sinister Strange,2
Atom Smasher,Smart Hulk,2
Atom Smasher,Spectral Vision,2
Atom Smasher,Spider-Man,2
Atom Smasher,Star-Lord (Celestial Power),2
Atom Smasher,Star-Lord,2
Atom Smasher,Stature,2
Atom Smasher,Surtur,2
Atom Smasher,Swole Groot,2
Atom Smasher,Talos The Untamed,2
Atom Smasher,Taskmaster,2
Atom Smasher,Teenage Groot,2
Atom Smasher,Thanos,2
Atom Smasher,Thanos (Infinity Gauntlet),2
Atom Smasher,The Collector,2
Atom Smasher,The Executioner,2
Atom Smasher,The Grandmaster,2
Atom Smasher,The Great Protector,2
Atom Smasher,The Punisher,2
Atom Smasher,Thena,2
Atom Smasher,Thor (Pre-Ragnarok),2
Atom Smasher,Thor (Awakened),2
Atom Smasher,Thor,2
Atom Smasher,Ultron,2
Atom Smasher,Unworthy Thor,2
Atom Smasher,Valkyrie,2
Atom Smasher,Vision,2
Atom Smasher,Volstagg,2
Atom Smasher,Vulture,2
Atom Smasher,Wanda Maximoff (Pre-WandaVision),2
Atom Smasher,War Machine,2
Atom Smasher,Warlock,2
Atom Smasher,Wasp,2
Atom Smasher,Whiplash,2
Atom Smasher,Whiplash (Mark II),2
Atom Smasher,White Wolf,2
Atom Smasher,Winter Soldier,2
Atom Smasher,Wolverine,2
Atom Smasher,Wong,2
Atom Smasher,YellowJacket,2
Atom Smasher,Yondu,2
Atom Smasher,Zeus,2
Batman,Black Adam,2
Batman,Black Canary,2
Batman,Black Manta,2
Batman,Black Mask,2
Batman,Bloodsport,2
Batman,Captain Boomerang,2
Batman,Cassandra Cain,2
Batman,Cheetah,2
Batman,Cyborg,2
Batman,Cyclone,2
Batman,Dark Flash,2
Batman,Darkseid,2
Batman,Deadshot,2
Batman,Doctor Fate,2
Batman,Doctor Sivana,2
Batman,Doomsday,2
Batman,El Diablo,2
Batman,Enchantress,2
Batman,Envy,2
Batman,Faora,2
Batman,Freddy Freeman,2
Batman,General Zod,2
Batman,Gluttony,2
Batman,Green Lantern,2
Batman,Harley Quinn,2
Batman,Hawkman,2
Batman,Hespera,2
Batman,Huntress,2
Batman,Incubus,2
Batman,Joker,2
Batman,Jor-El,2
Batman,Judomaster,2
Batman,Karathen,2
Batman,Katana,2
Batman,Killer Croc,2
Batman,King Nereus,2
Batman,King Shark,2
Batman,Lex Luthor,2
Batman,Lust,2
Batman,Mera,2
Batman,Mister Zsasz,2
Batman,Nam-Ek,2
Batman,Nuidis Vulko,2
Batman,Ocean Master,2
Batman,Parademon,2
Batman,Peacemaker,2
Batman,Penthesileia,2
Batman,Philippus,2
Batman,Polka-Dot Man,2
Batman,Queen Atlanna,2
Batman,Queen Hippolyta,2
Batman,Ratcatcher,2
Batman,Rick Flag,2
Batman,Sabbac,2
Batman,Savant,2
Batman,Shazam,2
Batman,Slipknot,2
Batman,Sol Soria,2
Batman,Starro,2
Batman,Steppenwolf,2
Batman,Supergirl,2
Batman,Superman,2
Batman,T.D.K.,2
Batman,The Flash,2
Batman,Vigilante,2
Batman,White Dragon,2
Batman,Wonder Woman (Armor of Asteria),2
Batman,Wrath,2
Batman,Agatha Harkness,1
Batman,Abomination,1
Batman,Ajak,1
Batman,Ancient One (time stone),1
Batman,Ancient One,1
Batman,Ant-Man,1
Batman,Arishem The Judge,1
Batman,Ayo,1
Batman,Baby Groot,1
Batman,Baron Mordo,1
Batman,Baron Zemo,1
Batman,Black Bolt (Earth 838),2
Batman,Black Bolt,2
Batman,Black Panther,2
Batman,Black Widow,2
Batman,Bucky Barnes,2
Batman,Bullseye,2
Batman,Captain America,2
Batman,Captain America (Worthy),2
Batman,Captain Carter (Earth 838),2
Batman,Captain Marvel,2
Batman,Chitauri Footsoldier,2
Batman,Corvus Glaive,2
Batman,Crossbones,2
Batman,Cull Obsidian,2
Batman,Dar-Benn,2
Batman,Daredevil,2
Batman,Deathlok,2
Batman,Destroyer,2
Batman,Doctor Strange,2
Batman,Dormammu,2
Batman,Drax The Destroyer,2
Batman,Ebony Maw,2
Batman,Echo,2
Batman,Ego,2
Batman,Elektra,2
Batman,Eternity,2
Batman,Falcon,2
Batman,Fandral,2
Batman,Fat Thor,2
Batman,Fenris,2
Batman,Frigga,2
Batman,G'iah,2
Batman,Gamora,2
Batman,Gargantos,2
Batman,Ghost,2
Batman,Ghost Rider,2
Batman,Giant-Man,2
Batman,Gilgamesh,2
Batman,Gorr The God Butcher,2
Batman,Gravik,2
Batman,Groot,2
Batman,Hawkeye,2
Batman,Heimdall,2
Batman,Hela,2
Batman,High Evolutionary,2
Batman,Hulk (Stark Gauntlet),2
Batman,Hulk,2
Batman,Ikaris,2
Batman,Iron Fist,2
Batman,Iron Man,2
Batman,Iron Man (Mk 1),2
Batman,Iron Man (Stark Gauntlet),2
Batman,Iron Man (Hulkbuster),2
Batman,Iron Monger,2
Batman,Iron Spider,2
Batman,Ironheart,2
Batman,Jemiah The Analyzer,2
Batman,Jessica Jones,2
Batman,Kaecilius,2
Batman,Kang the Conqueror,2
Batman,Killian,2
Batman,Killmonger,2
Batman,Kingo,2
Batman,Kingpin,2
Batman,Korath The Pursuer,2
Batman,Korg,2
Batman,Kro,2
Batman,Kurse,2
Batman,Kid Loki,2
Batman,Lady Loki,2
Batman,Leo Fitz,2
Batman,Leviathan,2
Batman,Loki,2
Batman,Loki (Mind Stone),2
Batman,Loki (Keeper Of The Multiverse),2
Batman,Loki (Variant L1130),2
Batman,Loki (King of Asgard),2
Batman,Luke Cage,2
Batman,M'baku,2
Batman,Makkari,2
Batman,Malekith (Reality Stone),2
Batman,Malekith,2
Batman,Mandarin,2
Batman,Mantis,2
Batman,Mighty Thor,2
Batman,MODOK,2
Batman,Moon Knight,2
Batman,Mr. Fantastic (Earth 838),2
Batman,Mr. Knight,2
Batman,Ms. America,2
Batman,Ms. Marvel,2
Batman,Mysterio,2
Batman,Namor,2
Batman,Nebula,2
Batman,Nick Fury,2
Batman,Nomad,2
Batman,Odin,2
Batman,Okoye,2
Batman,Outrider,2
Batman,Pepper Potts (Extremis),2
Batman,Phastos,2
Batman,Photon,2
Batman,Proxima Midnight,2
Batman,Quake,2
Batman,Quicksilver,2
Batman,Red Guardian,2
Batman,Red Skull (Stonekeeper),2
Batman,Red Skull,2
Batman,Rescue,2
Batman,Rocket Raccoon,2
Batman,Ronan The Accuser (Power Stone),2
Batman,Ronan The Accuser,2
Batman,Ronin,2
Batman,Scarlet Witch,2
Batman,Sersi (uni-mind),2
Batman,Sersi,2
Batman,Shang-Chi,2
Batman,She-Hulk,2
Batman,Shuri,2
Batman,Sif,2
Batman,Sinister Strange,2
Batman,Smart Hulk,2
Batman,Spectral Vision,2
Batman,Spider-Man,2
Batman,Star-Lord (Celestial Power),2
Batman,Star-Lord,2
Batman,Stature,2
Batman,Surtur,2
Batman,Swole Groot,2
Batman,Talos The Untamed,2
Batman,Taskmaster,2
Batman,Teenage Groot,2
Batman,Thanos,2
Batman,Thanos (Infinity Gauntlet),2
Batman,The Collector,2
Batman,The Executioner,2
Batman,The Grandmaster,2
Batman,The Great Protector,2
Batman,The Punisher,2
Batman,Thena,2
Batman,Thor (Pre-Ragnarok),2
Batman,Thor (Awakened),2
Batman,Thor,2
Batman,Ultron,2
Batman,Unworthy Thor,2
Batman,Valkyrie,2
Batman,Vision,2
Batman,Volstagg,2
Batman,Vulture,2
