Heroe 1,Heroe 2,Ganador
Aquaman,Leviathan,2
Aquaman,Loki,1
Aquaman,Loki (Mind Stone),2
Aquaman,Loki (Keeper Of The Multiverse),1
Aquaman,Loki (Variant L1130),2
Aquaman,Loki (King of Asgard),2
Aquaman,Luke Cage,2
Aquaman,M'baku,2
Aquaman,Makkari,1
Aquaman,Malekith (Reality Stone),1
Aquaman,Malekith,2
Aquaman,Mandarin,2
Aquaman,Mantis,2
Aquaman,Mighty Thor,2
Aquaman,MODOK,2
Aquaman,Moon Knight,2
Aquaman,Mr. Fantastic (Earth 838),2
Aquaman,Mr. Knight,2
Aquaman,Ms. America,1
Aquaman,Ms. Marvel,2
Aquaman,Mysterio,1
Aquaman,Namor,2
Aquaman,Nebula,2
Aquaman,Nick Fury,1
Aquaman,Nomad,2
Aquaman,Odin,2
Aquaman,Okoye,2
Aquaman,Outrider,1
Aquaman,Pepper Potts (Extremis),1
Aquaman,Phastos,2
Aquaman,Photon,2
Aquaman,Proxima Midnight,2
Aquaman,Quake,1
Aquaman,Quicksilver,2
Aquaman,Red Guardian,1
Aquaman,Red Skull (Stonekeeper),2
Aquaman,Red Skull,2
Aquaman,Rescue,1
Aquaman,Rocket Raccoon,2
Aquaman,Ronan The Accuser (Power Stone),1
Aquaman,Ronan The Accuser,2
Aquaman,Ronin,1
Aquaman,Scarlet Witch,2
Aquaman,Sersi (uni-mind),2
Aquaman,Sersi,1
Aquaman,Shang-Chi,1
Aquaman,She-Hulk,2
Aquaman,Shuri,2
Aquaman,Sif,2
Aquaman,Sinister Strange,2
Aquaman,Smart Hulk,1
Aquaman,Spectral Vision,2
Aquaman,Spider-Man,2
Aquaman,Star-Lord (Celestial Power),1
Aquaman,Star-Lord,2
Aquaman,Stature,2
Aquaman,Surtur,1
Aquaman,Swole Groot,2
Aquaman,Talos The Untamed,1
Aquaman,Taskmaster,1
Aquaman,Teenage Groot,1
Aquaman,Thanos,2
Aquaman,Thanos (Infinity Gauntlet),1
Aquaman,The Collector,1
Aquaman,The Executioner,1
Aquaman,The Grandmaster,1
Aquaman,The Great Protector,1
Aquaman,The Punisher,1
Aquaman,Thena,2
Aquaman,Thor (Pre-Ragnarok),2
Aquaman,Thor (Awakened),1
Aquaman,Thor,1
Aquaman,Ultron,2
Aquaman,Unworthy Thor,2
Aquaman,Valkyrie,1
Aquaman,Vision,2
Aquaman,Vulture,1
Aquaman,Wanda Maximoff (Pre-WandaVision),2
Aquaman,War Machine,1
Aquaman,Warlock,1
Aquaman,Wasp,1
Aquaman,Whiplash,2
Aquaman,Whiplash (Mark II),1
Aquaman,White Wolf,1
Aquaman,Winter Soldier,2
Aquaman,Wolverine,2
Aquaman,Wong,1
Aquaman,YellowJacket,1
Aquaman,Yondu,2
Aquaman,Zeus,1
Ares,Atom Smasher,1
Ares,Batman,1
Ares,Black Adam,1
Ares,Black Canary,2
Ares,Black Manta,1
Ares,Black Mask,2
Ares,Bloodsport,1
Ares,Captain Boomerang,1
Ares,Cassandra Cain,2
Ares,Cheetah,1
Ares,Cyborg,1
Ares,Cyclone,2
Ares,Dark Flash,2
Ares,Darkseid,2
Ares,Deadshot,2
Ares,Doctor Fate,2
Ares,Doctor Sivana,1
Ares,Doomsday,2
Ares,El Diablo,1
Ares,Enchantress,2
Ares,Envy,2
Ares,Faora,1
Ares,Freddy Freeman,2
Ares,General Zod,2
Ares,Gluttony,2
Ares,Green Lantern,2
Ares,Harley Quinn,1
Ares,Hawkman,1
Ares,Hespera,2
Ares,Huntress,2
Ares,Incubus,2
Ares,Joker,2
Ares,Jor-El,2
Ares,Judomaster,2
Ares,Karathen,1
Ares,Katana,1
Ares,Killer Croc,1
Ares,King Nereus,2
Ares,King Shark,1
Ares,Lex Luthor,1
Ares,Lust,1
Ares,Mera,1
Ares,Mister Zsasz,2
Ares,Nam-Ek,1
Ares,Nuidis Vulko,1
Ares,Ocean Master,2
Ares,Parademon,1
Ares,Peacemaker,1
Ares,Penthesileia,2
Ares,Philippus,2
Ares,Polka-Dot Man,1
Ares,Queen Atlanna,2
Ares,Queen Hippolyta,1
Ares,Ratcatcher,2
Ares,Rick Flag,1
Ares,Sabbac,1
Ares,Savant,1
Ares,Shazam,2
Ares,Slipknot,1
Ares,Sol Soria,1
Ares,Starro,1
Ares,Steppenwolf,1
Ares,Supergirl,1
Ares,Superman,1
Ares,T.D.K.,2
Ares,The Flash,2
Ares,Vigilante,2
Ares,White Dragon,2
Ares,Wonder Woman (Armor of Asteria),2
Ares,Wrath,1
Ares,Zeus,1
Ares,Agatha Harkness,1
Ares,Abomination,2
Ares,Ajak,1
Ares,Ancient One (time stone),1
Ares,Ancient One,1
Ares,Ant-Man,1
Ares,Arishem The Judge,2
Ares,Ayo,2
Ares,Baby Groot,1
Ares,Baron Mordo,2
Ares,Baron Zemo,1
Ares,Black Bolt (Earth 838),2
Ares,Black Bolt,2
Ares,Black Panther,2
Ares,Black Panther,1
Ares,Black Widow,1
Ares,Black Widow,1
Ares,Bucky Barnes,1
Ares,Bullseye,1
Ares,Captain America,2
Ares,Captain America (Worthy),1
Ares,Captain Carter (Earth 838),1
Ares,Captain Marvel,1
Ares,Chitauri Footsoldier,1
Ares,Corvus Glaive,1
Ares,Crossbones,1
Ares,Cull Obsidian,1
Ares,Dar-Benn,2
Ares,Daredevil,2
Ares,Deathlok,1
Ares,Destroyer,1
Ares,Doctor Strange,2
Ares,Dormammu,1
Ares,Drax The Destroyer,2
Ares,Ebony Maw,2
Ares,Echo,2
Ares,Ego,1
Ares,Elektra,1
Ares,Eternity,1
Ares,Falcon,2
Ares,Fandral,2
Ares,Fat Thor,2
Ares,Fenris,1
Ares,Frigga,2
Ares,G'iah,1
Ares,Gamora,2
Ares,Gargantos,2
Ares,Ghost,1
Ares,Ghost Rider,2
Ares,Giant-Man,2
Ares,Gilgamesh,2
Ares,Gorr The God Butcher,1
Ares,Gravik,1
Ares,Groot,1
Ares,Hawkeye,2
Ares,Hawkeye,2
Ares,Heimdall,2
Ares,Hela,2
Ares,High Evolutionary,2
Ares,Hulk (Stark Gauntlet),2
Ares,Hulk,2
Ares,Ikaris,1
Ares,Iron Fist,2
Ares,Iron Man,2
Ares,Iron Man (Mk 1),2
Ares,Iron Man (Stark Gauntlet),2
Ares,Iron Man (Hulkbuster),1
Ares,Iron Monger,2
Ares,Iron Spider,1
Ares,Ironheart,2
Ares,Jemiah The Analyzer,1
Ares,Jessica Jones,2
Ares,Kaecilius,1
Ares,Kang the Conqueror,1
Ares,Killian,2
Ares,Killmonger,1
Ares,Kingo,1
Ares,Kingpin,2
Ares,Korath The Pursuer,2
Ares,Korg,1
Ares,Kro,1
Ares,Kurse,2
Ares,Kid Loki,2
Ares,Lady Loki,2
Ares,Leo Fitz,1
Ares,Leviathan,2
Ares,Loki,1
Ares,Loki (Mind Stone),2
Ares,Loki (Keeper Of The Multiverse),1
Ares,Loki (Variant L1130),1
Ares,Loki (King of Asgard),2
Ares,Luke Cage,1
Ares,M'baku,1
Ares,Makkari,2
Ares,Malekith (Reality Stone),2
Ares,Malekith,1
Ares,Mandarin,2
Ares,Mantis,1
Ares,Mighty Thor,1
Ares,MODOK,2
Ares,Moon Knight,2
Ares,Mr. Fantastic (Earth 838),1
Ares,Mr. Knight,1
Ares,Ms. America,2
Ares,Ms. Marvel,2
Ares,Mysterio,1
Ares,Namor,1
Ares,Nebula,1
Ares,Nick Fury,1
Ares,Nomad,2
Ares,Odin,1
Ares,Okoye,1
Ares,Outrider,1
Ares,Pepper Potts (Extremis),2
Ares,Phastos,1
Ares,Photon,2
Ares,Proxima Midnight,2
Ares,Quake,2
Ares,Quicksilver,2
Ares,Red Guardian,2
Ares,Red Skull (Stonekeeper),1
Ares,Red Skull,1
Ares,Rescue,2
Ares,Rocket Raccoon,2
Ares,Ronan The Accuser (Power Stone),1
Ares,Ronan The Accuser,1
Ares,Ronin,2
Ares,Scarlet Witch,2
Ares,Sersi (uni-mind),2
Ares,Sersi,2
Ares,Shang-Chi,1
Ares,She-Hulk,1
Ares,Shuri,2
Ares,Sif,2
Ares,Sinister Strange,1
Ares,Smart Hulk,2
Ares,Spectral Vision,1
Ares,Spider-Man,1
Ares,Star-Lord (Celestial Power),2
Ares,Star-Lord,1
Ares,Stature,2
Ares,Surtur,1
Ares,Swole Groot,1
Ares,Talos The Untamed,2
Ares,Taskmaster,2
Ares,Teenage Groot,2
Ares,Thanos,2
Ares,Thanos (Infinity Gauntlet),2
Ares,The Collector,1
Ares,The Executioner,2
Ares,The Grandmaster,1
Ares,The Great Protector,1
Ares,The Punisher,1
Ares,Thena,1
Ares,Thor (Pre-Ragnarok),2
Ares,Thor (Awakened),2
Ares,Thor,1
Ares,Ultron,2
Ares,Unworthy Thor,1
Ares,Valkyrie,2
Ares,Vision,2
Ares,Vulture,1
Ares,Wanda Maximoff (Pre-WandaVision),2
Ares,War Machine,2
Ares,Warlock,1
Ares,Wasp,2
Ares,Whiplash,2
Ares,Whiplash (Mark II),2
Ares,White Wolf,1
Ares,Winter Soldier,1
Ares,Wolverine,2
Ares,Wong,2
Ares,YellowJacket,1
Ares,Yondu,2
Ares,Zeus,2
Atom Smasher,Batman,2
Atom Smasher,Black Adam,1
Atom Smasher,Black Canary,1
Atom Smasher,Black Manta,2
Atom Smasher,Black Mask,1
Atom Smasher,Bloodsport,2
Atom Smasher,Captain Boomerang,2
Atom Smasher,Cassandra Cain,1
Atom Smasher,Cheetah,1
Atom Smasher,Cyborg,1
Atom Smasher,Cyclone,2
Atom Smasher,Dark Flash,1
Atom Smasher,Darkseid,2
Atom Smasher,Deadshot,2
Atom Smasher,Doctor Fate,2
Atom Smasher,Doctor Sivana,2
Atom Smasher,Doomsday,2
Atom Smasher,El Diablo,1
Atom Smasher,Enchantress,2
Atom Smasher,Envy,2
Atom Smasher,Faora,2
Atom Smasher,Freddy Freeman,2
Atom Smasher,General Zod,2
Atom Smasher,Gluttony,2
Atom Smasher,Green Lantern,1
Atom Smasher,Harley Quinn,2
Atom Smasher,Hawkman,2
Atom Smasher,Hespera,1
Atom Smasher,Huntress,1
Atom Smasher,Incubus,2
Atom Smasher,Joker,1
Atom Smasher,Jor-El,2
Atom Smasher,Judomaster,1
Atom Smasher,Karathen,1
Atom Smasher,Katana,1
Atom Smasher,Killer Croc,1
Atom Smasher,King Nereus,1
Atom Smasher,King Shark,2
Atom Smasher,Lex Luthor,2
Atom Smasher,Lust,2
Atom Smasher,Mera,2
Atom Smasher,Mister Zsasz,2
Atom Smasher,Nam-Ek,2
Atom Smasher,Nuidis Vulko,2
Atom Smasher,Ocean Master,1
Atom Smasher,Parademon,2
Atom Smasher,Peacemaker,1
Atom Smasher,Penthesileia,2
Atom Smasher,Philippus,2
Atom Smasher,Polka-Dot Man,1
Atom Smasher,Queen Atlanna,2
Atom Smasher,Queen Hippolyta,2
Atom Smasher,Ratcatcher,1
Atom Smasher,Rick Flag,2
Atom Smasher,Sabbac,2
Atom Smasher,Savant,1
Atom Smasher,Shazam,1
Atom Smasher,Slipknot,1
Atom Smasher,Sol Soria,2
Atom Smasher,Starro,2
Atom Smasher,Steppenwolf,2
Atom Smasher,Supergirl,2
Atom Smasher,Superman,1
Atom Smasher,T.D.K.,1
Atom Smasher,The Flash,1
Atom Smasher,Vigilante,2
Atom Smasher,White Dragon,2
Atom Smasher,Wonder Woman (Armor of Asteria),2
Atom Smasher,Wrath,1
Atom Smasher,Zeus,1
Atom Smasher,Agatha Harkness,2
Atom Smasher,Abomination,1
Atom Smasher,Ajak,2
Atom Smasher,Ancient One (time stone),2
Atom Smasher,Ancient One,2
Atom Smasher,Ant-Man,2
Atom Smasher,Arishem The Judge,1
Atom Smasher,Ayo,1
Atom Smasher,Baby Groot,2
Atom Smasher,Baron Mordo,1
Atom Smasher,Baron Zemo,2
Atom Smasher,Black Bolt (Earth 838),2
Atom Smasher,Black Bolt,2
Atom Smasher,Black Panther,2
Atom Smasher,Black Panther,2
Atom Smasher,Black Widow,1
Atom Smasher,Black Widow,1
Atom Smasher,Bucky Barnes,1
Atom Smasher,Bullseye,1
Atom Smasher,Captain America,1
Atom Smasher,Captain America (Worthy),1
Atom Smasher,Captain Carter (Earth 838),2
Atom Smasher,Captain Marvel,1
Atom Smasher,Chitauri Footsoldier,2
Atom Smasher,Corvus Glaive,1
Atom Smasher,Crossbones,1
Atom Smasher,Cull Obsidian,1
Atom Smasher,Dar-Benn,1
Atom Smasher,Daredevil,1
Atom Smasher,Deathlok,1
Atom Smasher,Destroyer,1
Atom Smasher,Doctor Strange,2
Atom Smasher,Dormammu,1
Atom Smasher,Drax The Destroyer,2
Atom Smasher,Ebony Maw,1
Atom Smasher,Echo,1
Atom Smasher,Ego,2
Atom Smasher,Elektra,1
Atom Smasher,Eternity,1
Atom Smasher,Falcon,1
Atom Smasher,Fandral,1
Atom Smasher,Fat Thor,1
Atom Smasher,Fenris,2
Atom Smasher,Frigga,1
Atom Smasher,G'iah,2
Atom Smasher,Gamora,1
Atom Smasher,Gargantos,1
Atom Smasher,Ghost,2
Atom Smasher,Ghost Rider,2
Atom Smasher,Giant-Man,1
Atom Smasher,Gilgamesh,1
Atom Smasher,Gorr The God Butcher,2
Atom Smasher,Gravik,2
Atom Smasher,Groot,2
Atom Smasher,Hawkeye,1
Atom Smasher,Hawkeye,2
Atom Smasher,Heimdall,2
Atom Smasher,Hela,1
Atom Smasher,High Evolutionary,1
Atom Smasher,Hulk (Stark Gauntlet),1
Atom Smasher,Hulk,1
Atom Smasher,Ikaris,2
Atom Smasher,Iron Fist,1
Atom Smasher,Iron Man,1
Atom Smasher,Iron Man (Mk 1),2
Atom Smasher,Iron Man (Stark Gauntlet),1
Atom Smasher,Iron Man (Hulkbuster),1
Atom Smasher,Iron Monger,1
Atom Smasher,Iron Spider,2
Atom Smasher,Ironheart,1
Atom Smasher,Jemiah The Analyzer,1
Atom Smasher,Jessica Jones,1
Atom Smasher,Kaecilius,2
Atom Smasher,Kang the Conqueror,1
Atom Smasher,Killian,1
Atom Smasher,Killmonger,1
Atom Smasher,Kingo,1
Atom Smasher,Kingpin,2
Atom Smasher,Korath The Pursuer,2
Atom Smasher,Korg,1
Atom Smasher,Kro,1
Atom Smasher,Kurse,1
Atom Smasher,Kid Loki,1
Atom Smasher,Lady Loki,2
Atom Smasher,Leo Fitz,2
Atom Smasher,Leviathan,1
Atom Smasher,Loki,2
Atom Smasher,Loki (Mind Stone),2
Atom Smasher,Loki (Keeper Of The Multiverse),2
Atom Smasher,Loki (Variant L1130),2
Atom Smasher,Loki (King of Asgard),2
Atom Smasher,Luke Cage,1
Atom Smasher,M'baku,1
Atom Smasher,Makkari,2
Atom Smasher,Malekith (Reality Stone),2
Atom Smasher,Malekith,1
Atom Smasher,Mandarin,2
Atom Smasher,Mantis,1
Atom Smasher,Mighty Thor,2
Atom Smasher,MODOK,1
Atom Smasher,Moon Knight,2
Atom Smasher,Mr. Fantastic (Earth 838),2
Atom Smasher,Mr. Knight,2
Atom Smasher,Ms. America,1
Atom Smasher,Ms. Marvel,1
Atom Smasher,Mysterio,1
Atom Smasher,Namor,1
Atom Smasher,Nebula,1
Atom Smasher,Nick Fury,2
Atom Smasher,Nomad,1
Atom Smasher,Odin,1
Atom Smasher,Okoye,1
Atom Smasher,Outrider,2
Atom Smasher,Pepper Potts (Extremis),1
Atom Smasher,Phastos,1
Atom Smasher,Photon,1
Atom Smasher,Proxima Midnight,1
Atom Smasher,Quake,2
Atom Smasher,Quicksilver,1
Atom Smasher,Red Guardian,1
Atom Smasher,Red Skull (Stonekeeper),2
Atom Smasher,Red Skull,2
Atom Smasher,Rescue,2
Atom Smasher,Rocket Raccoon,2
Atom Smasher,Ronan The Accuser (Power Stone),1
Atom Smasher,Ronan The Accuser,2
Atom Smasher,Ronin,2
Atom Smasher,Scarlet Witch,2
Atom Smasher,Sersi (uni-mind),2
Atom Smasher,Sersi,1
Atom Smasher,Shang-Chi,1
Atom Smasher,She-Hulk,1
Atom Smasher,Shuri,2
Atom Smasher,Sif,1
Atom Smasher,Sinister Strange,2
Atom Smasher,Smart Hulk,1
Atom Smasher,Spectral Vision,2
Atom Smasher,Spider-Man,2
Atom Smasher,Star-Lord (Celestial Power),1
Atom Smasher,Star-Lord,1
Atom Smasher,Stature,2
Atom Smasher,Surtur,2
Atom Smasher,Swole Groot,2
Atom Smasher,Talos The Untamed,2
Atom Smasher,Taskmaster,2
Atom Smasher,Teenage Groot,1
Atom Smasher,Thanos,2
Atom Smasher,Thanos (Infinity Gauntlet),2
Atom Smasher,The Collector,1
Atom Smasher,The Executioner,2
Atom Smasher,The Grandmaster,2
Atom Smasher,The Great Protector,1
Atom Smasher,The Punisher,2
Atom Smasher,Thena,1
Atom Smasher,Thor (Pre-Ragnarok),1
Atom Smasher,Thor (Awakened),1
Atom Smasher,Thor,1
Atom Smasher,Ultron,2
Atom Smasher,Unworthy Thor,2
Atom Smasher,Valkyrie,2
Atom Smasher,Vision,2
Atom Smasher,Vulture,2
Atom Smasher,Wanda Maximoff (Pre-WandaVision),2
Atom Smasher,War Machine,2
Atom Smasher,Warlock,2
Atom Smasher,Wasp,1
Atom Smasher,Whiplash,1
Atom Smasher,Whiplash (Mark II),2
Atom Smasher,White Wolf,2
Atom Smasher,Winter Soldier,2
Atom Smasher,Wolverine,1
Atom Smasher,Wong,1
Atom Smasher,YellowJacket,2
Atom Smasher,Yondu,1
Atom Smasher,Zeus,2
Batman,Black Adam,1
Batman,Black Canary,2
Batman,Black Manta,1
Batman,Black Mask,1
Batman,Bloodsport,1
Batman,Captain Boomerang,1
Batman,Cassandra Cain,1
Batman,Cheetah,2
Batman,Cyborg,1
Batman,Cyclone,1
Batman,Dark Flash,2
Batman,Darkseid,2
Batman,Deadshot,1
Batman,Doctor Fate,2
Batman,Doctor Sivana,2
Batman,Doomsday,1
Batman,El Diablo,2
Batman,Enchantress,1
Batman,Envy,2
Batman,Faora,2
Batman,Freddy Freeman,2
Batman,General Zod,2
Batman,Gluttony,2
Batman,Green Lantern,2
Batman,Harley Quinn,1
Batman,Hawkman,2
Batman,Hespera,1
Batman,Huntress,2
Batman,Incubus,2
Batman,Joker,2
Batman,Jor-El,1
Batman,Judomaster,1
Batman,Karathen,1
Batman,Katana,2
Batman,Killer Croc,1
Batman,King Nereus,1
Batman,King Shark,2
Batman,Lex Luthor,1
Batman,Lust,2
Batman,Mera,1
Batman,Mister Zsasz,2
Batman,Nam-Ek,2
Batman,Nuidis Vulko,2
Batman,Ocean Master,2
Batman,Parademon,1
Batman,Peacemaker,1
Batman,Penthesileia,1
Batman,Philippus,1
Batman,Polka-Dot Man,2
Batman,Queen Atlanna,1
Batman,Queen Hippolyta,1
Batman,Ratcatcher,2
Batman,Rick Flag,2
Batman,Sabbac,1
Batman,Savant,2
Batman,Shazam,2
Batman,Slipknot,2
Batman,Sol Soria,2
Batman,Starro,2
Batman,Steppenwolf,2
Batman,Supergirl,2
Batman,Superman,2
Batman,T.D.K.,2
Batman,The Flash,1
Batman,Vigilante,1
Batman,White Dragon,1
Batman,Wonder Woman (Armor of Asteria),2
Batman,Wrath,2
Batman,Zeus,1
Batman,Agatha Harkness,1
Batman,Abomination,2
Batman,Ajak,1
Batman,Ancient One (time stone),1
Batman,Ancient One,2
Batman,Ant-Man,1
Batman,Arishem The Judge,2
Batman,Ayo,2
Batman,Baby Groot,1
Batman,Baron Mordo,2
Batman,Baron Zemo,1
Batman,Black Bolt (Earth 838),1
Batman,Black Bolt,2
Batman,Black Panther,1
Batman,Black Panther,1
Batman,Black Widow,2
Batman,Black Widow,1
Batman,Bucky Barnes,2
Batman,Bullseye,1
Batman,Captain America,1
Batman,Captain America (Worthy),2
Batman,Captain Carter (Earth 838),1
Batman,Captain Marvel,1
Batman,Chitauri Footsoldier,2
Batman,Corvus Glaive,1
Batman,Crossbones,1
Batman,Cull Obsidian,1
Batman,Dar-Benn,2
Batman,Daredevil,1
Batman,Deathlok,2
Batman,Destroyer,1
Batman,Doctor Strange,2
Batman,Dormammu,2
Batman,Drax The Destroyer,2
Batman,Ebony Maw,2
Batman,Echo,2
Batman,Ego,2
Batman,Elektra,1
Batman,Eternity,1
Batman,Falcon,2
Batman,Fandral,1
Batman,Fat Thor,2
Batman,Fenris,1
Batman,Frigga,2
Batman,G'iah,2
Batman,Gamora,1
Batman,Gargantos,2
Batman,Ghost,1
Batman,Ghost Rider,2
Batman,Giant-Man,1
Batman,Gilgamesh,1
Batman,Gorr The God Butcher,1
Batman,Gravik,2
Batman,Groot,2
Batman,Hawkeye,1
Batman,Hawkeye,1
Batman,Heimdall,1
Batman,Hela,1
Batman,High Evolutionary,1
Batman,Hulk (Stark Gauntlet),1
Batman,Hulk,1
Batman,Ikaris,2
Batman,Iron Fist,1
Batman,Iron Man,1
Batman,Iron Man (Mk 1),1
Batman,Iron Man (Stark Gauntlet),2
Batman,Iron Man (Hulkbuster),1
Batman,Iron Monger,1
Batman,Iron Spider,1
Batman,Ironheart,2
Batman,Jemiah The Analyzer,2
Batman,Jessica Jones,2
Batman,Kaecilius,1
Batman,Kang the Conqueror,1
Batman,Killian,1
Batman,Killmonger,2
Batman,Kingo,1
Batman,Kingpin,1
Batman,Korath The Pursuer,2
Batman,Korg,2
Batman,Kro,1
Batman,Kurse,2
Batman,Kid Loki,1
Batman,Lady Loki,1
Batman,Leo Fitz,2
Batman,Leviathan,2
Batman,Loki,1
Batman,Loki (Mind Stone),2
Batman,Loki (Keeper Of The Multiverse),1
Batman,Loki (Variant L1130),2
Batman,Loki (King of Asgard),2
Batman,Luke Cage,2
Batman,M'baku,1
Batman,Makkari,1
Batman,Malekith (Reality Stone),2
Batman,Malekith,1
Batman,Mandarin,2
Batman,Mantis,1
Batman,Mighty Thor,2
Batman,MODOK,2
Batman,Moon Knight,2
Batman,Mr. Fantastic (Earth 838),2
Batman,Mr. Knight,2
Batman,Ms. America,1
Batman,Ms. Marvel,1
Batman,Mysterio,2
Batman,Namor,1
Batman,Nebula,2
Batman,Nick Fury,1
Batman,Nomad,1
Batman,Odin,2
Batman,Okoye,2
Batman,Outrider,1
Batman,Pepper Potts (Extremis),2
Batman,Phastos,1
Batman,Photon,2
Batman,Proxima Midnight,1
Batman,Quake,2
Batman,Quicksilver,2
Batman,Red Guardian,1
Batman,Red Skull (Stonekeeper),1
Batman,Red Skull,2
Batman,Rescue,2
Batman,Rocket Raccoon,1
Batman,Ronan The Accuser (Power Stone),1
Batman,Ronan The Accuser,2
Batman,Ronin,1
Batman,Scarlet Witch,1
Batman,Sersi (uni-mind),1
Batman,Sersi,2
Batman,Shang-Chi,2
Batman,She-Hulk,1
Batman,Shuri,2
Batman,Sif,1
Batman,Sinister Strange,1
Batman,Smart Hulk,2
Batman,Spectral Vision,2
Batman,Spider-Man,1
Batman,Star-Lord (Celestial Power),2
Batman,Star-Lord,1
Batman,Stature,2
Batman,Surtur,2
Batman,Swole Groot,1
Batman,Talos The Untamed,2
Batman,Taskmaster,2
Batman,Teenage Groot,1
Batman,Thanos,2
