,nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe
0,,Agatha Harkness,Marvel Cinematic Universe,https://www.superherodb.com/agatha-harkness/10-25794/,70,40,25,35,70,65,3,,"['Durability', 'Energy Blasts', 'Energy Constructs', 'Intelligence', 'Levitation', 'Longevity', 'Magic', 'Mind Control', 'Mind Control Resistance', 'Power Sense', 'Psionic Powers', 'Stamina', 'Super Speed', 'Super Strength', 'Telekinesis', 'Teleportation', 'Agility', 'Cold Resistance', 'Dexterity', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Manipulation', 'Fire Resistance', 'Flight', 'Illusions', 'Jump', 'Magic Resistance', 'Marksmanship', 'Master Tactician', 'Necromancy', 'Projection', 'Psychometry', 'Radiation Immunity', 'Reality Warping', 'Reflexes', 'Stealth', 'Transformation', 'Animation', 'Invulnerability', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Agatha Harkness', 'Rotemeg', 'Rez005', 'Juzo', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Agatha Harkness
1,Emil Blonsky,Abomination,Marvel Cinematic Universe,https://www.superherodb.com/abomination/10-12512/,65,100,25,50,65,70,3,3,"['Cold Resistance', 'Durability', 'Endurance', 'Energy Resistance', 'Fire Resistance', 'Intelligence', 'Jump', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Agility', 'Dexterity', 'Electricity Resistance', 'Heat Resistance', 'Invulnerability', 'Longevity', 'Natural Armor', 'Natural Weapons', 'Radiation Immunity', 'Regeneration', 'Shockwaves Generation', 'Stealth', 'Toxin and Disease Resistance', 'Transformation', 'Adaptation', 'Insanity', 'Large Size', 'Marksmanship', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Abomination', 'Mcu Thunderbolts', 'Movie Heroes', 'My Collection', 'The Incredible Hulk (2008)', 'Rotemeg', 'Rez005', 'Juzo', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Abomination
2,Ajak,Ajak,Marvel Cinematic Universe,https://www.superherodb.com/ajak/10-26887/,65,25,19,25,50,70,2,,"['Accelerated Healing', 'Agility', 'Durability', 'Intelligence', 'Master Tactician', 'Multilingualism', 'Radiation Immunity', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Vitakinesis', 'Cold Resistance', 'Endurance', 'Energy Manipulation', 'Energy Resistance', 'Immortality', 'Marksmanship', 'Regeneration', 'Self-Sustenance', 'Stealth', 'Weapons Master', 'Dexterity', 'Energy Constructs', 'Heat Resistance', 'Telepathy', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Rotemeg', 'Rez005', 'Juzo', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Ajak
3,,Ancient One (time stone),Marvel Cinematic Universe,https://www.superherodb.com/ancient-one-time-stone/10-63877/,85,8,25,15,100,100,6,6++,"['Anti-Gravity', 'Astral Projection', 'Conceptual Manipulation', 'Corruption Resistance', 'Dimensional Travel', 'Durability', 'Endurance', 'Energy Constructs', 'Energy Manipulation', 'Fate Manipulation', 'Force Fields', 'Gravity Control', 'Immortality', 'Intelligence', 'Interstellar Travel', 'Longevity', 'Magic', 'Master Martial Artist', 'Matter Manipulation', 'Mind Control Resistance', 'Portal Creation', 'Self-Sustenance', 'Soul Manipulation', 'Spatial Manipulation', 'Stamina', 'Super Strength', 'Time Manipulation', 'Time Manipulation Resistance', 'Time Travel', 'Acausality', 'Acid Resistants', 'Acrobatics', 'Agility', 'Banish', 'Camouflage', 'Causality Manipulation', 'Causality Resistance', 'Cloaking', 'Cold Resistance', 'Dark Magic', 'Dream Manipulation', 'Durability Negation', 'Electricity Resistance', 'Element Control', 'Energy Absorption', 'Energy Blasts', 'Energy Resistance', 'Illusions', 'Magic Resistance', 'Master Tactician', 'Molecular Manipulation', 'Multilingualism', 'Physics Manipulation', 'Power Nullifier', 'Precognition', 'Reality Warping', 'Reality Warping Resistance', 'Reflexes', 'Soul Resistance', 'Stealth', 'Telekinesis', 'Teleportation', 'Toxin and Disease Resistance', 'Vitakinesis', 'Weapon Creation', 'Weapons Master', 'Wind Control', 'Duplication', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Rotemeg', 'Rez005', 'Juzo', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Ancient One (Time Stone)
4,,Ancient One,Marvel Cinematic Universe,https://www.superherodb.com/ancient-one/10-12735/,85,8,25,25,90,100,4,,"['Anti-Gravity', 'Astral Projection', 'Dimensional Travel', 'Endurance', 'Energy Constructs', 'Energy Manipulation', 'Gravity Control', 'Intelligence', 'Interstellar Travel', 'Magic', 'Master Martial Artist', 'Matter Manipulation', 'Portal Creation', 'Self-Sustenance', 'Soul Manipulation', 'Spatial Manipulation', 'Stamina', 'Super Strength', 'Acid Resistants', 'Acrobatics', 'Agility', 'Banish', 'Camouflage', 'Causality Manipulation', 'Causality Resistance', 'Cloaking', 'Cold Resistance', 'Dark Magic', 'Dream Manipulation', 'Durability Negation', 'Electricity Resistance', 'Element Control', 'Energy Absorption', 'Energy Blasts', 'Energy Resistance', 'Force Fields', 'Illusions', 'Immortality', 'Longevity', 'Magic Resistance', 'Master Tactician', 'Mind Control Resistance', 'Molecular Manipulation', 'Multilingualism', 'Physics Manipulation', 'Power Nullifier', 'Precognition', 'Reality Warping', 'Reflexes', 'Soul Resistance', 'Stealth', 'Telekinesis', 'Teleportation', 'Time Manipulation', 'Toxin and Disease Resistance', 'Vitakinesis', 'Weapons Master', 'Reality Warping Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ancient One', 'Avengers: Endgame (2019)', 'My Collection', 'Red Ranked Warriors', 'Rotemeg', 'Juzo', 'Rez005', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Ancient One
5,Scott Lang,Ant-Man,Marvel Cinematic Universe,https://www.superherodb.com/ant-man/10-12594/,70,25,15,15,35,50,1,,"['Agility', 'Animal Control', 'Durability', 'Enhanced Condition', 'Indomitable Will', 'Intelligence', 'Jump', 'Size Changing', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Ability Shift', 'Acrobatics', 'Adaptation', 'Endurance', 'Stealth', 'Energy Blasts', 'Flight', 'Hacking', 'Large Size', 'Master Martial Artist', 'Master Tactician', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ant-Man', 'Avengers: Endgame (2019)', 'Mcu Superheroes', 'Movie Heroes', 'My Collection', 'White Ranked Warriors', 'Rez005', 'Juzo', 'Rotemeg', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Ant-Man
6,Arishem,Arishem The Judge,Marvel Cinematic Universe,https://www.superherodb.com/arishem-the-judge/10-30325/,100,100,100,100,100,65,6,6++,"['Accelerated Healing', 'Acid Resistants', 'Age Manipulation', 'Agility', 'Animation', 'Antimatter Manipulation', 'Banish', 'Black Hole Manipulation', 'Clairvoyance', 'Cold Resistance', 'Cosmic Awareness', 'Creation', 'Dark Matter Manipulation', 'Durability', 'Electricity Resistance', 'Electrokinesis', 'Element Control', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Explosion Manipulation', 'Fire Resistance', 'Flight', 'Gravity Control', 'Heat Generation', 'Heat Resistance', 'Illumination', 'Illusions', 'Immortality', 'Indomitable Will', 'Information Analysis', 'Inorganic Physiology', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Jump', 'Large Size', 'Latent Abilities', 'Life Manipulation', 'Longevity', 'Master Tactician', 'Matter Absorption', 'Memory Manipulation', 'Mind Control Resistance', 'Molecular Manipulation', 'Nigh-Omniscience', 'Non-Physical Interaction', 'Omnilingualism', 'Petrification', 'Portal Creation', 'Power Augmentation', 'Power Bestowal', 'Power Modification', 'Projection', 'Radiation Control', 'Radiation Immunity', 'Reality Warping', 'Reality Warping Resistance', 'Reflexes', 'Self-Sustenance', 'Shockwaves Generation', 'Soul Resistance', 'Stamina', 'Stealth', 'Summoning', 'Super Speed', 'Super Strength', 'Telekinesis', 'Telepathy', 'Telepathy Resistance', 'Teleportation', 'Terrakinesis', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Underwater breathing', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Vortex Creation', 'Water Control', 'Weather Control', 'Wind Control', 'Attack Negation', 'Aura', 'Corruption Resistance', 'Danger Sense', 'Dexterity', 'Illusion Resistance', 'Marksmanship', 'Quantum Manipulation', 'Regeneration', 'Spatial Awareness', 'Spatial Manipulation', 'Time Manipulation', 'Wishing', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Arishem The Judge', 'Rez005', 'Juzo', 'Rotemeg', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Arishem the Judge
7,Ayo,Ayo,Marvel Cinematic Universe,https://www.superherodb.com/ayo/10-28649/,65,6,7,10,5,85,1,,"['Acrobatics', 'Intelligence', 'Marksmanship', 'Peak Human Condition', 'Stamina', 'Weapons Master', 'Dexterity', 'Endurance', 'Master Martial Artist', 'Stealth', 'Agility', 'Durability Negation', 'Master Tactician', 'Reflexes', 'Weapon-based Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Rotemeg', 'Rez005', 'Juzo', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Ayo
8,Groot Dutch,Baby Groot,Marvel Cinematic Universe,https://www.superherodb.com/baby-groot/10-11283/,45,1,1,10,10,15,0,,"['Stamina', 'Super Strength', 'Agility', 'Berserk Mode', 'Stealth', 'The Fourth Wall', 'Plant Control', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Guardians of the Galaxy', 'Groot', 'My Favorite Characters ⭐ Pcf Updated', 'Rez005', 'Rotemeg', 'Juzo', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Baby Groot
9,Karl Mordo,Baron Mordo,Marvel Cinematic Universe,https://www.superherodb.com/baron-mordo/10-15123/,70,6,25,10,70,85,3,3,"['Endurance', 'Energy Constructs', 'Indomitable Will', 'Intelligence', 'Magic', 'Master Martial Artist', 'Peak Human Condition', 'Portal Creation', 'Stamina', 'Stealth', 'Super Speed', 'Swordsmanship', 'Teleportation', 'Acrobatics', 'Agility', 'Astral Projection', 'Dexterity', 'Dimensional Travel', 'Energy Absorption', 'Energy Manipulation', 'Fire Resistance', 'Force Fields', 'Illumination', 'Jump', 'Levitation', 'Marksmanship', 'Master Tactician', 'Matter Manipulation', 'Mind Control Resistance', 'Power Absorption', 'Power Nullifier', 'Reflexes', 'Spatial Manipulation', 'Time Manipulation Resistance', 'Weapon-based Powers', 'Weapons Master', 'Flight', 'Heat Resistance', 'Invulnerability', 'Multilingualism', 'Reality Warping', 'Soul Manipulation', 'Soul Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Baron Mordo', 'Doctor Strange In The Multiverse Of Madness (2022)', 'My Collection', 'Rez005', 'Rotemeg', 'Juzo', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Baron Mordo
10,Helmut J. Zemo,Baron Zemo,Marvel Cinematic Universe,https://www.superherodb.com/baron-zemo/10-13898/,75,5,10,10,15,70,1,,"['Disguise Mastery', 'Intelligence', 'Marksmanship', 'Stamina', 'Stealth', 'Weapons Master', 'Agility', 'Dexterity', 'Endurance', 'Hacking', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Vehicular Mastery', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Baron Zemo', 'Mcu Thunderbolts', 'My Collection', 'Rez005', 'Juzo', 'Rotemeg', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Baron Zemo
11,Blackagar Boltagon,Black Bolt (Earth 838),Marvel Cinematic Universe,https://www.superherodb.com/black-bolt-earth-838/10-48278/,75,13,14,20,55,50,4,,"['Audio Alteration', 'Durability', 'Intelligence', 'Sonic Scream', 'Stamina', 'Agility', 'Endurance', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Enhanced Hearing', 'Enhanced Sight', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Illuminati', 'Black Bolt', 'Doctor Strange In The Multiverse Of Madness (2022)', 'Rez005', 'Juzo', 'Rotemeg', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Black Bolt (Earth-838)
12,Blackagar Boltagon,Black Bolt,Marvel Cinematic Universe,https://www.superherodb.com/black-bolt/10-16576/,70,15,20,20,70,80,3,,"['Audio Alteration', 'Durability', 'Intelligence', 'Master Martial Artist', 'Master Tactician', 'Sonic Scream', 'Stamina', 'Weapons Master', 'Agility', 'Dexterity', 'Endurance', 'Enhanced Hearing', 'Enhanced Sight', 'Reflexes', 'Telepathy', 'Telepathy Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Black Bolt', 'Rotemeg', 'Juzo', 'Rez005', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Black Bolt
13,T'Challa,Black Panther,Marvel Cinematic Universe,https://www.superherodb.com/black-panther/10-12586/,75,25,25,30,30,95,1,,"['Acrobatics', 'Agility', 'Durability', 'Endurance', 'Energy Absorption', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Peak Human Condition', 'Stamina', 'Stealth', 'Vision - Night', 'Accelerated Healing', 'Acid Resistants', 'Animal Oriented Powers', 'Attack Reflection', 'Camouflage', 'Cold Resistance', 'Danger Sense', 'Dexterity', 'Gadget Usage', 'Heat Resistance', 'Hunters Instinct', 'Jump', 'Longevity', 'Master Tactician', 'Preparation', 'Reflexes', 'Shockwaves Generation', 'Swordsmanship', 'Weapon-based Powers', 'Weapons Master', 'Adaptation', 'Animal Attributes', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Hearing', 'Enhanced Sight', 'Fire Resistance', 'Power Suit', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Team America', 'Avengers', 'Black Panther', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Mcu Superheroes', 'Movie Heroes', 'My Collection', 'Roleplaying Collection', 'Rotemeg', 'Juzo', 'Rez005', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Black Panther
14,Shuri,Black Panther,Marvel Cinematic Universe,https://www.superherodb.com/black-panther/10-52499/,80,20,25,30,30,70,1,,"['Acrobatics', 'Agility', 'Durability', 'Endurance', 'Grappling/Climbing', 'Hunters Instinct', 'Indomitable Will', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Wallcrawling', 'Weapons Master', 'Accelerated Healing', 'Animal Oriented Powers', 'Cold Resistance', 'Danger Sense', 'Dexterity', 'Energy Absorption', 'Enhanced Hearing', 'Enhanced Sight', 'Fire Resistance', 'Gadget Usage', 'Heat Resistance', 'Information Analysis', 'Instinctive Reaction', 'Jump', 'Master Tactician', 'Power Suit', 'Preparation', 'Shockwaves Generation', 'Social Influencing', 'Swordsmanship', 'Vehicular Mastery', 'Vibration Manipulation', 'Vision - Night', 'Electricity Resistance', 'Enhanced Touch', 'Robotic Engineering', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Black Panther', 'A-force (mcu)', 'Mcu Superheroes', 'Rez005', 'Juzo', 'Rotemeg', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Black Panther (Variant)
15,Natasha Romanoff,Black Widow,Marvel Cinematic Universe,https://www.superherodb.com/black-widow/10-12499/,75,5,8,10,20,90,1,,"['Acrobatics', 'Dexterity', 'Durability', 'Endurance', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Stealth', 'Vehicular Mastery', 'Weapons Master', 'Agility', 'Hacking', 'Jump', 'Pressure Points', 'Weapon-based Powers', 'Accelerated Healing', 'Adaptation', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers', 'Black Widow', 'A-force (mcu)', 'Avengers: Age Of Ultron (2015)', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Captain America: Winter Soldier (2014)', 'Mcu Superheroes', 'Movie Heroes', 'My Collection', 'People Who Like Each Other:', 'Roleplaying Collection', 'White Ranked Warriors', 'Rez005', 'Juzo', 'Rotemeg', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Black Widow
16,Yelena Belova,Black Widow,Marvel Cinematic Universe,https://www.superherodb.com/black-widow/10-25886/,70,5,8,15,20,85,1,,"['Acrobatics', 'Agility', 'Dexterity', 'Disguise Mastery', 'Endurance', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Stealth', 'Vehicular Mastery', 'Weapons Master', 'Hacking', 'Pressure Points', 'Accelerated Healing', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Black Widow', 'Mcu Thunderbolts', 'Movie Heroes', 'Rez005', 'Juzo', 'Rotemeg', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Black Widow (Variant)
17,Bucky Barnes,Bucky Barnes,Marvel Cinematic Universe,https://www.superherodb.com/bucky-barnes/10-12601/,60,1,1,5,5,40,1,,"['Peak Human Condition', 'Stamina', 'Agility', 'Marksmanship', 'Reflexes', 'Stealth', 'Weapons Master', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'My Collection', 'Rez005', 'Juzo', 'Rotemeg', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Bucky Barnes
18,Benjamin Poindexter,Bullseye,Marvel Cinematic Universe,https://www.superherodb.com/bullseye/10-15428/,60,6,14,10,15,75,1,,"['Longevity', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Stamina', 'Weapons Master', 'Acrobatics', 'Agility', 'Dexterity', 'Endurance', 'Master Tactician', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Bullseye', 'My Favorite Characters ⭐ Pcf Updated', 'Rez005', 'Juzo', 'Rotemeg', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Bullseye
19,Sam Wilson,Captain America,Marvel Cinematic Universe,https://www.superherodb.com/captain-america/10-29352/,65,25,25,15,25,80,1,,"['Acrobatics', 'Durability', 'Intelligence', 'Marksmanship', 'Peak Human Condition', 'Stamina', 'Super Speed', 'Super Strength', 'Cold Resistance', 'Endurance', 'Energy Resistance', 'Enhanced Sight', 'Flight', 'Hacking', 'Heat Generation', 'Indomitable Will', 'Laser Manipulation', 'Levitation', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Stealth', 'Vision - Infrared', 'Vision - Night', 'Vision - Thermal', 'Weapon-based Powers', 'Weapons Master', 'Agility', 'Dexterity', 'Energy Beams', 'Energy Blasts', 'Fire Resistance', 'Heat Resistance', 'Illumination', 'Information Analysis', 'Invulnerability', 'Jump', 'Technopath/Cyberpath', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Captain America', 'Rez005', 'Juzo', 'Rotemeg', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'Chronicler', 'All Users']",Captain America
20,Steve Rogers,Captain America (Worthy),Marvel Cinematic Universe,https://www.superherodb.com/captain-america-worthy/10-16755/,70,100,75,50,75,90,4,,"['Acrobatics', 'Dexterity', 'Durability', 'Electrokinesis', 'Endurance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Indomitable Will', 'Intelligence', 'Longevity', 'Master Martial Artist', 'Master Tactician', 'Pain Suppression', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Terrakinesis', 'Vortex Creation', 'Weapon Summoning', 'Weapons Master', 'Weather Control', 'Accelerated Healing', 'Acid Resistants', 'Agility', 'Attack Reflection', 'Audio Control', 'Cold Resistance', 'Electricity Absorption', 'Electricity Resistance', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Explosion Manipulation', 'Illumination', 'Invulnerability', 'Jump', 'Levitation', 'Marksmanship', 'Mind Control Resistance', 'Photographic Reflexes', 'Radiation Immunity', 'Regeneration', 'Seismic Power', 'Shockwaves Generation', 'Spaceflight', 'Toxin and Disease Resistance', 'Vehicular Mastery', 'Weapon-based Powers', 'Wind Control', 'Fire Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Captain America', 'Avengers: Endgame (2019)', 'My Collection', 'Rotemeg', 'Chronicler', 'Juzo', 'Rez005', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'All Users']",Captain America (Worthy)
21,Peggy Carter,Captain Carter (Earth 838),Marvel Cinematic Universe,https://www.superherodb.com/captain-carter-earth-838/10-48113/,75,25,19,20,20,90,1,,"['Acrobatics', 'Endurance', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Weapons Master', 'Agility', 'Energy Resistance', 'Flight', 'Indomitable Will', 'Jump', 'Master Tactician', 'Stealth', 'Swordsmanship', 'Weapon-based Powers', 'Accelerated Healing', 'Dexterity', 'Fire Resistance', 'Heat Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Illuminati', 'Doctor Strange In The Multiverse Of Madness (2022)', 'Rotemeg', 'Chronicler', 'Juzo', 'Rez005', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'All Users']",Captain Carter (Earth-838)
22,Carol Danvers,Captain Marvel,Marvel Cinematic Universe,https://www.superherodb.com/captain-marvel/10-12611/,70,100,100,70,85,75,4,4+,"['Cold Resistance', 'Dexterity', 'Dig', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Absorption', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Condition', 'Explosion Manipulation', 'Fire Control', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Illumination', 'Intelligence', 'Interstellar Travel', 'Levitation', 'Light Control', 'Longevity', 'Multilingualism', 'Radiation Absorption', 'Radiation Control', 'Radiation Immunity', 'Reflexes', 'Self-Sustenance', 'Space Survivability', 'Spaceflight', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Vaporising Beams', 'Vehicular Mastery', 'Accelerated Healing', 'Acid Resistants', 'Acrobatics', 'Afterimage Creation', 'Agility', 'Aura', 'Bloodlust', 'Cloth Manipulation', 'Data Manipulation', 'Dimensional Awareness', 'Dimensional Travel', 'Durability Negation', 'Electricity Absorption', 'Electro-Magnetism Manipulation', 'Electrokinesis', 'Energy Beams', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Entropy Projection', 'Force Fields', 'Gadget Usage', 'Immortality Negation', 'Indomitable Will', 'Information Analysis', 'Invulnerability', 'Jump', 'Leadership', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Matter Absorption', 'Pain Suppression', 'Possession Resistance', 'Reactive Power Level', 'Regeneration', 'Seismic Power', 'Shockwaves Generation', 'Toxin and Disease Resistance', 'Vision - Night', 'Weapons Master', 'Immortality', 'Intimidation', 'Latent Abilities', 'Power Absorption', 'Regeneration Negation', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Anachronauts', 'Avengers', 'Captain Marvel', 'A-force (mcu)', 'Avengers: Endgame (2019)', ""Mcu Spider-man's Friends And Allies"", 'Mcu Superheroes', 'My Collection', 'My Favorite Characters ⭐ Pcf Updated', 'Red Ranked Warriors', 'Juzo', 'Chronicler', 'Rotemeg', 'Rez005', 'Aleazlllll', 'Ahasan', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'All Users']",Captain Marvel
23,,Chitauri Footsoldier,Marvel Cinematic Universe,https://www.superherodb.com/chitauri-footsoldier/10-26717/,55,13,8,10,10,55,1,,"['Durability', 'Endurance', 'Stamina', 'Super Strength', 'Energy Blasts', 'Marksmanship', 'Reflexes', 'Stealth', 'Weapons Master', 'Agility', 'Cold Resistance', 'Dexterity', 'Jump', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', '#shdb - Horde Characters', 'Chronicler', 'Ahasan', 'Rotemeg', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'All Users']",Chitauri Footsoldier
24,Corvus Glaive,Corvus Glaive,Marvel Cinematic Universe,https://www.superherodb.com/corvus-glaive/10-16758/,70,25,11,20,45,75,1,,"['Durability', 'Intelligence', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Weapons Master', 'Accelerated Healing', 'Agility', 'Endurance', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Acrobatics', 'Attack Reflection', 'Cold Resistance', 'Dexterity', 'Jump', 'Weapon-based Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Corvus Glaive', 'Avengers: Endgame (2019)', 'My Collection', 'Juzo', 'Rotemeg', 'Chronicler', 'Ahasan', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'All Users']",Corvus Glaive
25,Brock Rumlow,Crossbones,Marvel Cinematic Universe,https://www.superherodb.com/crossbones/10-13066/,60,25,17,15,10,70,1,,"['Durability', 'Stamina', 'Agility', 'Dexterity', 'Electricity Resistance', 'Endurance', 'Grappling/Climbing', 'Information Analysis', 'Marksmanship', 'Master Martial Artist', 'Pain Suppression', 'Reflexes', 'Stealth', 'Weapons Master', 'Explosion Manipulation', 'Hacking', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Crossbones', 'Avengers: Endgame (2019)', 'Captain America: Winter Soldier (2014)', 'My Collection', 'Roleplaying Collection', 'Juzo', 'Rotemeg', 'Chronicler', 'Ahasan', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'MoNsTeR', 'yes', 'All Users']",Crossbones
