Heroe_1,Heroe_2
Aquaman,Golden Boy
Aquaman,Homelander
Aquaman,Hughie Campbell (V24)
Aquaman,Lamplighter
Aquaman,Little Cricket
Aquaman,Marie Moreau
Aquaman,Mesmer
Aquaman,Mother's Milk
Aquaman,Naqib
Aquaman,Queen Maeve
Aquaman,Ryan Butcher
Aquaman,Sam Riordan
Aquaman,Shockwave
Aquaman,Sister Sage
Aquaman,Soldier Boy
Aquaman,Splinter
Aquaman,Starlight
Aquaman,Stormfront
Aquaman,Supe Terrorist
Aquaman,Tek Knight
Aquaman,The Deep
Aquaman,The Female
Aquaman,Translucent
Aquaman,Victoria Neuman
Aquaman,Webweaver
Aquaman,Zoe Neuman
Aquaman,Agatha Harkness
Aquaman,Abomination
Aquaman,Ajak
Aquaman,Ancient One (time stone)
Aquaman,Ancient One
Aquaman,Ant-Man
Aquaman,Arishem The Judge
Aquaman,Ayo
Aquaman,Baby Groot
Aquaman,Baron Mordo
Aquaman,Baron Zemo
Aquaman,Black Bolt (Earth 838)
Aquaman,Black Bolt
Aquaman,Black Panther
Aquaman,Black Panther
Aquaman,Black Widow
Aquaman,Black Widow
Aquaman,Bucky Barnes
Aquaman,Bullseye
Aquaman,Captain America
Aquaman,Captain America (Worthy)
Aquaman,Captain Carter (Earth 838)
Aquaman,Captain Marvel
Aquaman,Chitauri Footsoldier
Aquaman,Corvus Glaive
Aquaman,Crossbones
Aquaman,Cull Obsidian
Aquaman,Dar-Benn
Aquaman,Daredevil
Aquaman,Deathlok
Aquaman,Destroyer
Aquaman,Doctor Strange
Aquaman,Dormammu
Aquaman,Drax The Destroyer
Aquaman,Ebony Maw
Aquaman,Echo
Aquaman,Ego
Aquaman,Elektra
Aquaman,Eternity
Aquaman,Falcon
Aquaman,Fandral
Aquaman,Fat Thor
Aquaman,Fenris
Aquaman,Frigga
Aquaman,G'iah
Aquaman,Gamora
Aquaman,Gargantos
Aquaman,Ghost
Aquaman,Ghost Rider
Aquaman,Giant-Man
Aquaman,Gilgamesh
Aquaman,Gorr The God Butcher
Aquaman,Gravik
Aquaman,Groot
Aquaman,Hawkeye
Aquaman,Hawkeye
Aquaman,Heimdall
Aquaman,Hela
Aquaman,High Evolutionary
Aquaman,Hulk (Stark Gauntlet)
Aquaman,Hulk
Aquaman,Ikaris
Aquaman,Iron Fist
Aquaman,Iron Man
Aquaman,Iron Man (Mk 1)
Aquaman,Iron Man (Stark Gauntlet)
Aquaman,Iron Man (Hulkbuster)
Aquaman,Iron Monger
Aquaman,Iron Spider
Aquaman,Ironheart
Aquaman,Jemiah The Analyzer
Aquaman,Jessica Jones
Aquaman,Kaecilius
Aquaman,Kang the Conqueror
Aquaman,Killian
Aquaman,Killmonger
Aquaman,Kingo
Aquaman,Kingpin
Aquaman,Korath The Pursuer
Aquaman,Korg
Aquaman,Kro
Aquaman,Kurse
Aquaman,Kid Loki
Aquaman,Lady Loki
Aquaman,Leo Fitz
Aquaman,Leviathan
Aquaman,Loki
Aquaman,Loki (Mind Stone)
Aquaman,Loki (Keeper Of The Multiverse)
Aquaman,Loki (Variant L1130)
Aquaman,Loki (King of Asgard)
Aquaman,Luke Cage
Aquaman,M'baku
Aquaman,Makkari
Aquaman,Malekith (Reality Stone)
Aquaman,Malekith
Aquaman,Mandarin
Aquaman,Mantis
Aquaman,Mighty Thor
Aquaman,MODOK
Aquaman,Moon Knight
Aquaman,Mr. Fantastic (Earth 838)
Aquaman,Mr. Knight
Aquaman,Ms. America
Aquaman,Ms. Marvel
Aquaman,Mysterio
Aquaman,Namor
Aquaman,Nebula
Aquaman,Nick Fury
Aquaman,Nomad
Aquaman,Odin
Aquaman,Okoye
Aquaman,Outrider
Aquaman,Pepper Potts (Extremis)
Aquaman,Phastos
Aquaman,Photon
Aquaman,Proxima Midnight
Aquaman,Quake
Aquaman,Quicksilver
Aquaman,Red Guardian
Aquaman,Red Skull (Stonekeeper)
Aquaman,Red Skull
Aquaman,Rescue
Aquaman,Rocket Raccoon
Aquaman,Ronan The Accuser (Power Stone)
Aquaman,Ronan The Accuser
Aquaman,Ronin
Aquaman,Scarlet Witch
Aquaman,Sersi (uni-mind)
Aquaman,Sersi
Aquaman,Shang-Chi
Aquaman,She-Hulk
Aquaman,Shuri
Aquaman,Sif
Aquaman,Sinister Strange
Aquaman,Smart Hulk
Aquaman,Spectral Vision
Aquaman,Spider-Man
Aquaman,Star-Lord (Celestial Power)
Aquaman,Star-Lord
Aquaman,Stature
Aquaman,Surtur
Aquaman,Swole Groot
Aquaman,Talos The Untamed
Aquaman,Taskmaster
Aquaman,Teenage Groot
Aquaman,Thanos
Aquaman,Thanos (Infinity Gauntlet)
Aquaman,The Collector
Aquaman,The Executioner
Aquaman,The Grandmaster
Aquaman,The Great Protector
Aquaman,The Punisher
Aquaman,Thena
Aquaman,Thor (Pre-Ragnarok)
Aquaman,Thor (Awakened)
Aquaman,Thor
Aquaman,Ultron
Aquaman,Unworthy Thor
Aquaman,Valkyrie
Aquaman,Vision
Aquaman,Volstagg
Aquaman,Vulture
Aquaman,Wanda Maximoff (Pre-WandaVision)
Aquaman,War Machine
Aquaman,Warlock
Aquaman,Wasp
Aquaman,Whiplash
Aquaman,Whiplash (Mark II)
Aquaman,White Wolf
Aquaman,Winter Soldier
Aquaman,Wolverine
Aquaman,Wong
Aquaman,YellowJacket
Aquaman,Yondu
Aquaman,Zeus
Aquaman,Gogeta (Super Saiyan 4)
Aquaman,Goku (Super Saiyan 3)
Aquaman,Goku (Super Saiyan 2)
Aquaman,Goku (Super Saiyan 4)
Aquaman,Goku Jr.
Aquaman,Goten
Aquaman,Pan
Aquaman,Piccolo
Aquaman,Son Goku
Aquaman,Syn Shenron
Aquaman,Trunks
Aquaman,Uub
Aquaman,Android 16
Aquaman,Android 17
Aquaman,Android 18
Aquaman,Android 19
Aquaman,Aniraza
Aquaman,Arak
Aquaman,Bandages The Mummy
Aquaman,Bardock (Super Saiyan)
Aquaman,Bardock
Aquaman,Basil
Aquaman,Beerus
Aquaman,Belmod
Aquaman,Bergamo
Aquaman,Biarra
Aquaman,Bido
Aquaman,Bikal
Aquaman,Black Frieza
Aquaman,Bojack
Aquaman,Borareta
Aquaman,Botamo
Aquaman,Broly (Z)
Aquaman,Broly (Ikari)
Aquaman,Broly (Super Saiyan)
Aquaman,Broly
Aquaman,Bujin
Aquaman,Burter
Aquaman,Buu (Good)
Aquaman,Buu (Grand Supreme Kai)
Aquaman,Buuhan
Aquaman,Buutenks
Aquaman,Cabba (Super Saiyan)
Aquaman,Cabba (Super Saiyan 2)
Aquaman,Cabba
Aquaman,Dende
Aquaman,Dercori
Aquaman,Dodoria
Aquaman,Dore
Aquaman,Dr Gero
Aquaman,Dyspo (Super Maximum Light Speed)
Aquaman,Dyspo
Aquaman,Frieza
Aquaman,Frieza (First Form)
Aquaman,Frieza (Second Form)
Aquaman,Frieza (Third Form)
Aquaman,Fusion Zamasu
Aquaman,Future Trunks (Cell Saga)
Aquaman,Gogeta
Aquaman,Gogeta (Super Saiyan)
Aquaman,Gogeta (Super Saiyan Blue)
Aquaman,Gohan (Beast)
Aquaman,Gohan (Potential Unleashed)
Aquaman,Gohan (SS2)
Aquaman,Gohan (Super Saiyan)
Aquaman,Gohan
Aquaman,Goku (Super Saiyan Blue Kaioken)
Aquaman,Goku
Aquaman,Goku (Mastered Ultra Instinct)
Aquaman,Goku (Saiyan Saga)
Aquaman,Goku (True Ultra Instinct)
Aquaman,Goku (Super Saiyan God)
Aquaman,Goku (Super Saiyan 2)
Aquaman,Goku (Ultra Instinct)
Aquaman,Goku (Super Saiyan Blue)
Aquaman,Goku (Super Saiyan 3)
Aquaman,Goku Black (Super Saiyan Rosé)
Aquaman,Goku Black
Aquaman,Goten (Super Saiyan)
Aquaman,Goten
Aquaman,Gotenks (Super Saiyan 3)
Aquaman,Gotenks (SS2)
Aquaman,Grand Priest
Aquaman,Jaco
Aquaman,Kami
Aquaman,Kid Buu
Aquaman,Kid Gohan
Aquaman,Kid Goku
Aquaman,King Vegeta
Aquaman,Krillin
Aquaman,Vegeta (Ascended Super Saiyan)
Aquaman,Vegeta (Unbound Ultra Ego)
Aquaman,Vegeta (Super Saiyan Blue Evolved)
Aquaman,Vegeta (Super Saiyan 2)
Aquaman,Vegeta (Super Saiyan Blue)
Aquaman,Vegeta (Hakai Energy)
Aquaman,Vegeta (Super Saiyan)
Aquaman,Vegeta
Aquaman,Vegeta (Super Saiyan God)
Aquaman,Vegito
Aquaman,Vegito (Super Saiyan)
Ares,Atom Smasher
Ares,Batman
Ares,Black Adam
Ares,Black Canary
Ares,Black Manta
Ares,Black Mask
Ares,Bloodsport
Ares,Captain Boomerang
Ares,Cassandra Cain
Ares,Cheetah
Ares,Cyborg
Ares,Cyclone
Ares,Dark Flash
Ares,Darkseid
Ares,Deadshot
Ares,Doctor Fate
Ares,Doctor Sivana
Ares,Doomsday
Ares,El Diablo
Ares,Enchantress
Ares,Envy
Ares,Faora
Ares,Freddy Freeman
Ares,General Zod
Ares,Gluttony
Ares,Green Lantern
Ares,Harley Quinn
Ares,Hawkman
Ares,Hespera
Ares,Huntress
Ares,Incubus
Ares,Joker
Ares,Jor-El
Ares,Judomaster
Ares,Karathen
Ares,Katana
Ares,Killer Croc
Ares,King Nereus
Ares,King Shark
Ares,Lex Luthor
Ares,Lust
Ares,Mera
Ares,Mister Zsasz
Ares,Nam-Ek
Ares,Nuidis Vulko
Ares,Ocean Master
Ares,Parademon
Ares,Peacemaker
Ares,Penthesileia
Ares,Philippus
Ares,Polka-Dot Man
Ares,Queen Atlanna
Ares,Queen Hippolyta
Ares,Ratcatcher
Ares,Rick Flag
Ares,Sabbac
Ares,Savant
Ares,Shazam
Ares,Slipknot
Ares,Sol Soria
Ares,Starro
Ares,Steppenwolf
Ares,Supergirl
Ares,Superman
Ares,T.D.K.
Ares,The Flash
Ares,Vigilante
Ares,White Dragon
Ares,Wonder Woman (Armor of Asteria)
Ares,Wrath
Ares,Zeus
Ares,A-Train
Ares,Billy Butcher
Ares,Billy Butcher (V24)
Ares,Billy Butchter (tumor)
Ares,Black Noir (replacement)
Ares,Black Noir
Ares,Cate Dunlap
Ares,Crimson Countess
Ares,Firecracker
Ares,Golden Boy
Ares,Homelander
Ares,Hughie Campbell (V24)
Ares,Lamplighter
Ares,Little Cricket
Ares,Marie Moreau
Ares,Mesmer
Ares,Mother's Milk
Ares,Naqib
Ares,Queen Maeve
Ares,Ryan Butcher
Ares,Sam Riordan
Ares,Shockwave
Ares,Sister Sage
Ares,Soldier Boy
Ares,Splinter
Ares,Starlight
Ares,Stormfront
Ares,Supe Terrorist
Ares,Tek Knight
Ares,The Deep
Ares,The Female
Ares,Translucent
Ares,Victoria Neuman
Ares,Webweaver
Ares,Zoe Neuman
Ares,Agatha Harkness
Ares,Abomination
Ares,Ajak
Ares,Ancient One (time stone)
Ares,Ancient One
Ares,Ant-Man
Ares,Arishem The Judge
Ares,Ayo
Ares,Baby Groot
Ares,Baron Mordo
Ares,Baron Zemo
Ares,Black Bolt (Earth 838)
Ares,Black Bolt
Ares,Black Panther
Ares,Black Panther
Ares,Black Widow
Ares,Black Widow
Ares,Bucky Barnes
Ares,Bullseye
Ares,Captain America
Ares,Captain America (Worthy)
Ares,Captain Carter (Earth 838)
Ares,Captain Marvel
Ares,Chitauri Footsoldier
Ares,Corvus Glaive
Ares,Crossbones
Ares,Cull Obsidian
Ares,Dar-Benn
Ares,Daredevil
Ares,Deathlok
Ares,Destroyer
Ares,Doctor Strange
Ares,Dormammu
Ares,Drax The Destroyer
Ares,Ebony Maw
Ares,Echo
Ares,Ego
Ares,Elektra
Ares,Eternity
Ares,Falcon
Ares,Fandral
Ares,Fat Thor
Ares,Fenris
Ares,Frigga
Ares,G'iah
Ares,Gamora
Ares,Gargantos
Ares,Ghost
Ares,Ghost Rider
Ares,Giant-Man
Ares,Gilgamesh
Ares,Gorr The God Butcher
Ares,Gravik
Ares,Groot
Ares,Hawkeye
Ares,Hawkeye
Ares,Heimdall
Ares,Hela
Ares,High Evolutionary
Ares,Hulk (Stark Gauntlet)
Ares,Hulk
Ares,Ikaris
Ares,Iron Fist
Ares,Iron Man
Ares,Iron Man (Mk 1)
Ares,Iron Man (Stark Gauntlet)
Ares,Iron Man (Hulkbuster)
Ares,Iron Monger
Ares,Iron Spider
Ares,Ironheart
Ares,Jemiah The Analyzer
Ares,Jessica Jones
Ares,Kaecilius
Ares,Kang the Conqueror
Ares,Killian
Ares,Killmonger
Ares,Kingo
Ares,Kingpin
Ares,Korath The Pursuer
Ares,Korg
Ares,Kro
Ares,Kurse
Ares,Kid Loki
Ares,Lady Loki
Ares,Leo Fitz
Ares,Leviathan
Ares,Loki
Ares,Loki (Mind Stone)
Ares,Loki (Keeper Of The Multiverse)
Ares,Loki (Variant L1130)
Ares,Loki (King of Asgard)
Ares,Luke Cage
Ares,M'baku
Ares,Makkari
Ares,Malekith (Reality Stone)
Ares,Malekith
Ares,Mandarin
Ares,Mantis
Ares,Mighty Thor
Ares,MODOK
Ares,Moon Knight
Ares,Mr. Fantastic (Earth 838)
Ares,Mr. Knight
Ares,Ms. America
Ares,Ms. Marvel
Ares,Mysterio
Ares,Namor
Ares,Nebula
Ares,Nick Fury
Ares,Nomad
Ares,Odin
Ares,Okoye
Ares,Outrider
Ares,Pepper Potts (Extremis)
Ares,Phastos
Ares,Photon
Ares,Proxima Midnight
Ares,Quake
Ares,Quicksilver
Ares,Red Guardian
Ares,Red Skull (Stonekeeper)
Ares,Red Skull
Ares,Rescue
Ares,Rocket Raccoon
Ares,Ronan The Accuser (Power Stone)
Ares,Ronan The Accuser
Ares,Ronin
Ares,Scarlet Witch
Ares,Sersi (uni-mind)
Ares,Sersi
Ares,Shang-Chi
Ares,She-Hulk
Ares,Shuri
Ares,Sif
Ares,Sinister Strange
Ares,Smart Hulk
Ares,Spectral Vision
Ares,Spider-Man
Ares,Star-Lord (Celestial Power)
Ares,Star-Lord
Ares,Stature
Ares,Surtur
Ares,Swole Groot
Ares,Talos The Untamed
Ares,Taskmaster
Ares,Teenage Groot
Ares,Thanos
Ares,Thanos (Infinity Gauntlet)
Ares,The Collector
Ares,The Executioner
Ares,The Grandmaster
Ares,The Great Protector
Ares,The Punisher
Ares,Thena
Ares,Thor (Pre-Ragnarok)
Ares,Thor (Awakened)
Ares,Thor
Ares,Ultron
Ares,Unworthy Thor
Ares,Valkyrie
Ares,Vision
Ares,Volstagg
Ares,Vulture
Ares,Wanda Maximoff (Pre-WandaVision)
Ares,War Machine
Ares,Warlock
Ares,Wasp
Ares,Whiplash
Ares,Whiplash (Mark II)
Ares,White Wolf
Ares,Winter Soldier
Ares,Wolverine
Ares,Wong
Ares,YellowJacket
Ares,Yondu
Ares,Zeus
Ares,Gogeta (Super Saiyan 4)
Ares,Goku (Super Saiyan 3)
Ares,Goku (Super Saiyan 2)
Ares,Goku (Super Saiyan 4)
Ares,Goku Jr.
Ares,Goten
Ares,Pan
Ares,Piccolo
Ares,Son Goku
Ares,Syn Shenron
Ares,Trunks
Ares,Uub
Ares,Android 16
Ares,Android 17
Ares,Android 18
Ares,Android 19
Ares,Aniraza
Ares,Arak
Ares,Bandages The Mummy
Ares,Bardock (Super Saiyan)
Ares,Bardock
Ares,Basil
Ares,Beerus
Ares,Belmod
Ares,Bergamo
Ares,Biarra
Ares,Bido
Ares,Bikal
Ares,Black Frieza
Ares,Bojack
Ares,Borareta
Ares,Botamo
Ares,Broly (Z)
Ares,Broly (Ikari)
Ares,Broly (Super Saiyan)
Ares,Broly
Ares,Bujin
Ares,Burter
Ares,Buu (Good)
Ares,Buu (Grand Supreme Kai)
Ares,Buuhan
Ares,Buutenks
Ares,Cabba (Super Saiyan)
Ares,Cabba (Super Saiyan 2)
Ares,Cabba
Ares,Dende
Ares,Dercori
Ares,Dodoria
Ares,Dore
Ares,Dr Gero
Ares,Dyspo (Super Maximum Light Speed)
Ares,Dyspo
Ares,Frieza
Ares,Frieza (First Form)
Ares,Frieza (Second Form)
Ares,Frieza (Third Form)
Ares,Fusion Zamasu
Ares,Future Trunks (Cell Saga)
Ares,Gogeta
Ares,Gogeta (Super Saiyan)
Ares,Gogeta (Super Saiyan Blue)
Ares,Gohan (Beast)
Ares,Gohan (Potential Unleashed)
Ares,Gohan (SS2)
Ares,Gohan (Super Saiyan)
Ares,Gohan
Ares,Goku (Super Saiyan Blue Kaioken)
Ares,Goku
Ares,Goku (Mastered Ultra Instinct)
Ares,Goku (Saiyan Saga)
Ares,Goku (True Ultra Instinct)
Ares,Goku (Super Saiyan God)
Ares,Goku (Super Saiyan 2)
Ares,Goku (Ultra Instinct)
Ares,Goku (Super Saiyan Blue)
Ares,Goku (Super Saiyan 3)
Ares,Goku Black (Super Saiyan Rosé)
Ares,Goku Black
Ares,Goten (Super Saiyan)
Ares,Goten
Ares,Gotenks (Super Saiyan 3)
Ares,Gotenks (SS2)
Ares,Grand Priest
Ares,Jaco
Ares,Kami
Ares,Kid Buu
Ares,Kid Gohan
Ares,Kid Goku
Ares,King Vegeta
Ares,Krillin
Ares,Vegeta (Ascended Super Saiyan)
Ares,Vegeta (Unbound Ultra Ego)
Ares,Vegeta (Super Saiyan Blue Evolved)
Ares,Vegeta (Super Saiyan 2)
Ares,Vegeta (Super Saiyan Blue)
Ares,Vegeta (Hakai Energy)
Ares,Vegeta (Super Saiyan)
Ares,Vegeta
Ares,Vegeta (Super Saiyan God)
Ares,Vegito
Ares,Vegito (Super Saiyan)
Atom Smasher,Batman
Atom Smasher,Black Adam
Atom Smasher,Black Canary
Atom Smasher,Black Manta
Atom Smasher,Black Mask
Atom Smasher,Bloodsport
Atom Smasher,Captain Boomerang
Atom Smasher,Cassandra Cain
Atom Smasher,Cheetah
Atom Smasher,Cyborg
Atom Smasher,Cyclone
Atom Smasher,Dark Flash
Atom Smasher,Darkseid
Atom Smasher,Deadshot
Atom Smasher,Doctor Fate
Atom Smasher,Doctor Sivana
Atom Smasher,Doomsday
Atom Smasher,El Diablo
Atom Smasher,Enchantress
Atom Smasher,Envy
Atom Smasher,Faora
Atom Smasher,Freddy Freeman
Atom Smasher,General Zod
Atom Smasher,Gluttony
Atom Smasher,Green Lantern
Atom Smasher,Harley Quinn
Atom Smasher,Hawkman
Atom Smasher,Hespera
Atom Smasher,Huntress
Atom Smasher,Incubus
Atom Smasher,Joker
Atom Smasher,Jor-El
Atom Smasher,Judomaster
Atom Smasher,Karathen
Atom Smasher,Katana
Atom Smasher,Killer Croc
Atom Smasher,King Nereus
Atom Smasher,King Shark
Atom Smasher,Lex Luthor
Atom Smasher,Lust
Atom Smasher,Mera
Atom Smasher,Mister Zsasz
Atom Smasher,Nam-Ek
Atom Smasher,Nuidis Vulko
Atom Smasher,Ocean Master
Atom Smasher,Parademon
Atom Smasher,Peacemaker
Atom Smasher,Penthesileia
Atom Smasher,Philippus
Atom Smasher,Polka-Dot Man
Atom Smasher,Queen Atlanna
Atom Smasher,Queen Hippolyta
Atom Smasher,Ratcatcher
Atom Smasher,Rick Flag
Atom Smasher,Sabbac
Atom Smasher,Savant
Atom Smasher,Shazam
Atom Smasher,Slipknot
Atom Smasher,Sol Soria
Atom Smasher,Starro
Atom Smasher,Steppenwolf
Atom Smasher,Supergirl
Atom Smasher,Superman
Atom Smasher,T.D.K.
Atom Smasher,The Flash
Atom Smasher,Vigilante
Atom Smasher,White Dragon
Atom Smasher,Wonder Woman (Armor of Asteria)
Atom Smasher,Wrath
Atom Smasher,Zeus
Atom Smasher,A-Train
Atom Smasher,Billy Butcher
Atom Smasher,Billy Butcher (V24)
Atom Smasher,Billy Butchter (tumor)
Atom Smasher,Black Noir (replacement)
Atom Smasher,Black Noir
Atom Smasher,Cate Dunlap
Atom Smasher,Crimson Countess
Atom Smasher,Firecracker
Atom Smasher,Golden Boy
Atom Smasher,Homelander
Atom Smasher,Hughie Campbell (V24)
Atom Smasher,Lamplighter
Atom Smasher,Little Cricket
Atom Smasher,Marie Moreau
Atom Smasher,Mesmer
Atom Smasher,Mother's Milk
Atom Smasher,Naqib
Atom Smasher,Queen Maeve
Atom Smasher,Ryan Butcher
Atom Smasher,Sam Riordan
Atom Smasher,Shockwave
Atom Smasher,Sister Sage
Atom Smasher,Soldier Boy
Atom Smasher,Splinter
Atom Smasher,Starlight
Atom Smasher,Stormfront
Atom Smasher,Supe Terrorist
Atom Smasher,Tek Knight
Atom Smasher,The Deep
Atom Smasher,The Female
Atom Smasher,Translucent
Atom Smasher,Victoria Neuman
Atom Smasher,Webweaver
Atom Smasher,Zoe Neuman
Atom Smasher,Agatha Harkness
Atom Smasher,Abomination
Atom Smasher,Ajak
Atom Smasher,Ancient One (time stone)
Atom Smasher,Ancient One
Atom Smasher,Ant-Man
Atom Smasher,Arishem The Judge
Atom Smasher,Ayo
Atom Smasher,Baby Groot
Atom Smasher,Baron Mordo
Atom Smasher,Baron Zemo
Atom Smasher,Black Bolt (Earth 838)
Atom Smasher,Black Bolt
Atom Smasher,Black Panther
Atom Smasher,Black Panther
Atom Smasher,Black Widow
Atom Smasher,Black Widow
Atom Smasher,Bucky Barnes
Atom Smasher,Bullseye
Atom Smasher,Captain America
Atom Smasher,Captain America (Worthy)
Atom Smasher,Captain Carter (Earth 838)
Atom Smasher,Captain Marvel
Atom Smasher,Chitauri Footsoldier
Atom Smasher,Corvus Glaive
Atom Smasher,Crossbones
Atom Smasher,Cull Obsidian
Atom Smasher,Dar-Benn
Atom Smasher,Daredevil
Atom Smasher,Deathlok
Atom Smasher,Destroyer
Atom Smasher,Doctor Strange
Atom Smasher,Dormammu
Atom Smasher,Drax The Destroyer
Atom Smasher,Ebony Maw
Atom Smasher,Echo
Atom Smasher,Ego
Atom Smasher,Elektra
Atom Smasher,Eternity
Atom Smasher,Falcon
Atom Smasher,Fandral
Atom Smasher,Fat Thor
Atom Smasher,Fenris
Atom Smasher,Frigga
Atom Smasher,G'iah
Atom Smasher,Gamora
Atom Smasher,Gargantos
Atom Smasher,Ghost
Atom Smasher,Ghost Rider
Atom Smasher,Giant-Man
Atom Smasher,Gilgamesh
Atom Smasher,Gorr The God Butcher
Atom Smasher,Gravik
Atom Smasher,Groot
Atom Smasher,Hawkeye
Atom Smasher,Hawkeye
Atom Smasher,Heimdall
Atom Smasher,Hela
Atom Smasher,High Evolutionary
Atom Smasher,Hulk (Stark Gauntlet)
Atom Smasher,Hulk
Atom Smasher,Ikaris
Atom Smasher,Iron Fist
Atom Smasher,Iron Man
Atom Smasher,Iron Man (Mk 1)
Atom Smasher,Iron Man (Stark Gauntlet)
Atom Smasher,Iron Man (Hulkbuster)
Atom Smasher,Iron Monger
Atom Smasher,Iron Spider
Atom Smasher,Ironheart
Atom Smasher,Jemiah The Analyzer
Atom Smasher,Jessica Jones
Atom Smasher,Kaecilius
Atom Smasher,Kang the Conqueror
Atom Smasher,Killian
Atom Smasher,Killmonger
Atom Smasher,Kingo
Atom Smasher,Kingpin
Atom Smasher,Korath The Pursuer
Atom Smasher,Korg
Atom Smasher,Kro
Atom Smasher,Kurse
Atom Smasher,Kid Loki
Atom Smasher,Lady Loki
Atom Smasher,Leo Fitz
Atom Smasher,Leviathan
Atom Smasher,Loki
Atom Smasher,Loki (Mind Stone)
Atom Smasher,Loki (Keeper Of The Multiverse)
Atom Smasher,Loki (Variant L1130)
Atom Smasher,Loki (King of Asgard)
Atom Smasher,Luke Cage
Atom Smasher,M'baku
Atom Smasher,Makkari
Atom Smasher,Malekith (Reality Stone)
Atom Smasher,Malekith
Atom Smasher,Mandarin
Atom Smasher,Mantis
Atom Smasher,Mighty Thor
Atom Smasher,MODOK
Atom Smasher,Moon Knight
Atom Smasher,Mr. Fantastic (Earth 838)
Atom Smasher,Mr. Knight
Atom Smasher,Ms. America
Atom Smasher,Ms. Marvel
Atom Smasher,Mysterio
Atom Smasher,Namor
Atom Smasher,Nebula
Atom Smasher,Nick Fury
Atom Smasher,Nomad
Atom Smasher,Odin
Atom Smasher,Okoye
Atom Smasher,Outrider
Atom Smasher,Pepper Potts (Extremis)
Atom Smasher,Phastos
Atom Smasher,Photon
Atom Smasher,Proxima Midnight
Atom Smasher,Quake
Atom Smasher,Quicksilver
Atom Smasher,Red Guardian
Atom Smasher,Red Skull (Stonekeeper)
Atom Smasher,Red Skull
Atom Smasher,Rescue
Atom Smasher,Rocket Raccoon
Atom Smasher,Ronan The Accuser (Power Stone)
Atom Smasher,Ronan The Accuser
Atom Smasher,Ronin
Atom Smasher,Scarlet Witch
Atom Smasher,Sersi (uni-mind)
Atom Smasher,Sersi
Atom Smasher,Shang-Chi
Atom Smasher,She-Hulk
Atom Smasher,Shuri
Atom Smasher,Sif
Atom Smasher,Sinister Strange
Atom Smasher,Smart Hulk
Atom Smasher,Spectral Vision
Atom Smasher,Spider-Man
Atom Smasher,Star-Lord (Celestial Power)
Atom Smasher,Star-Lord
Atom Smasher,Stature
Atom Smasher,Surtur
Atom Smasher,Swole Groot
Atom Smasher,Talos The Untamed
Atom Smasher,Taskmaster
Atom Smasher,Teenage Groot
Atom Smasher,Thanos
Atom Smasher,Thanos (Infinity Gauntlet)
Atom Smasher,The Collector
Atom Smasher,The Executioner
Atom Smasher,The Grandmaster
Atom Smasher,The Great Protector
Atom Smasher,The Punisher
Atom Smasher,Thena
Atom Smasher,Thor (Pre-Ragnarok)
Atom Smasher,Thor (Awakened)
Atom Smasher,Thor
Atom Smasher,Ultron
Atom Smasher,Unworthy Thor
Atom Smasher,Valkyrie
Atom Smasher,Vision
Atom Smasher,Volstagg
Atom Smasher,Vulture
Atom Smasher,Wanda Maximoff (Pre-WandaVision)
Atom Smasher,War Machine
