Heroe 1,Heroe 2,Resultado
Aquaman,Gorr the God Butcher,0
Aquaman,Gravik,0
Aquaman,Groot,0
Aquaman,Hawkeye,0
Aquaman,Hawkeye (Variant),0
Aquaman,Heimdall,0
Aquaman,Hela,0
Aquaman,High Evolutionary,0
Aquaman,Hulk (Stark Gauntlet),0
Aquaman,Hulk,0
Aquaman,Ikaris,0
Aquaman,Iron Fist,0
Aquaman,Iron Man,0
Aquaman,Iron Man (MK 1),0
Aquaman,Iron Man (Stark Gauntlet),0
Aquaman,Iron Man (Hulkbuster),0
Aquaman,Iron Monger,0
Aquaman,Iron Spider,0
Aquaman,Ironheart,0
Aquaman,Jemiah the Analyzer,0
Aquaman,Jessica Jones,0
Aquaman,Kaecilius,0
Aquaman,Kang the Conqueror,0
Aquaman,Killian,0
Aquaman,Killmonger,0
Aquaman,Kingo,0
Aquaman,Kingpin,0
Aquaman,Korath the Pursuer,0
Aquaman,Korg,0
Aquaman,Kro,0
Aquaman,Kurse,0
Aquaman,Kid Loki,0
Aquaman,Lady Loki,0
Aquaman,Leo Fitz,0
Aquaman,Leviathan,0
Aquaman,Loki,0
Aquaman,Loki (Mind Stone),0
Aquaman,Loki (Keeper of the Multiverse),0
Aquaman,Loki (Variant L1130),0
Aquaman,Loki (King of Asgard),0
Aquaman,Luke Cage,0
Aquaman,MBaku,0
Aquaman,Makkari,0
Aquaman,Malekith (Reality Stone),0
Aquaman,Malekith,0
Aquaman,Mandarin,0
Aquaman,Mantis,0
Aquaman,Mighty Thor,0
Aquaman,MODOK,0
Aquaman,Moon Knight,0
Aquaman,Mr. Fantastic (Earth-838),0
Aquaman,Mr. Knight,0
Aquaman,Ms. America,0
Aquaman,Ms. Marvel,0
Aquaman,Mysterio,0
Aquaman,Namor,0
Aquaman,Nebula,0
Aquaman,Nick Fury,0
Aquaman,Nomad,0
Aquaman,Odin,0
Aquaman,Okoye,0
Aquaman,Outrider,0
Aquaman,Pepper Potts (Extremis),0
Aquaman,Phastos,0
Aquaman,Photon,0
Aquaman,Proxima Midnight,0
Aquaman,Quake,0
Aquaman,Quicksilver,0
Aquaman,Red Guardian,0
Aquaman,Red Skull (Stonekeeper),0
Aquaman,Red Skull,0
Aquaman,Rescue,0
Aquaman,Rocket Raccoon,0
Aquaman,Ronan the Accuser (Power Stone),0
Aquaman,Ronan the Accuser,0
Aquaman,Ronin,0
Aquaman,Scarlet Witch,0
Aquaman,Sersi (Uni-Mind),0
Aquaman,Sersi,0
Aquaman,Shang-Chi,0
Aquaman,She-Hulk,0
Aquaman,Shuri,0
Aquaman,Sif,0
Aquaman,Sinister Strange,0
Aquaman,Smart Hulk,0
Aquaman,Spectral Vision,0
Aquaman,Spider-Man,0
Aquaman,Star-Lord (Celestial Power),0
Aquaman,Star-Lord,0
Aquaman,Stature,0
Aquaman,Surtur,0
Aquaman,Swole Groot,0
Aquaman,Talos the Untamed,0
Aquaman,Taskmaster,0
Aquaman,Teenage Groot,0
Aquaman,Thanos,0
Aquaman,Thanos (Infinity Gauntlet),0
Aquaman,The Collector,0
Aquaman,The Executioner,0
Aquaman,The Grandmaster,0
Aquaman,The Great Protector,0
Aquaman,The Punisher,0
Aquaman,Thena,0
Aquaman,Thor (Pre-Ragnarok),0
Aquaman,Thor (Awakened),0
Aquaman,Thor,0
Aquaman,Ultron,0
Aquaman,Unworthy Thor,0
Aquaman,Valkyrie,0
Aquaman,Vision,0
Aquaman,Vulture,0
Aquaman,Wanda Maximoff (Pre-Wandavision),0
Aquaman,War Machine,0
Aquaman,Warlock,0
Aquaman,Wasp,0
Aquaman,Whiplash,0
Aquaman,Whiplash Mark II,0
Aquaman,White Wolf,0
Aquaman,Winter Soldier,0
Aquaman,Wolverine,0
Aquaman,Wong,0
Aquaman,Yellowjacket,0
Aquaman,Yondu,0
Ares,Aquaman,0
Ares,Atom Smasher,0
Ares,Batman,0
Ares,Black Adam,1
Ares,Black Canary,0
Ares,Black Manta,0
Ares,Black Mask,0
Ares,Bloodsport,0
Ares,Captain Boomerang,0
Ares,Cassandra Cain,0
Ares,Cheetah,0
Ares,Cyborg,0
Ares,Cyclone,0
Ares,Dark Flash,0
Ares,Darkseid,0
Ares,Deadshot,0
Ares,Doctor Fate,0
Ares,Doctor Sivana,0
Ares,Doomsday,0
Ares,El Diablo,0
Ares,Enchantress,0
Ares,Envy,0
Ares,Faora,0
Ares,Freddy Freeman,0
Ares,General Zod,0
Ares,Gluttony,0
Ares,Green Lantern,0
Ares,Harley Quinn,0
Ares,Hawkman,0
Ares,Hespera,0
Ares,Huntress,0
Ares,Incubus,0
Ares,Joker,0
Ares,Jor-El,0
Ares,Judomaster,0
Ares,Karathen,0
Ares,Katana,0
Ares,Killer Croc,0
Ares,King Nereus,0
Ares,King Shark,0
Ares,Lex Luthor,0
Ares,Lust,0
Ares,Mera,0
Ares,Mister Zsasz,0
Ares,Nam-Ek,0
Ares,Nuidis Vulko,0
Ares,Ocean Master,0
Ares,Parademon,0
Ares,Peacemaker,0
Ares,Penthesileia,0
Ares,Philippus,0
Ares,Polka-Dot Man,0
Ares,Queen Atlanna,0
Ares,Queen Hippolyta,0
Ares,Ratcatcher,0
Ares,Rick Flag,0
Ares,Sabbac,0
Ares,Savant,0
Ares,Shazam,0
Ares,Slipknot,0
Ares,Sol Soria,0
Ares,Starro,0
Ares,Steppenwolf,0
Ares,Supergirl,0
Ares,Superman,0
Ares,T.D.K.,0
Ares,The Flash,0
Ares,Vigilante,0
Ares,White Dragon,0
Ares,Wonder Woman,0
Ares,Wrath,0
Ares,Zeus,0
Ares,Agatha Harkness,0
Ares,Abomination,0
Ares,Ajak,0
Ares,Ancient One (Time Stone),0
Ares,Ancient One,0
Ares,Ant-Man,0
Ares,Arishem the Judge,0
Ares,Ayo,0
Ares,Baby Groot,0
Ares,Baron Mordo,0
Ares,Baron Zemo,0
Ares,Black Bolt (Earth-838),0
Ares,Black Bolt,0
Ares,Black Panther,0
Ares,Black Panther (Variant),0
Ares,Black Widow,0
Ares,Black Widow (Variant),0
Ares,Bucky Barnes,0
Ares,Bullseye,0
Ares,Captain America,0
Ares,Captain America (Worthy),0
Ares,Captain Carter (Earth-838),0
Ares,Captain Marvel,0
Ares,Chitauri Footsoldier,0
Ares,Corvus Glaive,0
Ares,Crossbones,0
Ares,Cull Obsidian,0
Ares,Dar-Benn,0
Ares,Daredevil,0
Ares,Deathlok,0
Ares,Destroyer,0
Ares,Doctor Strange,0
Ares,Dormammu,0
Ares,Drax the Destroyer,0
Ares,Ebony Maw,0
Ares,Echo,0
Ares,Ego,0
Ares,Elektra,0
Ares,Eternity,0
Ares,Falcon,0
Ares,Fandral,0
Ares,Fat Thor,0
Ares,Fenris,0
Ares,Frigga,0
Ares,Giah,0
Ares,Gamora,0
Ares,Gargantos,0
Ares,Ghost,0
Ares,Ghost Rider,0
Ares,Giant-Man,0
Ares,Gilgamesh,0
Ares,Gorr the God Butcher,0
Ares,Gravik,0
Ares,Groot,0
Ares,Hawkeye,0
Ares,Hawkeye (Variant),0
Ares,Heimdall,0
Ares,Hela,0
Ares,High Evolutionary,0
Ares,Hulk (Stark Gauntlet),0
Ares,Hulk,0
Ares,Ikaris,0
Ares,Iron Fist,0
Ares,Iron Man,0
Ares,Iron Man (MK 1),0
Ares,Iron Man (Stark Gauntlet),0
Ares,Iron Man (Hulkbuster),0
Ares,Iron Monger,0
Ares,Iron Spider,0
Ares,Ironheart,0
Ares,Jemiah the Analyzer,0
Ares,Jessica Jones,0
Ares,Kaecilius,0
Ares,Kang the Conqueror,0
Ares,Killian,0
Ares,Killmonger,0
Ares,Kingo,0
Ares,Kingpin,0
Ares,Korath the Pursuer,0
Ares,Korg,0
Ares,Kro,0
Ares,Kurse,0
Ares,Kid Loki,0
Ares,Lady Loki,0
Ares,Leo Fitz,0
Ares,Leviathan,0
Ares,Loki,0
Ares,Loki (Mind Stone),0
Ares,Loki (Keeper of the Multiverse),0
Ares,Loki (Variant L1130),0
Ares,Loki (King of Asgard),0
Ares,Luke Cage,0
Ares,MBaku,0
Ares,Makkari,0
Ares,Malekith (Reality Stone),0
Ares,Malekith,0
Ares,Mandarin,0
Ares,Mantis,0
Ares,Mighty Thor,0
Ares,MODOK,0
Ares,Moon Knight,0
Ares,Mr. Fantastic (Earth-838),0
Ares,Mr. Knight,0
Ares,Ms. America,0
Ares,Ms. Marvel,0
Ares,Mysterio,0
Ares,Namor,0
Ares,Nebula,0
Ares,Nick Fury,0
Ares,Nomad,0
Ares,Odin,0
Ares,Okoye,0
Ares,Outrider,0
Ares,Pepper Potts (Extremis),0
Ares,Phastos,0
Ares,Photon,0
Ares,Proxima Midnight,0
Ares,Quake,0
Ares,Quicksilver,0
Ares,Red Guardian,0
Ares,Red Skull (Stonekeeper),0
Ares,Red Skull,0
Ares,Rescue,0
Ares,Rocket Raccoon,0
Ares,Ronan the Accuser (Power Stone),0
Ares,Ronan the Accuser,0
Ares,Ronin,0
Ares,Scarlet Witch,0
Ares,Sersi (Uni-Mind),0
Ares,Sersi,0
Ares,Shang-Chi,0
Ares,She-Hulk,0
Ares,Shuri,0
Ares,Sif,0
Ares,Sinister Strange,0
Ares,Smart Hulk,0
Ares,Spectral Vision,0
Ares,Spider-Man,0
Ares,Star-Lord (Celestial Power),0
Ares,Star-Lord,0
Ares,Stature,0
Ares,Surtur,0
Ares,Swole Groot,0
Ares,Talos the Untamed,0
Ares,Taskmaster,0
Ares,Teenage Groot,0
Ares,Thanos,0
Ares,Thanos (Infinity Gauntlet),0
Ares,The Collector,0
Ares,The Executioner,0
Ares,The Grandmaster,0
Ares,The Great Protector,0
Ares,The Punisher,0
Ares,Thena,0
Ares,Thor (Pre-Ragnarok),0
Ares,Thor (Awakened),0
Ares,Thor,0
Ares,Ultron,0
Ares,Unworthy Thor,0
Ares,Valkyrie,0
Ares,Vision,0
Ares,Vulture,0
Ares,Wanda Maximoff (Pre-Wandavision),0
Ares,War Machine,0
Ares,Warlock,0
Ares,Wasp,0
Ares,Whiplash,0
Ares,Whiplash Mark II,0
Ares,White Wolf,0
Ares,Winter Soldier,0
Ares,Wolverine,0
Ares,Wong,0
Ares,Yellowjacket,0
Ares,Yondu,0
Atom Smasher,Aquaman,1
Atom Smasher,Ares,1
Atom Smasher,Batman,1
Atom Smasher,Black Adam,1
Atom Smasher,Black Canary,1
Atom Smasher,Black Manta,0
Atom Smasher,Black Mask,0
Atom Smasher,Bloodsport,0
Atom Smasher,Captain Boomerang,0
Atom Smasher,Cassandra Cain,0
Atom Smasher,Cheetah,0
Atom Smasher,Cyborg,0
Atom Smasher,Cyclone,0
Atom Smasher,Dark Flash,0
Atom Smasher,Darkseid,0
Atom Smasher,Deadshot,0
Atom Smasher,Doctor Fate,0
Atom Smasher,Doctor Sivana,0
Atom Smasher,Doomsday,0
Atom Smasher,El Diablo,0
Atom Smasher,Enchantress,0
Atom Smasher,Envy,0
Atom Smasher,Faora,0
Atom Smasher,Freddy Freeman,0
Atom Smasher,General Zod,0
Atom Smasher,Gluttony,0
Atom Smasher,Green Lantern,0
Atom Smasher,Harley Quinn,0
Atom Smasher,Hawkman,0
Atom Smasher,Hespera,0
Atom Smasher,Huntress,0
Atom Smasher,Incubus,0
Atom Smasher,Joker,0
Atom Smasher,Jor-El,0
Atom Smasher,Judomaster,0
Atom Smasher,Karathen,0
Atom Smasher,Katana,0
Atom Smasher,Killer Croc,0
Atom Smasher,King Nereus,0
Atom Smasher,King Shark,0
Atom Smasher,Lex Luthor,0
Atom Smasher,Lust,0
Atom Smasher,Mera,0
Atom Smasher,Mister Zsasz,0
Atom Smasher,Nam-Ek,0
Atom Smasher,Nuidis Vulko,0
Atom Smasher,Ocean Master,0
Atom Smasher,Parademon,0
Atom Smasher,Peacemaker,0
Atom Smasher,Penthesileia,0
Atom Smasher,Philippus,0
Atom Smasher,Polka-Dot Man,0
Atom Smasher,Queen Atlanna,0
Atom Smasher,Queen Hippolyta,0
Atom Smasher,Ratcatcher,0
Atom Smasher,Rick Flag,0
Atom Smasher,Sabbac,0
Atom Smasher,Savant,0
Atom Smasher,Shazam,0
Atom Smasher,Slipknot,0
Atom Smasher,Sol Soria,0
Atom Smasher,Starro,0
Atom Smasher,Steppenwolf,0
Atom Smasher,Supergirl,0
Atom Smasher,Superman,0
Atom Smasher,T.D.K.,0
Atom Smasher,The Flash,0
Atom Smasher,Vigilante,0
Atom Smasher,White Dragon,0
Atom Smasher,Wonder Woman,0
Atom Smasher,Wrath,0
Atom Smasher,Zeus,0
Atom Smasher,Agatha Harkness,0
Atom Smasher,Abomination,0
Atom Smasher,Ajak,0
Atom Smasher,Ancient One (Time Stone),0
Atom Smasher,Ancient One,0
Atom Smasher,Ant-Man,0
Atom Smasher,Arishem the Judge,0
Atom Smasher,Ayo,0
Atom Smasher,Baby Groot,0
Atom Smasher,Baron Mordo,0
Atom Smasher,Baron Zemo,0
Atom Smasher,Black Bolt (Earth-838),0
Atom Smasher,Black Bolt,0
Atom Smasher,Black Panther,0
Atom Smasher,Black Panther (Variant),0
Atom Smasher,Black Widow,0
Atom Smasher,Black Widow (Variant),0
Atom Smasher,Bucky Barnes,0
Atom Smasher,Bullseye,0
Atom Smasher,Captain America,0
Atom Smasher,Captain America (Worthy),0
Atom Smasher,Captain Carter (Earth-838),0
Atom Smasher,Captain Marvel,0
Atom Smasher,Chitauri Footsoldier,0
Atom Smasher,Corvus Glaive,0
Atom Smasher,Crossbones,0
Atom Smasher,Cull Obsidian,0
Atom Smasher,Dar-Benn,0
Atom Smasher,Daredevil,0
Atom Smasher,Deathlok,0
Atom Smasher,Destroyer,0
Atom Smasher,Doctor Strange,0
Atom Smasher,Dormammu,0
Atom Smasher,Drax the Destroyer,0
Atom Smasher,Ebony Maw,0
Atom Smasher,Echo,0
Atom Smasher,Ego,0
Atom Smasher,Elektra,0
Atom Smasher,Eternity,0
Atom Smasher,Falcon,0
Atom Smasher,Fandral,0
Atom Smasher,Fat Thor,0
Atom Smasher,Fenris,0
Atom Smasher,Frigga,0
Atom Smasher,Giah,0
Atom Smasher,Gamora,0
Atom Smasher,Gargantos,0
Atom Smasher,Ghost,0
Atom Smasher,Ghost Rider,0
Atom Smasher,Giant-Man,0
Atom Smasher,Gilgamesh,0
Atom Smasher,Gorr the God Butcher,0
Atom Smasher,Gravik,0
Atom Smasher,Groot,0
Atom Smasher,Hawkeye,0
Atom Smasher,Hawkeye (Variant),0
Atom Smasher,Heimdall,0
Atom Smasher,Hela,0
Atom Smasher,High Evolutionary,0
Atom Smasher,Hulk (Stark Gauntlet),0
Atom Smasher,Hulk,0
Atom Smasher,Ikaris,0
Atom Smasher,Iron Fist,0
Atom Smasher,Iron Man,0
Atom Smasher,Iron Man (MK 1),0
Atom Smasher,Iron Man (Stark Gauntlet),0
Atom Smasher,Iron Man (Hulkbuster),0
Atom Smasher,Iron Monger,0
Atom Smasher,Iron Spider,0
Atom Smasher,Ironheart,0
Atom Smasher,Jemiah the Analyzer,0
Atom Smasher,Jessica Jones,0
Atom Smasher,Kaecilius,0
Atom Smasher,Kang the Conqueror,0
Atom Smasher,Killian,0
Atom Smasher,Killmonger,0
Atom Smasher,Kingo,0
Atom Smasher,Kingpin,0
Atom Smasher,Korath the Pursuer,0
Atom Smasher,Korg,0
Atom Smasher,Kro,0
Atom Smasher,Kurse,0
Atom Smasher,Kid Loki,0
Atom Smasher,Lady Loki,0
Atom Smasher,Leo Fitz,0
Atom Smasher,Leviathan,0
Atom Smasher,Loki,0
Atom Smasher,Loki (Mind Stone),0
Atom Smasher,Loki (Keeper of the Multiverse),0
Atom Smasher,Loki (Variant L1130),0
Atom Smasher,Loki (King of Asgard),0
Atom Smasher,Luke Cage,0
Atom Smasher,MBaku,0
Atom Smasher,Makkari,0
Atom Smasher,Malekith (Reality Stone),0
Atom Smasher,Malekith,0
Atom Smasher,Mandarin,0
Atom Smasher,Mantis,0
Atom Smasher,Mighty Thor,0
Atom Smasher,MODOK,0
Atom Smasher,Moon Knight,0
Atom Smasher,Mr. Fantastic (Earth-838),0
Atom Smasher,Mr. Knight,0
Atom Smasher,Ms. America,0
Atom Smasher,Ms. Marvel,0
Atom Smasher,Mysterio,0
Atom Smasher,Namor,0
Atom Smasher,Nebula,0
Atom Smasher,Nick Fury,0
Atom Smasher,Nomad,0
Atom Smasher,Odin,0
Atom Smasher,Okoye,0
Atom Smasher,Outrider,0
Atom Smasher,Pepper Potts (Extremis),0
Atom Smasher,Phastos,0
Atom Smasher,Photon,0
Atom Smasher,Proxima Midnight,0
Atom Smasher,Quake,0
Atom Smasher,Quicksilver,0
Atom Smasher,Red Guardian,0
Atom Smasher,Red Skull (Stonekeeper),0
Atom Smasher,Red Skull,0
Atom Smasher,Rescue,0
Atom Smasher,Rocket Raccoon,0
Atom Smasher,Ronan the Accuser (Power Stone),0
Atom Smasher,Ronan the Accuser,0
Atom Smasher,Ronin,0
Atom Smasher,Scarlet Witch,0
Atom Smasher,Sersi (Uni-Mind),0
Atom Smasher,Sersi,0
Atom Smasher,Shang-Chi,0
Atom Smasher,She-Hulk,0
Atom Smasher,Shuri,0
Atom Smasher,Sif,0
Atom Smasher,Sinister Strange,0
Atom Smasher,Smart Hulk,0
Atom Smasher,Spectral Vision,0
Atom Smasher,Spider-Man,0
Atom Smasher,Star-Lord (Celestial Power),0
Atom Smasher,Star-Lord,0
Atom Smasher,Stature,0
Atom Smasher,Surtur,0
Atom Smasher,Swole Groot,0
Atom Smasher,Talos the Untamed,0
Atom Smasher,Taskmaster,0
Atom Smasher,Teenage Groot,0
Atom Smasher,Thanos,0
Atom Smasher,Thanos (Infinity Gauntlet),0
Atom Smasher,The Collector,0
Atom Smasher,The Executioner,0
Atom Smasher,The Grandmaster,0
Atom Smasher,The Great Protector,0
Atom Smasher,The Punisher,0
Atom Smasher,Thena,0
Atom Smasher,Thor (Pre-Ragnarok),0
Atom Smasher,Thor (Awakened),0
Atom Smasher,Thor,0
Atom Smasher,Ultron,0
Atom Smasher,Unworthy Thor,0
Atom Smasher,Valkyrie,0
Atom Smasher,Vision,0
Atom Smasher,Vulture,0
Atom Smasher,Wanda Maximoff (Pre-Wandavision),0
Atom Smasher,War Machine,0
Atom Smasher,Warlock,0
Atom Smasher,Wasp,0
Atom Smasher,Whiplash,0
Atom Smasher,Whiplash Mark II,0
Atom Smasher,White Wolf,0
Atom Smasher,Winter Soldier,0
Atom Smasher,Wolverine,0
Atom Smasher,Wong,0
Atom Smasher,Yellowjacket,0
Atom Smasher,Yondu,0
Batman,Aquaman,0
Batman,Ares,1
Batman,Atom Smasher,0
Batman,Black Adam,1
Batman,Black Canary,0
Batman,Black Manta,0
Batman,Black Mask,0
Batman,Bloodsport,0
Batman,Captain Boomerang,0
Batman,Cassandra Cain,0
Batman,Cheetah,0
Batman,Cyborg,0
Batman,Cyclone,0
Batman,Dark Flash,0
Batman,Darkseid,0
Batman,Deadshot,0
Batman,Doctor Fate,0
Batman,Doctor Sivana,0
Batman,Doomsday,0
Batman,El Diablo,0
Batman,Enchantress,0
Batman,Envy,0
Batman,Faora,0
Batman,Freddy Freeman,0
Batman,General Zod,0
Batman,Gluttony,0
Batman,Green Lantern,0
Batman,Harley Quinn,0
Batman,Hawkman,0
Batman,Hespera,0
Batman,Huntress,0
Batman,Incubus,0
Batman,Joker,0
Batman,Jor-El,0
Batman,Judomaster,0
Batman,Karathen,0
Batman,Katana,0
Batman,Killer Croc,0
Batman,King Nereus,0
Batman,King Shark,0
Batman,Lex Luthor,0
Batman,Lust,0
Batman,Mera,0
Batman,Mister Zsasz,0
Batman,Nam-Ek,0
Batman,Nuidis Vulko,0
Batman,Ocean Master,0
Batman,Parademon,0
Batman,Peacemaker,0
Batman,Penthesileia,0
Batman,Philippus,0
Batman,Polka-Dot Man,0
Batman,Queen Atlanna,0
Batman,Queen Hippolyta,0
Batman,Ratcatcher,0
Batman,Rick Flag,0
Batman,Sabbac,0
Batman,Savant,0
Batman,Shazam,0
Batman,Slipknot,0
Batman,Sol Soria,0
Batman,Starro,0
Batman,Steppenwolf,0
Batman,Supergirl,0
Batman,Superman,0
Batman,T.D.K.,0
Batman,The Flash,0
Batman,Vigilante,0
Batman,White Dragon,0
Batman,Wonder Woman,0
Batman,Wrath,0
Batman,Zeus,0
Batman,Agatha Harkness,0
Batman,Abomination,0
Batman,Ajak,0
Batman,Ancient One (Time Stone),0
Batman,Ancient One,0
Batman,Ant-Man,0
Batman,Arishem the Judge,0
Batman,Ayo,0
Batman,Baby Groot,0
Batman,Baron Mordo,0
Batman,Baron Zemo,0
Batman,Black Bolt (Earth-838),0
Batman,Black Bolt,0
Batman,Black Panther,0
Batman,Black Panther (Variant),0
Batman,Black Widow,0
Batman,Black Widow (Variant),0
Batman,Bucky Barnes,0
Batman,Bullseye,0
Batman,Captain America,0
Batman,Captain America (Worthy),0
Batman,Captain Carter (Earth-838),0
Batman,Captain Marvel,0
Batman,Chitauri Footsoldier,0
Batman,Corvus Glaive,0
Batman,Crossbones,0
Batman,Cull Obsidian,0
Batman,Dar-Benn,0
Batman,Daredevil,0
Batman,Deathlok,0
Batman,Destroyer,0
Batman,Doctor Strange,0
Batman,Dormammu,0
Batman,Drax the Destroyer,0
Batman,Ebony Maw,0
Batman,Echo,0
Batman,Ego,0
Batman,Elektra,0
Batman,Eternity,0
Batman,Falcon,0
Batman,Fandral,0
Batman,Fat Thor,0
Batman,Fenris,0
Batman,Frigga,0
Batman,Giah,0
Batman,Gamora,0
Batman,Gargantos,0
Batman,Ghost,0
Batman,Ghost Rider,0
Batman,Giant-Man,0
Batman,Gilgamesh,0
Batman,Gorr the God Butcher,0
Batman,Gravik,0
Batman,Groot,0
Batman,Hawkeye,0
Batman,Hawkeye (Variant),0
Batman,Heimdall,0
Batman,Hela,0
Batman,High Evolutionary,0
Batman,Hulk (Stark Gauntlet),0
Batman,Hulk,0
Batman,Ikaris,0
Batman,Iron Fist,0
Batman,Iron Man,0
Batman,Iron Man (MK 1),0
Batman,Iron Man (Stark Gauntlet),0
Batman,Iron Man (Hulkbuster),0
Batman,Iron Monger,0
Batman,Iron Spider,0
Batman,Ironheart,0
Batman,Jemiah the Analyzer,0
Batman,Jessica Jones,0
Batman,Kaecilius,0
Batman,Kang the Conqueror,0
Batman,Killian,0
Batman,Killmonger,0
Batman,Kingo,0
Batman,Kingpin,0
Batman,Korath the Pursuer,0
Batman,Korg,0
Batman,Kro,0
Batman,Kurse,0
Batman,Kid Loki,0
Batman,Lady Loki,0
Batman,Leo Fitz,0
Batman,Leviathan,0
Batman,Loki,0
Batman,Loki (Mind Stone),0
Batman,Loki (Keeper of the Multiverse),0
Batman,Loki (Variant L1130),0
Batman,Loki (King of Asgard),0
Batman,Luke Cage,0
Batman,MBaku,0
Batman,Makkari,0
Batman,Malekith (Reality Stone),0
Batman,Malekith,0
Batman,Mandarin,0
Batman,Mantis,0
Batman,Mighty Thor,0
Batman,MODOK,0
Batman,Moon Knight,0
Batman,Mr. Fantastic (Earth-838),0
Batman,Mr. Knight,0
Batman,Ms. America,0
Batman,Ms. Marvel,0
Batman,Mysterio,0
Batman,Namor,0
Batman,Nebula,0
Batman,Nick Fury,0
Batman,Nomad,0
Batman,Odin,0
Batman,Okoye,0
Batman,Outrider,0
Batman,Pepper Potts (Extremis),0
Batman,Phastos,0
Batman,Photon,0
Batman,Proxima Midnight,0
Batman,Quake,0
Batman,Quicksilver,0
Batman,Red Guardian,0
Batman,Red Skull (Stonekeeper),0
Batman,Red Skull,0
Batman,Rescue,0
Batman,Rocket Raccoon,0
Batman,Ronan the Accuser (Power Stone),0
Batman,Ronan the Accuser,0
Batman,Ronin,0
Batman,Scarlet Witch,0
Batman,Sersi (Uni-Mind),0
Batman,Sersi,0
Batman,Shang-Chi,0
Batman,She-Hulk,0
Batman,Shuri,0
Batman,Sif,0
Batman,Sinister Strange,0
Batman,Smart Hulk,0
Batman,Spectral Vision,0
Batman,Spider-Man,0
Batman,Star-Lord (Celestial Power),0
Batman,Star-Lord,0
Batman,Stature,0
Batman,Surtur,0
Batman,Swole Groot,0
Batman,Talos the Untamed,0
