id,name,description,modified,comics_available,series_available,stories_available,events_available,event_available,thumbnail
1010674,Anita Blake,,2004-04-14T00:00:00-0400,9,1,49,49,0,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0038fa14452.jpg
1009346,Anne Marie Hoag,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009154,Annihilus,,2013-11-20T17:06:36-0500,66,31,83,83,1,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/528d31f20a2f6.jpg
1011301,Anole,,1969-12-31T19:00:00-0500,6,5,6,6,0,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002e635ddd9.jpg
1010802,Ant-Man (Eric O'Grady),,2016-03-07T14:35:42-0500,45,14,44,44,7,http://i.annihil.us/u/prod/marvel/i/mg/9/c0/53176aa9df48d.jpg
1009155,Ant-Man (Hank Pym),,2021-08-05T15:11:25-0400,43,29,46,46,2,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010801,Ant-Man (Scott Lang),,2017-01-31T11:03:40-0500,138,60,161,161,2,http://i.annihil.us/u/prod/marvel/i/mg/e/20/52696868356a0.jpg
1011208,Anthem,,1969-12-31T19:00:00-0500,11,2,20,20,1,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009156,Apocalypse,,2014-05-28T12:41:41-0400,135,63,136,136,6,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/526166076a1d0.jpg
1011253,Apocalypse (Ultimate),,1969-12-31T19:00:00-0500,3,1,6,6,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010866,Aqueduct,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c0035b3630cd.jpg
1010773,Arachne,,2013-10-24T13:07:59-0400,6,2,8,8,1,http://i.annihil.us/u/prod/marvel/i/mg/b/70/5269526591794.jpg
1017438,Araña,,2016-03-07T14:41:37-0500,27,10,25,25,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009158,Arcade,,1969-12-31T19:00:00-0500,35,25,35,35,2,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0042091ab69.jpg
1010686,Arcana,,1969-12-31T19:00:00-0500,2,2,1,1,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009159,Archangel,,2013-10-18T12:48:24-0400,563,140,624,624,19,http://i.annihil.us/u/prod/marvel/i/mg/8/03/526165ed93180.jpg
1009160,Arclight,,1969-12-31T19:00:00-0500,14,5,14,14,3,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c0042067fd8b.jpg
1010784,Ares,,2014-04-29T14:50:59-0400,64,31,75,75,5,http://i.annihil.us/u/prod/marvel/i/mg/c/10/535ff3daea603.jpg
1011275,Argent,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011012,Armadillo,,1969-12-31T19:00:00-0500,1,1,2,2,0,http://i.annihil.us/u/prod/marvel/i/mg/2/40/4c0032754da02.jpg
1011298,Armor (Hisako Ichiki),,2012-03-07T17:26:33-0500,31,13,31,31,0,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002e6cbf990.jpg
1010827,Armory,,1969-12-31T19:00:00-0500,1,1,2,2,1,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009740,Arnim Zola,"The frail, dwarfish Arnim Zola was born in 1930s Switzerland where he became the world's leading biochemist and genetic engineer.",2012-03-20T12:33:28-0400,23,10,25,25,2,http://i.annihil.us/u/prod/marvel/i/mg/8/b0/4c00393a4cb7c.jpg
1010748,Arsenic,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4c00359a2be7b.jpg
1009161,Artiee,,2011-10-27T09:59:16-0400,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010718,Asgardian,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009162,Askew-Tronics,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010835,Asylum,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010336,Atlas (Team),,1969-12-31T19:00:00-0500,8,5,6,6,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011758,Attuma,"Attuma was born into the tribe of Homo mermanus who eschewed civilization to live as nomadic barbarians. For some unrecorded reason, Attuma was endowed with strength far surpassing that of his people.",2021-08-27T21:46:12-0400,49,23,55,55,1,http://i.annihil.us/u/prod/marvel/i/mg/9/90/4ce5a862a6c48.jpg
1009163,Aurora,,2011-05-10T15:56:51-0400,84,18,96,96,4,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c004203f1072.jpg
1009164,Avalanche,,2010-11-05T14:30:34-0400,47,20,54,54,7,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c0042010d383.jpg
1009165,Avengers,"Earth's Mightiest Heroes joined forces to take on threats that were too big for any one hero to tackle. With a roster that has included Captain America, Iron Man, Ant-Man, Hulk, Thor, Wasp and dozens more over the years, the Avengers have come to be regarded as Earth's No. 1 team.",2020-07-21T10:29:09-0400,2266,701,3100,3100,32,http://i.annihil.us/u/prod/marvel/i/mg/9/20/5102c774ebae7.jpg
1015239,Avengers (Ultimate),,2012-07-10T19:18:28-0400,39,11,33,33,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011766,Azazel (Mutant),"A mutant from biblical times, Azazel is the ruler of the Neyaphem and claims that the Earth and everything on it belongs to him.",2011-06-09T11:04:52-0400,7,5,8,8,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011456,Balder,,2021-08-13T00:06:18-0400,100,29,124,124,3,http://i.annihil.us/u/prod/marvel/i/mg/b/f0/4ce5a7c2814ba.gif
1009168,Banshee,,2013-11-01T16:27:08-0400,189,54,212,212,10,http://i.annihil.us/u/prod/marvel/i/mg/b/03/52740e4619f54.jpg
1009596,Banshee (Theresa Rourke),"The daughter of former X-Men member Sean Cassidy, a.k.a. Banshee, and Maeve Rourke, Theresa Rourke was raised by her first cousin once removed, mutant terrorist Thomas Cassidy, a.k.a. Black Tom.",2011-03-23T17:37:27-0400,156,32,178,178,6,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4ce5a1a50e56b.jpg
1011778,Baron Mordo (Karl Mordo),"Born in 1921, Karl Mordo was the son of Nikolai Mordo.  He vowed that, as the second Baron Mordo, he would achieve his father’s hopes and more.",2021-08-12T22:48:49-0400,24,14,24,24,1,http://i.annihil.us/u/prod/marvel/i/mg/f/90/4ce5a86dba8a8.jpg
1009169,Baron Strucker,,2012-03-20T12:30:55-0400,48,21,55,55,1,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c0041fb5a90d.jpg
1009170,Baron Zemo (Heinrich Zemo),,2017-08-24T12:46:19-0400,38,24,40,40,1,http://i.annihil.us/u/prod/marvel/i/mg/9/60/4c0041f84c9fe.jpg
1010906,Baron Zemo (Helmut Zemo),,2011-02-24T13:21:20-0500,36,18,38,38,0,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035890fb0a.jpg
1011137,Baroness S'Bak,,1969-12-31T19:00:00-0500,1,1,1,1,1,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011354,Barracuda,,1969-12-31T19:00:00-0500,4,3,5,5,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009550,Bart Rozum,,1969-12-31T19:00:00-0500,2,1,2,2,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009171,Bastion,,2013-10-24T13:07:45-0400,37,20,37,37,2,http://i.annihil.us/u/prod/marvel/i/mg/d/80/52695253215f4.jpg
1009172,Batroc the Leaper,,2011-03-03T11:45:12-0500,31,16,37,37,0,http://i.annihil.us/u/prod/marvel/i/mg/c/80/4ce59eb840da5.gif
1009173,Battering Ram,,1969-12-31T19:00:00-0500,2,2,2,2,0,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708.gif
1011785,Battlestar,Lamar Hoskins was once a wrestler who was given superhuman strength by the Power Broker.,2021-08-12T23:47:13-0400,9,4,16,16,1,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009174,Beak,,2011-06-01T16:04:59-0400,17,5,18,18,1,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c0040b8329ad.jpg
1009175,Beast,,2014-01-13T14:48:32-0500,835,222,929,929,30,http://i.annihil.us/u/prod/marvel/i/mg/2/80/511a79a0451a3.jpg
1010909,Beast (Earth-311),,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035813dc4c.jpg
1010908,Beast (Ultimate),,2014-03-05T13:19:55-0500,49,10,90,90,0,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/53176a9be110c.jpg
1009176,Becatron,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009177,Bedlam,,1969-12-31T19:00:00-0500,8,6,7,7,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009178,Beef,,1969-12-31T19:00:00-0500,1,1,1,1,0,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708.gif
1009179,Beetle (Abner Jenkins),,1969-12-31T19:00:00-0500,20,12,26,26,2,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011793,Belasco,"Only the blackest of hearts would dare delve into the dark magic of the Elder Gods, but 13th Century sorcerer Belasco was of just such a heart.",2021-08-27T18:00:45-0400,2,1,4,4,0,http://i.annihil.us/u/prod/marvel/i/mg/a/20/4ce5a878b487c.jpg
1009329,Ben Grimm,,2011-03-18T12:27:31-0400,48,20,69,69,1,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009489,Ben Parker,,1969-12-31T19:00:00-0500,21,10,25,25,0,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4c003d00c8ed9.jpg
1011346,Ben Reilly,"Ben Reilly was the most genetically stable of the many clones of Spider-Man created by Professor Miles Warren, the Jackal.",1969-12-31T19:00:00-0500,25,11,26,26,0,http://i.annihil.us/u/prod/marvel/i/mg/2/20/4ce5a6abaea69.jpg
1010782,Ben Urich,Ben Urich is a reporter for the Daily Bugle who has many ties to the city's superhero community.,1969-12-31T19:00:00-0500,55,29,60,60,4,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c00373d10e5e.jpg
1010829,Bengal,,2013-10-24T13:01:00-0400,9,3,10,10,3,http://i.annihil.us/u/prod/marvel/i/mg/3/70/5269523ee6c03.jpg
1009180,Beta-Ray Bill,,2013-10-17T14:41:43-0400,55,27,60,60,3,http://i.annihil.us/u/prod/marvel/i/mg/3/90/52602f3e88d25.jpg
1011907,Bethany Cabe,"Former CEO, bodyguard, and love interest of Stark Enterprises and Tony Stark.",2021-08-27T18:12:40-0400,24,4,42,42,0,http://i.annihil.us/u/prod/marvel/i/mg/f/40/4ce5a8b16ee4b.jpg
1010325,Betty Brant,,1969-12-31T19:00:00-0500,27,15,30,30,1,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4c7c644f453fb.jpg
1009548,Betty Ross,,2011-10-31T15:42:18-0400,70,18,118,118,1,http://i.annihil.us/u/prod/marvel/i/mg/2/b0/4ce5a12071562.jpg
1011138,Beyonder,,2013-11-20T17:06:32-0500,26,14,25,25,2,http://i.annihil.us/u/prod/marvel/i/mg/7/10/528d31df87c49.jpg
1011296,Bi-Beast,,2011-05-24T16:45:33-0400,0,0,2,2,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010843,Big Bertha,,1969-12-31T19:00:00-0500,7,4,7,7,0,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/4c0035cfca8b6.jpg
1009181,Big Wheel,,2012-12-27T15:37:56-0500,2,2,2,2,0,http://i.annihil.us/u/prod/marvel/i/mg/3/00/4c0040b26877d.jpg
1011262,Bill Hollister,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009182,Bishop,,2013-10-23T12:43:10-0400,320,74,401,401,8,http://i.annihil.us/u/prod/marvel/i/mg/3/70/52602f4b42d98.jpg
1011224,Bishop (Ultimate),,1969-12-31T19:00:00-0500,1,1,1,1,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009183,Black Bird,,1969-12-31T19:00:00-0500,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009184,Black Bolt,,2013-10-24T14:39:01-0400,163,73,176,176,10,http://i.annihil.us/u/prod/marvel/i/mg/1/20/52696929dc721.jpg
1017330,Black Bolt (Marvel War of Heroes),,2013-09-18T11:01:06-0400,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/5239c021b3bfc.jpg
1009185,Black Cat,,2016-03-07T10:00:52-0500,247,89,275,275,5,http://i.annihil.us/u/prod/marvel/i/mg/e/03/526952357d91c.jpg
1010910,Black Cat (Ultimate),,1969-12-31T19:00:00-0500,5,2,5,5,0,http://i.annihil.us/u/prod/marvel/i/mg/5/80/4c00357da502e.jpg
1010859,Black Crow,,1969-12-31T19:00:00-0500,1,1,2,2,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011809,Black Knight (Dane Whitman),"Nephew of the villainous Black Knight that went by the name of Nathan Garrett, Dane was summoned by his uncle when he was mortally wounded following a battle with Iron Man.",2021-08-04T12:06:58-0400,85,25,86,86,1,http://i.annihil.us/u/prod/marvel/i/mg/c/d0/4ce5a883e8df0.gif
1009186,Black Knight (Sir Percy of Scandia),,1969-12-31T19:00:00-0500,107,58,107,107,3,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59ed1590a7.jpg
1009187,Black Panther,,2018-06-19T16:39:46-0400,763,258,984,984,17,http://i.annihil.us/u/prod/marvel/i/mg/6/60/5261a80a67e7d.jpg
1017838,Black Panther (Shuri),,2021-08-05T15:15:10-0400,62,22,65,65,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011130,Black Panther (Ultimate),,2014-03-05T13:19:46-0500,10,5,13,13,0,http://i.annihil.us/u/prod/marvel/i/mg/6/20/53176a7b3a4e4.jpg
1010356,Black Queen,,1969-12-31T19:00:00-0500,2,2,2,2,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010687,Black Tarantula,,1969-12-31T19:00:00-0500,23,10,27,27,1,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0038dfc1270.jpg
1009188,Black Tom,,1969-12-31T19:00:00-0500,19,10,18,18,1,http://i.annihil.us/u/prod/marvel/i/mg/f/70/4c0040a736154.jpg
1009189,Black Widow,,2016-01-04T18:09:26-0500,635,244,720,720,16,http://i.annihil.us/u/prod/marvel/i/mg/f/30/50fecad1f395b.jpg
1017296,Black Widow (LEGO Marvel Super Heroes),,2013-09-18T11:15:15-0400,0,0,0,0,0,http://i.annihil.us/u/prod/marvel/i/mg/6/30/5239c3722bdc5.jpg
1010911,Black Widow (Ultimate),,2014-03-05T13:19:36-0500,18,10,18,18,0,http://i.annihil.us/u/prod/marvel/i/mg/2/03/53176a690b261.jpg
1011498,Black Widow (Yelena Belova),,2021-08-04T10:52:20-0400,21,9,21,21,0,http://i.annihil.us/u/prod/marvel/i/mg/8/70/4c002dee5207a.jpg
1017109,Black Widow/Natasha Romanoff (MAA),"Natasha Romanoff, also known as Black Widow, is a world-renowned super spy and one of S.H.I.E.L.D.'s top agents. Her hand-to-hand combat skills, intelligence, and unpredictability make her a deadly secret weapon. True to her mysterious nature, Black Widow comes and goes as she pleases, but always appears exactly when her particular skills are needed.",2013-09-18T15:52:01-0400,1,1,1,1,0,http://i.annihil.us/u/prod/marvel/i/mg/a/03/523219743a99b.jpg
1009190,Blackheart,,1969-12-31T19:00:00-0500,12,6,12,12,0,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/4c0040a0ee5ba.jpg
1010881,Blacklash,,1969-12-31T19:00:00-0500,5,4,6,6,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011349,Blackout,,1969-12-31T19:00:00-0500,5,4,8,8,0,http://i.annihil.us/u/prod/marvel/i/mg/c/60/4ce5a6b641eb9.jpg
1009191,Blade,,2013-10-04T18:29:21-0400,151,66,165,165,3,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/523ca6f2b11e4.jpg
1009195,Blastaar,,2013-10-24T13:07:25-0400,37,23,48,48,3,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/52695222c22e0.jpg
1010830,Blazing Skull,,1969-12-31T19:00:00-0500,3,3,3,3,0,http://i.annihil.us/u/prod/marvel/i/mg/8/d0/4ce5a37a830a3.jpg
1011291,Blindfold,,1969-12-31T19:00:00-0500,25,9,25,25,0,http://i.annihil.us/u/prod/marvel/i/mg/5/10/4ce5a5f7cabea.jpg
1011836,Bling!,"The mutant Roxy Washington was born into hip-hop ""royalty"" as the daughter of two famous hip-hop stars and has the power to produce diamonds of varying quality and can expel diamond shards from her body at high velocity.",2021-08-19T00:12:01-0400,15,6,15,15,0,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009197,Blink,,2011-11-14T15:18:17-0500,63,23,67,67,3,http://i.annihil.us/u/prod/marvel/i/mg/f/d0/4ce59eeb38a9a.jpg
1009198,Blizzard,,1969-12-31T19:00:00-0500,14,9,17,17,1,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009199,Blob,,2011-02-09T17:31:11-0500,78,33,81,81,7,http://i.annihil.us/u/prod/marvel/i/mg/1/10/4c7c648178328.png
1011132,Blob (Ultimate),,1969-12-31T19:00:00-0500,14,4,23,23,0,http://i.annihil.us/u/prod/marvel/i/mg/9/00/4ce5a51b309b7.jpg
1009200,Blockbuster,,1969-12-31T19:00:00-0500,12,8,11,11,2,http://i.annihil.us/u/prod/marvel/i/mg/3/60/4c0040969fa92.jpg
