Heroe 1,Heroe 2,Resultado_Comics,Resultado_Peliculas,Resultado_Combinado
Deadshot,Eternity,2,1,2
Philippus,Cheetah,1,2,1
Nomad,Shazam,2,1,2
Mister Zsasz,Whiplash,2,1,2
Okoye,High Evolutionary,2,1,2
Philippus,Ant-Man,2,1,2
Gravik,King Shark,2,1,2
Ares,Unworthy Thor,1,2,1
Baron Mordo,Lady Loki,1,2,1
Winter Soldier,Abomination,1,2,1
Mantis,Deadshot,1,2,1
Ebony Maw,Corvus Glaive,1,2,1
Taskmaster,Iron Man,2,1,2
Falcon,Talos the Untamed,1,2,1
Elektra,Cassandra Cain,1,2,1
Mr. Fantastic (Earth-838),Loki (Variant L1130),1,2,1
Surtur,Cheetah,2,1,2
Quake,Hawkman,2,1,2
Scarlet Witch,Ebony Maw,2,1,2
Ajak,Taskmaster,1,2,1
Jessica Jones,Frigga,1,2,1
Mera,Wolverine,1,2,1
Thor (Awakened),Vision,2,1,2
Sabbac,Gilgamesh,1,2,1
Moon Knight,Giant-Man,2,1,2
Whiplash,Captain America,2,1,2
Makkari,Iron Man (MK 1),2,1,2
El Diablo,Ebony Maw,2,1,2
Mr. Knight,Aquaman,2,1,2
Captain Boomerang,Black Bolt,1,2,1
Savant,Warlock,2,1,2
Jessica Jones,Loki (Mind Stone),1,2,1
Quake,Hawkeye (Variant),1,2,1
Kingo,Rocket Raccoon,2,1,2
Namor,Korg,2,1,2
King Shark,Nomad,1,2,1
Captain Carter (Earth-838),Star-Lord,1,2,1
Ares,Incubus,2,1,2
Quicksilver,Kro,1,2,1
Peacemaker,Cassandra Cain,2,1,2
Swole Groot,Slipknot,2,1,2
Steppenwolf,Ms. America,2,1,2
Ronin,Dar-Benn,2,1,2
Thanos (Infinity Gauntlet),She-Hulk,1,2,1
Phastos,Korath the Pursuer,1,2,1
Ocean Master,Agatha Harkness,1,2,1
Nebula,Green Lantern,2,1,2
General Zod,Taskmaster,1,2,1
Hawkeye (Variant),Philippus,2,1,2
Captain Boomerang,Jor-El,2,1,2
Queen Hippolyta,Loki (King of Asgard),2,1,2
Hawkman,Ultron,2,1,2
Ratcatcher,Quake,2,1,2
Polka-Dot Man,Black Adam,1,2,1
Ebony Maw,Philippus,1,2,1
Sabbac,Drax the Destroyer,2,1,2
Leo Fitz,Thor (Pre-Ragnarok),1,2,1
Loki,Namor,1,2,1
Thanos (Infinity Gauntlet),Incubus,1,2,1
Darkseid,Gluttony,2,1,2
Freddy Freeman,Lady Loki,1,2,1
Stature,Freddy Freeman,2,1,2
Wasp,Captain America (Worthy),2,1,2
Spider-Man,Mantis,1,2,1
General Zod,White Wolf,1,2,1
Parademon,Queen Hippolyta,1,2,1
Hulk (Stark Gauntlet),Ghost,1,2,1
Thanos (Infinity Gauntlet),Black Adam,1,2,1
Black Bolt (Earth-838),She-Hulk,1,2,1
Mera,MBaku,1,2,1
Black Bolt (Earth-838),Shazam,2,1,2
Winter Soldier,Falcon,1,2,1
Jor-El,Fenris,2,1,2
Whiplash,Elektra,2,1,2
Odin,Karathen,2,1,2
Sinister Strange,Corvus Glaive,1,2,1
Pepper Potts (Extremis),The Collector,2,1,2
Doctor Sivana,Ultron,1,2,1
Kang the Conqueror,Black Bolt,2,1,2
Fandral,MODOK,2,1,2
Captain Carter (Earth-838),Sif,1,2,1
Loki (King of Asgard),Mr. Fantastic (Earth-838),2,1,2
Judomaster,Rick Flag,2,1,2
Leviathan,Iron Man (Stark Gauntlet),1,2,1
Eternity,Harley Quinn,2,1,2
Peacemaker,Talos the Untamed,2,1,2
Wolverine,Winter Soldier,2,1,2
Mr. Knight,Kang the Conqueror,2,1,2
Baby Groot,The Grandmaster,1,2,1
Ghost Rider,Hawkeye (Variant),2,1,2
Cyborg,Shuri,2,1,2
Valkyrie,Daredevil,2,1,2
Batman,MBaku,1,2,1
Kingpin,Deathlok,1,2,1
Black Adam,Nomad,1,2,1
Baron Zemo,Loki (Variant L1130),2,1,2
Cyborg,Sabbac,2,1,2
Luke Cage,Cyclone,2,1,2
MBaku,Savant,2,1,2
Wonder Woman,Heimdall,2,1,2
Smart Hulk,Ares,2,1,2
Ebony Maw,Dar-Benn,2,1,2
Star-Lord (Celestial Power),Kingpin,2,1,2
Kingpin,Sif,1,2,1
Doctor Fate,Black Bolt (Earth-838),2,1,2
White Dragon,Photon,2,1,2
Lady Loki,Hespera,1,2,1
Aquaman,Stature,2,1,2
Freddy Freeman,Destroyer,2,1,2
Darkseid,Korath the Pursuer,1,2,1
Captain Marvel,Sol Soria,1,2,1
Cyclone,Ajak,1,2,1
Gamora,Giah,2,1,2
Agatha Harkness,Yondu,2,1,2
Ego,Shang-Chi,1,2,1
MBaku,Giant-Man,2,1,2
King Shark,Kang the Conqueror,1,2,1
Black Adam,Red Guardian,1,2,1
Gravik,Atom Smasher,2,1,2
Arishem the Judge,Doomsday,1,2,1
Black Mask,Kaecilius,1,2,1
Black Adam,El Diablo,1,2,1
Shang-Chi,Drax the Destroyer,2,1,2
Black Manta,Makkari,1,2,1
Stature,Kingpin,2,1,2
Zeus,Cheetah,2,1,2
Huntress,Lady Loki,2,1,2
Bucky Barnes,Supergirl,1,2,1
Ronan the Accuser (Power Stone),Green Lantern,1,2,1
Black Widow (Variant),Iron Man,2,1,2
Doomsday,Ironheart,2,1,2
Talos the Untamed,Loki (King of Asgard),2,1,2
Sersi,Black Bolt (Earth-838),1,2,1
Hulk (Stark Gauntlet),El Diablo,1,2,1
Shang-Chi,Ironheart,2,1,2
Ancient One,Cyborg,2,1,2
Gluttony,High Evolutionary,2,1,2
Mera,Crossbones,2,1,2
Star-Lord (Celestial Power),Namor,1,2,1
Baby Groot,Okoye,2,1,2
Thena,Judomaster,2,1,2
Bullseye,General Zod,1,2,1
Echo,Red Guardian,1,2,1
Fat Thor,Jessica Jones,1,2,1
Namor,General Zod,1,2,1
White Wolf,Harley Quinn,2,1,2
Dormammu,Red Skull,2,1,2
Captain America (Worthy),Namor,1,2,1
Sinister Strange,Slipknot,2,1,2
Loki (Variant L1130),Korath the Pursuer,2,1,2
Captain Boomerang,Pepper Potts (Extremis),2,1,2
Karathen,Queen Hippolyta,1,2,1
Nuidis Vulko,Slipknot,1,2,1
Korath the Pursuer,Iron Fist,1,2,1
Black Panther (Variant),Shazam,1,2,1
Shuri,Leo Fitz,1,2,1
Okoye,Falcon,1,2,1
Iron Man (MK 1),Captain Boomerang,1,2,1
Fat Thor,Ego,2,1,2
Black Adam,Ares,2,1,2
Arishem the Judge,King Shark,2,1,2
Lady Loki,Thor,2,1,2
Mantis,Slipknot,1,2,1
Black Manta,Bullseye,2,1,2
Korg,Ms. Marvel,2,1,2
Phastos,Leviathan,2,1,2
High Evolutionary,Cull Obsidian,1,2,1
Winter Soldier,Ratcatcher,2,1,2
Green Lantern,Philippus,1,2,1
Black Adam,Ronan the Accuser (Power Stone),2,1,2
Thanos,Bucky Barnes,2,1,2
Mandarin,Black Widow (Variant),1,2,1
The Flash,Thanos (Infinity Gauntlet),2,1,2
Whiplash,War Machine,2,1,2
Hela,Red Skull,1,2,1
Bloodsport,Captain America (Worthy),2,1,2
Kang the Conqueror,Crossbones,1,2,1
Kang the Conqueror,Scarlet Witch,1,2,1
Ares,Bloodsport,2,1,2
Frigga,Loki (Variant L1130),1,2,1
Namor,Arishem the Judge,1,2,1
Cull Obsidian,Huntress,1,2,1
Black Panther,Jemiah the Analyzer,2,1,2
Gravik,Ironheart,2,1,2
Winter Soldier,Doctor Fate,2,1,2
Arishem the Judge,Batman,1,2,1
Black Bolt (Earth-838),Steppenwolf,2,1,2
Shang-Chi,Aquaman,2,1,2
Sif,Slipknot,1,2,1
Echo,Black Manta,1,2,1
Doctor Strange,The Great Protector,1,2,1
Moon Knight,Mera,1,2,1
Valkyrie,Black Adam,1,2,1
Whiplash Mark II,Groot,1,2,1
Hawkeye,Hulk,1,2,1
Cull Obsidian,Falcon,2,1,2
Moon Knight,Agatha Harkness,1,2,1
Hespera,Iron Man,1,2,1
White Dragon,Loki (King of Asgard),1,2,1
Teenage Groot,Kingpin,1,2,1
Eternity,Sinister Strange,1,2,1
Destroyer,Ratcatcher,1,2,1
Iron Man (Stark Gauntlet),Sersi,1,2,1
Loki (Keeper of the Multiverse),White Dragon,1,2,1
War Machine,Black Manta,1,2,1
Joker,Surtur,2,1,2
Hawkeye (Variant),Black Bolt (Earth-838),1,2,1
Ancient One (Time Stone),Lex Luthor,2,1,2
Queen Hippolyta,Iron Man (MK 1),2,1,2
Kurse,Green Lantern,2,1,2
Loki,Superman,1,2,1
Ghost Rider,Ratcatcher,1,2,1
Ajak,Black Canary,1,2,1
Darkseid,White Dragon,1,2,1
Star-Lord (Celestial Power),Iron Man (Hulkbuster),1,2,1
Steppenwolf,Hespera,2,1,2
Wasp,Rocket Raccoon,1,2,1
Spider-Man,The Punisher,2,1,2
Dormammu,Ultron,2,1,2
Philippus,Nomad,2,1,2
Freddy Freeman,Winter Soldier,1,2,1
Talos the Untamed,Ikaris,1,2,1
Sif,Deathlok,1,2,1
Whiplash,King Nereus,1,2,1
Deadshot,El Diablo,1,2,1
White Wolf,Sinister Strange,1,2,1
Karathen,Malekith,1,2,1
White Dragon,Thor,1,2,1
Crossbones,Iron Fist,2,1,2
King Nereus,Sol Soria,1,2,1
Kro,The Collector,1,2,1
Nick Fury,Thanos (Infinity Gauntlet),2,1,2
Bucky Barnes,Iron Man (Hulkbuster),2,1,2
The Grandmaster,Kaecilius,1,2,1
Batman,Mandarin,1,2,1
Fandral,Wong,2,1,2
Ayo,Starro,1,2,1
Queen Atlanna,Doctor Strange,2,1,2
MBaku,Abomination,2,1,2
Savant,Peacemaker,2,1,2
Iron Spider,Mighty Thor,1,2,1
Kro,Ancient One (Time Stone),2,1,2
Yondu,Black Mask,2,1,2
Loki,Captain America (Worthy),1,2,1
Dar-Benn,Captain Marvel,2,1,2
Phastos,Cyborg,2,1,2
Hela,Vision,2,1,2
Heimdall,El Diablo,2,1,2
Korg,Drax the Destroyer,1,2,1
Quicksilver,Thor (Pre-Ragnarok),1,2,1
Atom Smasher,Wasp,1,2,1
Cyborg,King Nereus,2,1,2
Hawkeye (Variant),Black Canary,2,1,2
Ghost Rider,Envy,2,1,2
Killmonger,Luke Cage,1,2,1
Giant-Man,Hespera,1,2,1
Jemiah the Analyzer,Namor,1,2,1
Iron Fist,Scarlet Witch,2,1,2
Sersi,Faora,2,1,2
Shang-Chi,Freddy Freeman,2,1,2
Batman,Eternity,1,2,1
Incubus,Leviathan,1,2,1
Sol Soria,Iron Man (MK 1),1,2,1
Shang-Chi,Vigilante,2,1,2
Black Bolt (Earth-838),Lex Luthor,2,1,2
Enchantress,Ultron,2,1,2
Quake,Cull Obsidian,2,1,2
Gargantos,Makkari,2,1,2
MODOK,Ancient One (Time Stone),1,2,1
Sinister Strange,Valkyrie,2,1,2
Cyborg,Mandarin,2,1,2
Winter Soldier,Frigga,1,2,1
Fenris,Peacemaker,1,2,1
Iron Man,Iron Man (Hulkbuster),2,1,2
King Nereus,Vigilante,2,1,2
Captain Carter (Earth-838),Ares,2,1,2
Doctor Fate,Odin,1,2,1
She-Hulk,Star-Lord,1,2,1
Doctor Sivana,Yellowjacket,2,1,2
Hulk (Stark Gauntlet),Deadshot,1,2,1
Captain Carter (Earth-838),Hawkman,2,1,2
Winter Soldier,Gargantos,2,1,2
Black Bolt,Ancient One (Time Stone),2,1,2
Ajak,Black Mask,1,2,1
Harley Quinn,Iron Man (MK 1),2,1,2
Hespera,Enchantress,2,1,2
Iron Spider,Winter Soldier,2,1,2
Thanos,Star-Lord,2,1,2
Shazam,Odin,1,2,1
Winter Soldier,Killer Croc,1,2,1
Iron Man (Stark Gauntlet),King Nereus,2,1,2
Captain Carter (Earth-838),Iron Monger,1,2,1
Star-Lord,Swole Groot,2,1,2
Queen Hippolyta,Cassandra Cain,1,2,1
Deadshot,Giant-Man,1,2,1
Mandarin,Superman,1,2,1
White Wolf,Bucky Barnes,2,1,2
Ancient One (Time Stone),Joker,2,1,2
Destroyer,Doctor Sivana,2,1,2
Proxima Midnight,Yondu,2,1,2
Hulk (Stark Gauntlet),Shang-Chi,2,1,2
The Grandmaster,Incubus,2,1,2
Groot,Judomaster,2,1,2
Killian,Karathen,2,1,2
Jemiah the Analyzer,Quicksilver,1,2,1
Fandral,Ant-Man,2,1,2
Wonder Woman,Ayo,1,2,1
Hawkeye (Variant),Stature,2,1,2
Black Widow,Captain Carter (Earth-838),1,2,1
Ronan the Accuser,MBaku,2,1,2
Taskmaster,Captain America (Worthy),1,2,1
Captain Carter (Earth-838),Black Panther,1,2,1
Cyborg,Ultron,1,2,1
Iron Spider,Black Bolt,1,2,1
Ronan the Accuser,Thanos,2,1,2
Aquaman,Ratcatcher,2,1,2
Black Bolt,Kurse,2,1,2
Iron Man (Hulkbuster),Aquaman,2,1,2
The Executioner,Ms. America,1,2,1
Iron Spider,Malekith,2,1,2
She-Hulk,Mandarin,2,1,2
Rescue,Zeus,2,1,2
Green Lantern,Spider-Man,2,1,2
Chitauri Footsoldier,Faora,2,1,2
The Great Protector,Steppenwolf,2,1,2
Ronan the Accuser (Power Stone),Doctor Strange,2,1,2
Winter Soldier,Gravik,2,1,2
Black Mask,Wrath,1,2,1
Mandarin,Doctor Sivana,2,1,2
Ajak,Nuidis Vulko,2,1,2
Lady Loki,Loki,2,1,2
Queen Hippolyta,Captain Marvel,2,1,2
Black Widow (Variant),Mysterio,2,1,2
Lady Loki,Mandarin,2,1,2
Gilgamesh,Loki (Variant L1130),2,1,2
Black Panther,Ajak,2,1,2
Fat Thor,Taskmaster,2,1,2
Elektra,Eternity,2,1,2
Baron Zemo,Chitauri Footsoldier,2,1,2
Cyborg,Ikaris,1,2,1
Mr. Fantastic (Earth-838),Black Panther,1,2,1
Cheetah,Arishem the Judge,1,2,1
Loki,Kingpin,2,1,2
Hawkeye (Variant),Dark Flash,1,2,1
Ebony Maw,Loki (Mind Stone),2,1,2
Ajak,Ironheart,2,1,2
She-Hulk,Queen Atlanna,2,1,2
Ancient One,Frigga,2,1,2
Karathen,Surtur,1,2,1
Thanos (Infinity Gauntlet),Winter Soldier,1,2,1
Shang-Chi,Captain Boomerang,1,2,1
Kro,Moon Knight,1,2,1
Deathlok,Teenage Groot,1,2,1
Cassandra Cain,Makkari,1,2,1
Iron Man (MK 1),Gilgamesh,1,2,1
Leviathan,Mysterio,1,2,1
Ghost,White Wolf,2,1,2
Queen Hippolyta,Hela,1,2,1
Sabbac,Harley Quinn,2,1,2
Fenris,Phastos,1,2,1
Daredevil,Malekith (Reality Stone),1,2,1
Ancient One,Wrath,1,2,1
Cheetah,Nebula,2,1,2
The Executioner,Ayo,1,2,1
Kingo,Thanos (Infinity Gauntlet),2,1,2
Pepper Potts (Extremis),Kurse,1,2,1
Hulk (Stark Gauntlet),Outrider,2,1,2
Peacemaker,Kid Loki,1,2,1
Hawkeye (Variant),Fenris,2,1,2
Groot,Vision,2,1,2
Star-Lord,Huntress,2,1,2
Nick Fury,Parademon,2,1,2
Yellowjacket,Thor (Awakened),2,1,2
Karathen,Captain Boomerang,2,1,2
Savant,Spider-Man,1,2,1
Deathlok,Ayo,1,2,1
Captain America,Killmonger,1,2,1
Iron Spider,Mister Zsasz,2,1,2
Gilgamesh,Ayo,2,1,2
Leo Fitz,Joker,1,2,1
Vigilante,Dark Flash,1,2,1
Red Skull (Stonekeeper),Kaecilius,1,2,1
Supergirl,Batman,2,1,2
Queen Hippolyta,The Grandmaster,2,1,2
Vulture,Kingpin,1,2,1
Korg,Ratcatcher,2,1,2
Queen Hippolyta,Makkari,1,2,1
Joker,Iron Monger,2,1,2
Nick Fury,Aquaman,2,1,2
Ms. Marvel,Iron Spider,1,2,1
Faora,Queen Hippolyta,2,1,2
Judomaster,Malekith,2,1,2
Wasp,Quicksilver,2,1,2
Darkseid,Doctor Sivana,2,1,2
Doctor Strange,Eternity,2,1,2
Dar-Benn,Cull Obsidian,2,1,2
Harley Quinn,Black Panther (Variant),2,1,2
Black Bolt,Shuri,1,2,1
Ghost,Dormammu,2,1,2
Sabbac,Wrath,1,2,1
Hawkman,Black Panther (Variant),1,2,1
Wrath,Zeus,2,1,2
Nomad,Mr. Fantastic (Earth-838),1,2,1
Hespera,Zeus,1,2,1
Captain America,Pepper Potts (Extremis),1,2,1
Heimdall,Giah,1,2,1
Ikaris,Gravik,2,1,2
Bucky Barnes,Deadshot,1,2,1
Mandarin,Nam-Ek,1,2,1
Steppenwolf,The Executioner,2,1,2
Destroyer,Captain America,2,1,2
Phastos,Cassandra Cain,2,1,2
Kaecilius,Unworthy Thor,1,2,1
Darkseid,Mysterio,2,1,2
Ares,Ronin,1,2,1
Thor,Hawkman,1,2,1
Black Panther (Variant),Red Skull (Stonekeeper),1,2,1
Jessica Jones,Shazam,2,1,2
Ultron,Bullseye,2,1,2
Frigga,Dar-Benn,1,2,1
Baron Mordo,Green Lantern,2,1,2
Surtur,Gravik,2,1,2
Giah,Katana,1,2,1
Thanos,Ayo,2,1,2
Wong,The Great Protector,1,2,1
Kro,Swole Groot,1,2,1
Vigilante,White Dragon,2,1,2
Rescue,Thor (Pre-Ragnarok),1,2,1
The Collector,Thor (Pre-Ragnarok),1,2,1
Doctor Strange,The Punisher,2,1,2
Quicksilver,Spectral Vision,1,2,1
Gargantos,Black Panther,2,1,2
Batman,Kro,1,2,1
King Shark,Steppenwolf,2,1,2
Smart Hulk,Joker,2,1,2
Elektra,Star-Lord (Celestial Power),2,1,2
Huntress,Ratcatcher,1,2,1
Kaecilius,White Wolf,1,2,1
Falcon,Iron Man,1,2,1
Mighty Thor,Smart Hulk,2,1,2
Groot,Sif,1,2,1
Doctor Strange,Talos the Untamed,1,2,1
Freddy Freeman,Mandarin,2,1,2
Sol Soria,Fat Thor,2,1,2
Makkari,Wonder Woman,1,2,1
Hawkeye (Variant),Star-Lord,1,2,1
Queen Atlanna,Thanos (Infinity Gauntlet),2,1,2
Enchantress,King Shark,2,1,2
Jor-El,Black Adam,1,2,1
Hulk,Kurse,2,1,2
Destroyer,Doctor Strange,2,1,2
Vulture,Cheetah,2,1,2
Mr. Knight,King Nereus,1,2,1
Korath the Pursuer,Queen Hippolyta,2,1,2
Ms. Marvel,Captain Boomerang,1,2,1
Thena,Thor (Pre-Ragnarok),2,1,2
Captain Boomerang,Iron Man,2,1,2
Echo,Sabbac,2,1,2
Sif,Nuidis Vulko,1,2,1
Ancient One,Thor (Pre-Ragnarok),1,2,1
Kingo,Supergirl,2,1,2
Queen Atlanna,Ares,1,2,1
Enchantress,Ms. Marvel,1,2,1
Ajak,Gluttony,2,1,2
Steppenwolf,Jor-El,2,1,2
Groot,Quake,1,2,1
Enchantress,Dar-Benn,2,1,2
Ant-Man,Baron Mordo,1,2,1
Frigga,The Great Protector,1,2,1
Sersi (Uni-Mind),Talos the Untamed,2,1,2
Black Bolt,The Collector,1,2,1
King Shark,Arishem the Judge,2,1,2
The Grandmaster,El Diablo,2,1,2
Kurse,Penthesileia,1,2,1
Black Manta,Cheetah,2,1,2
Giant-Man,Nebula,1,2,1
Joker,Mister Zsasz,2,1,2
Thor (Pre-Ragnarok),Mysterio,2,1,2
MBaku,Shazam,1,2,1
Starro,Ayo,1,2,1
Surtur,Killmonger,1,2,1
Corvus Glaive,Leo Fitz,1,2,1
Killian,Sersi,2,1,2
Thena,Fat Thor,1,2,1
Spider-Man,Gravik,2,1,2
Hulk,Fandral,1,2,1
Harley Quinn,Cull Obsidian,2,1,2
Kid Loki,Ronan the Accuser (Power Stone),1,2,1
Baron Mordo,Hulk,2,1,2
Black Panther (Variant),Yondu,2,1,2
Black Bolt (Earth-838),Darkseid,2,1,2
White Dragon,Arishem the Judge,1,2,1
Ancient One (Time Stone),Aquaman,1,2,1
Quicksilver,Pepper Potts (Extremis),2,1,2
Loki (King of Asgard),War Machine,2,1,2
Echo,Spectral Vision,2,1,2
Valkyrie,Wolverine,2,1,2
Penthesileia,Black Panther,1,2,1
Black Adam,Slipknot,1,2,1
Yellowjacket,Nick Fury,1,2,1
Sabbac,Killian,1,2,1
Killer Croc,Doomsday,2,1,2
Cheetah,Queen Atlanna,1,2,1
King Nereus,Malekith (Reality Stone),1,2,1
Echo,War Machine,1,2,1
Iron Man,Proxima Midnight,2,1,2
Mandarin,Moon Knight,1,2,1
Okoye,Giant-Man,1,2,1
Ratcatcher,Yellowjacket,1,2,1
Shuri,Leviathan,2,1,2
Malekith (Reality Stone),Mandarin,1,2,1
Abomination,Bullseye,2,1,2
T.D.K.,General Zod,2,1,2
Atom Smasher,Taskmaster,2,1,2
The Collector,Cyclone,1,2,1
Mandarin,Karathen,2,1,2
Thena,Cyborg,1,2,1
El Diablo,Falcon,1,2,1
Star-Lord (Celestial Power),Hulk,1,2,1
Surtur,Ironheart,1,2,1
Black Bolt,Teenage Groot,2,1,2
Kro,Mr. Fantastic (Earth-838),2,1,2
Lady Loki,Nam-Ek,2,1,2
Iron Man (Stark Gauntlet),Valkyrie,1,2,1
Nomad,Abomination,1,2,1
Groot,Hela,1,2,1
Ancient One (Time Stone),King Shark,1,2,1
Rescue,Loki (Keeper of the Multiverse),1,2,1
Mr. Knight,Teenage Groot,2,1,2
Arishem the Judge,Iron Fist,1,2,1
Whiplash Mark II,The Punisher,2,1,2
Giant-Man,Daredevil,2,1,2
Wolverine,Smart Hulk,2,1,2
Ironheart,Steppenwolf,2,1,2
Jessica Jones,Ancient One (Time Stone),1,2,1
Outrider,Korath the Pursuer,1,2,1
Yellowjacket,Hulk,1,2,1
Okoye,Talos the Untamed,1,2,1
Vigilante,Bucky Barnes,1,2,1
Namor,Green Lantern,1,2,1
Photon,Proxima Midnight,2,1,2
Black Mask,Darkseid,1,2,1
Iron Monger,Ronan the Accuser,1,2,1
Sol Soria,Fandral,1,2,1
Captain America (Worthy),Freddy Freeman,2,1,2
Ocean Master,Rescue,1,2,1
The Flash,Winter Soldier,2,1,2
Sersi (Uni-Mind),Rocket Raccoon,2,1,2
Iron Man (MK 1),Freddy Freeman,2,1,2
Whiplash,Bloodsport,2,1,2
Leo Fitz,The Grandmaster,1,2,1
Doctor Sivana,Photon,1,2,1
Ares,Harley Quinn,2,1,2
Agatha Harkness,Black Widow (Variant),1,2,1
Captain America (Worthy),Heimdall,1,2,1
Mister Zsasz,Teenage Groot,1,2,1
